Country,Level,Region,Parsed data file,Program,Initial,Operational Program,OP Name,Co-financing Rate,"Sub-program
information",Explanatory Notes,"Percent
Funded
by EU
Funds (minimum)","Percent
Funded
by EU
Funds (maximum)",Source of funding checked,Currency,Last Updated,Next Update,Update of data required,Excel/PDF,Priority,"Data
available
for
2007","Data
available
for
2008","Data
available
for
2009","Data
available
for
2010",Currency Field,European Fund Name Field,Sub-region / County Field,Objective Field,Legal entity Field,Beneficiary Field,Intermediate Body Field,Project Title Field,District Field,Description Field,Subcontractor Field,Operational Program Name Field,Sub Program Name Field,Sub Sub Program Name Field,Category Field,Amount (unknown source) Field,Match-funded Field,Amount Allocated (EU Funds) Field,Amount Allocated (Public Funds) Field,Amount Allocated (Other Public Funds) Field,Amount Allocated (Private Funds) Field,Amount Allocated (Voluntary Funds) Field,Amount Allocated (EU Funds and Public Funds Combined) Field,Amount Eligible Field,EU Fund Percentage Field,Amount Total Project Cost Field,Amount Paid Field,Year Field,Date Field,Start Year Field,Final Payment Year Field,Status,Approval period,Original file name,Direct link to PDF,"Direct link to
Excel","Direct Link to 
HTML",Direct link to Doc,Waiting for response,Contact,Uri to landing page,Action,http://ec.europa.eu/regional_policy/country/commu/beneficiaries/index_en.htm,Sicilia
GREECE,national,All regions,no data in file,"ERDF, ESF,CF",,Multiple - double check,,,Environment - Sustainable Development,All Greece regions in PDF .Have put in request for other formats. - Greece correspondent will list direct links,,,,,,,,PDF,Tier 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=313,,,,,,http://ec.europa.eu/regional_policy/country/commu/beneficiaries//greece/index_en.htm
GREECE,national,All regions,no data in file,"ERDF, ESF,CF",,Multiple - double check,,,Enhancing Accessibility,All Greece regions in PDF .Have put in request for other formats. - Greece correspondent will list direct links,,,,,,,,PDF,Tier 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=314,,,,,,"http://www.espa.gr/Greek/Documents.aspx?docid=42,139"
GREECE,national,All regions,no data in file,"ERDF, ESF,CF",,Multiple - double check,,,Entrepreneurship and Competitiveness,All Greece regions in PDF .Have put in request for other formats. - Greece correspondent will list direct links,,,,,,,,PDF,Tier 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=315,,,,,,"http://www.espa.gr/Greek/Documents.aspx?docid=42,139"
GREECE,national,All regions,no data in file,"ERDF, ESF,CF",,Multiple - double check,,,Digital Convergence,All Greece regions in PDF .Have put in request for other formats. - Greece correspondent will list direct links,,,,,,,,PDF,Tier 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=316,,,,,,"http://www.espa.gr/Greek/Documents.aspx?docid=42,139"
GREECE,national,All regions,,"ERDF, ESF,CF",gr_human_resources_development.csv,Multiple - double check,,,Human Resources Development,All Greece regions in PDF .Have put in request for other formats. - Greece correspondent will list direct links,,,,EUR,,,,PDF,Tier 1,,,,,,fund,,,,payee_name,,project_title,,,,,,,,,,,public_expenditure_listing,,,,,,,,,,,year_joined,,,,ep_anapt_anthrop_dunam_sep09.pdf,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=360,,,,,,"http://www.espa.gr/Greek/Documents.aspx?docid=42,139"
GREECE,national,All regions,gr_education_lifelong_learning.csv,"ERDF, ESF,CF",,Multiple - double check,,,Education and Lifelong Learning,All Greece regions in PDF .Have put in request for other formats. - Greece correspondent will list direct links,,,,EUR,,,,PDF,Tier 1,,,,,,fund,,,,payee_name,,project_title,,,,,,,,,,,public_expenditure_listing,,,,,,,,,,,year_joined,,,,cat=attachments__type=Documents__fileid=347,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=347,,,,,,"http://www.espa.gr/Greek/Documents.aspx?docid=42,139"
GREECE,national,All regions,gr_admin_reform.csv,"ERDF, ESF,CF",,Multiple - double check,,,Administrative Reform,All Greece regions in PDF .Have put in request for other formats. - Greece correspondent will list direct links,,,,EUR,,,,PDF,Tier 1,,,,,,fund,,,,payee_name,,project_title,,,,,,,,,,,public_expenditure_listing,,,,,,,,,,,year_joined,,,,ep_dioikitiki_metar_aug09.pdf,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=358,,,,,,"http://www.espa.gr/Greek/Documents.aspx?docid=42,139"
GREECE,national,All regions,no data in file,"ERDF, ESF,CF",,Multiple - double check,,,Technical Assistance,All Greece regions in PDF .Have put in request for other formats. - Greece correspondent will list direct links,,,,,,,,PDF,Tier 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=320,,,,,,"http://www.espa.gr/Greek/Documents.aspx?docid=42,139"
