Beneficiary,Name of the operation, Allocated public funding_EU- and national co-financing,Subprogram,Operational Program
"Arbeitsmarktservice, 1200 Wien, Treustraße 35-43",0TH - AB 337 Teilprojekt DWH ESF-Periode 2007 bis 2013,"362,715",Arbeitsmarktservice – OP Beschäftigung ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
"Arbeitsmarktservice, 1200 Wien, Treustraße 35-43","0TH - ESF 2007: Beratung, Recherche und Öffentlichkeitsarbeit","72,948",Arbeitsmarktservice – OP Beschäftigung ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
"Arbeitsmarktservice, 1200 Wien, Treustraße 35-43","0TH - ESF 2008: Beratung, Recherche und Öffentlichkeitsarbeit","45,685",Arbeitsmarktservice – OP Beschäftigung ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
"Arbeitsmarktservice, 1200 Wien, Treustraße 35-43",0TH - FBB Broschüre,"28,263",Arbeitsmarktservice – OP Beschäftigung ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
"Arbeitsmarktservice, 1200 Wien, Treustraße 35-43",0TH - Werbe- u.Komm.maßn.  Ältere Media  f.d. ESF-kofin betriebl.,"104,434",Arbeitsmarktservice – OP Beschäftigung ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
"Arbeitsmarktservice, 1200 Wien, Treustraße 35-43",0TH - Werbe- u.Kommunikationsmaßn. UBAMP Media u. Grafik  f. esf-k,"99,453",Arbeitsmarktservice – OP Beschäftigung ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
"Arbeitsmarktservice, 1200 Wien, Treustraße 35-43",0TH - Werbe- und Kommunikationsmaßnahmen für die ESF-kofinanzierte,"139,776",Arbeitsmarktservice – OP Beschäftigung ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
"Arbeitsmarktservice, 1030 Wien , Landstraßer Hauptstraße 55-57",0TH - THE Abwicklungsunterstützung QfB 2007,"84,882",Arbeitsmarktservice – OP Beschäftigung ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
"Arbeitsmarktservice, 1030 Wien , Landstraßer Hauptstraße 55-57",BMN - 50 Plus 2008,"89,876",Arbeitsmarktservice – OP Beschäftigung ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
"Arbeitsmarktservice, 1030 Wien , Landstraßer Hauptstraße 55-57",BMN - 50+ Zukunft aktiv-innovativ-kreativ,"92,479",Arbeitsmarktservice – OP Beschäftigung ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
"Arbeitsmarktservice, 1030 Wien , Landstraßer Hauptstraße 55-57",BMN - Controlling Basis Lehrgang für Frauen 2007,"61,408",Arbeitsmarktservice – OP Beschäftigung ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
"Arbeitsmarktservice, 1030 Wien , Landstraßer Hauptstraße 55-57",BMN - FeM - Frauen ergreifen Möglichkeiten,"56,264",Arbeitsmarktservice – OP Beschäftigung ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
"Arbeitsmarktservice, 1030 Wien , Landstraßer Hauptstraße 55-57",BMN - Frauen als Führungskräfte & Akademikerinnen gehen neue Wege,"65,440",Arbeitsmarktservice – OP Beschäftigung ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
"Arbeitsmarktservice, 1030 Wien , Landstraßer Hauptstraße 55-57",BMN - Führungskräfte & AkademikerInnen gehen neue Wege,"26,350",Arbeitsmarktservice – OP Beschäftigung ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
"Arbeitsmarktservice, 1030 Wien , Landstraßer Hauptstraße 55-57",BMN - Job 50+ Aktivierung und Qualifizierung für Ältere ab 50,"1,658,587",Arbeitsmarktservice – OP Beschäftigung ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
"Arbeitsmarktservice, 1030 Wien , Landstraßer Hauptstraße 55-57",BMN - SAP Rechnungs- und Personalwesen 2008 für Frauen,"91,342",Arbeitsmarktservice – OP Beschäftigung ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
"Arbeitsmarktservice, 1030 Wien , Landstraßer Hauptstraße 55-57",BMN - Schweisskurse - Schwerpunkt Facharbeiter Metall,"71,346",Arbeitsmarktservice – OP Beschäftigung ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
"Arbeitsmarktservice, 1030 Wien , Landstraßer Hauptstraße 55-57",BMN - Vorbereitung LAP Restaurantfachmann/frau III,"99,512",Arbeitsmarktservice – OP Beschäftigung ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
"Arbeitsmarktservice, 1030 Wien , Landstraßer Hauptstraße 55-57",BMN - WOMAN Professional,"54,661",Arbeitsmarktservice – OP Beschäftigung ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
"Arbeitsmarktservice, 1030 Wien , Landstraßer Hauptstraße 55-57","BMN - Weg zum Job für 960, 962, 964, 970","421,262",Arbeitsmarktservice – OP Beschäftigung ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
"Arbeitsmarktservice, 1030 Wien , Landstraßer Hauptstraße 55-57","BMN - Weg zum Job für 961, 968, 969","532,536",Arbeitsmarktservice – OP Beschäftigung ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
"Arbeitsmarktservice, 1030 Wien , Landstraßer Hauptstraße 55-57",BMN - ZIB - Zurück in den Beruf,"48,096",Arbeitsmarktservice – OP Beschäftigung ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
"Arbeitsmarktservice,1013 Wien , Hohenstaufengasse 2 ",0TH - Potentiale amp.Einrichtungen für Productive Ageing,"43,920",Arbeitsmarktservice – OP Beschäftigung ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
"Arbeitsmarktservice,1013 Wien , Hohenstaufengasse 2 ",0TH - Technische Hilfe - DiVe 2007,"40,069",Arbeitsmarktservice – OP Beschäftigung ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
"Arbeitsmarktservice, 4021 Linz , Europaplatz 9",0TH - Technische Hilfen - Werkvertrag Direktvergabe,"25,470",Arbeitsmarktservice – OP Beschäftigung ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
"Arbeitsmarktservice, 5020 Salzburg , Auerspergstraße 67a",0TH - Technische Hilfe,"37,340",Arbeitsmarktservice – OP Beschäftigung ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
"Arbeitsmarktservice, 8021 Graz , Babenbergerstraße 33 ",0TH - Technische Hilfe - Abwicklungsunterstützung AMS Steiermark,"39,587",Arbeitsmarktservice – OP Beschäftigung ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
"Arbeitsmarktservice, 8021 Graz , Babenbergerstraße 33 ",BMN - learn forever - Computerkurse f. lernungewohnte Frauen,"47,479",Arbeitsmarktservice – OP Beschäftigung ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
"Arbeitsmarktservice, 9020 Klagenfurt , Rudolfsbahngürtel 42",0TH - Technische Hilfe-QfB,"31,490",Arbeitsmarktservice – OP Beschäftigung ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
"Arbeitsmarktservice, 9020 Klagenfurt , Rudolfsbahngürtel 42",QBB - Qualifizierungsberatung Kärnten,"47,616",Arbeitsmarktservice – OP Beschäftigung ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
"Arbeitsmarktservice, 6010 Innsbruck , Andreas Hofer-Straße 44",0TH - Technische Hilfe Tirol,"49,681",Arbeitsmarktservice – OP Beschäftigung ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
'CONNECTA' SERVICEGESELLSCHAFT FÜR SELBSTÄNDIGE VERMITTLER GMBH,Qualifizierung für Beschäftigte,"2,047",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
1.LUNGAUER WIRTSCHAFTSVEREIN,Qualifizierung für Beschäftigte,"2,102",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
11ER NAHRUNGSMITTELGMBH,Qualifizierung für Beschäftigte,"5,633",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
1ST MOBILE HANDELS GMBH,Qualifizierung für Beschäftigte,"2,773",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
2F-LEUCHTEN GESMBH & CO KG,Qualifizierung für Beschäftigte,525,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
3E HANDELS- UND DIENSTLEISTUNGS AG,Qualifizierung für Beschäftigte,"1,370",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
3P GEOTECHNIK ZT GMBH,Qualifizierung für Beschäftigte,165,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
4 YOUGEND VEREIN,Qualifizierung für Beschäftigte,"1,520",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
4EVER YOUNG AT  GEMEINNÜTZIGE KOMMUNIKATIOS GMBH.,Heinrich Harrer Museum goes digital 2007,"114,192",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
5-TÄLER GMBH,Qualifizierung für Beschäftigte,768,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
A & P ALTENWOHN- UND PFLEGEHEIM ERRICHTUNGS- UND VERTRIEBSGESMBH,Qualifizierung für Beschäftigte,613,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
A TEC PRODUCTION & SERVICES GMBH,Qualifizierung für Beschäftigte,416,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
A+B+L STEUERBERATUNG OG,Qualifizierung für Beschäftigte,"1,916",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
A-PLUS  ARBEITSPROJEKTENTWICKLUNGS GMBH,Qualifizierung für Beschäftigte,947,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
A-TOP  SERVICE & TRADE GESMBH,Qualifizierung für Beschäftigte,226,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
A-TYPISCH,Qualifizierung für Beschäftigte,"1,267",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
A. BURGHOFER  GASTRONOMIEBETRIEB GMBH,Qualifizierung für Beschäftigte,245,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
A. HAUSMANN GESELLSCHAFT M.B.H.,Qualifizierung für Beschäftigte,"1,950",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
