Projekttitel,Trager,Projekt-start,Projekt-ende,Gesamtkosten,davon durch den ESF finanziert
"Werkstatt Cardijn - Kunstatelier fu_r
manuellen Druck, Papier und Textil der CAJ - Fortsetzung",Christliche Arbeiterjugend (CAJ),01.01.2007,30.06.2007,"104,933 Û","50,216.00 Û"
Ausbildung Familien & Seniorenhilfe (AFSH7) - Fortsetzung,Familienhilfe VoG / KPVDB VoG,01.01.2007,30.06.2007,"110,300 Û","55,150 Û"
O_kohof Peters - Pilotprojekt 3 Sozialwerkstatt - Fortsetzung,Hof Peters VoG,01.01.2007,30.06.2007,"191,628 Û","87,975 Û"
IKTL - Informations- und Kommunikationstechnologiegestu_tztes Lernen,Zentrum fu_r Aus- und Weiterbildung des Mittelstandes Eupen,01.01.2007,30.06.2007,"44,576 Û","18,347 Û"
BRAWO II' - Fortsetzung,"Ministerium der DG, KUAN, Weiterbildung-Information- Beratung",01.01.2007,30.06.2007,"60,000.00 Û","30,000.00 Û"
PERSPEKTIVE II Integration von niedrig qualifizierten Arbeitsuchenden und Ausgrenzungsbedrohten durch Vorqualifizierung - Fortsetzung,Kulturelle Aktion und Pra_senz,01.01.2007,30.06.2007,"91,383.00 Û","45,691 Û"
Weiterbildung - Information -Beratung (WIB III') - Fortsetzung,"Ministerium der DG, KUAN, Weiterbildung-Information- Beratung",01.01.2007,30.06.2007,"61,966 Û","30,983 Û"
"Xistence IV: Existenzberatung:
Gru_ndung und Sicherung fu_r Unternehmen - Fortsetzung",Wirtschaftsfo_rderungs-gesellschaft Ostbelgien,01.01.2007,30.06.2007,"95,329 Û","43,955 Û"
SELFPRO III bis - Fortsetzung,Die Raupe VoG,01.01.2007,30.06.2007,"104,430 Û","37,990 Û"
MUT-Offene Werkstatt - Fortsetzung,MUT V.o.G.,01.01.2007,30.06.2007,"92,136 Û","34,303 Û"
Fo_rderung von Sprachkursen fu_r Asylbewerber/innen IIÕ - Fortsetzung,"Ministerium der DG, KUAN, Weiterbildung-Information- Beratung",01.01.2007,30.06.2007,"15,995 Û","7,998 Û"
VERBUNDprojekt frau&beruf II - Fortsetzung,Frauenliga / Vie Feminine,01.01.2007,30.06.2007,"99,616 Û","49,808 Û"
Start-Service - Fortsetzung,Dienststelle fu_r Personen mit Behinderung,01.01.2007,30.06.2007,"287,876 Û","143,938 Û"
"Kontaktstelle Chancengleichheit im
Beruf fu_r Frauen mit Behinderung -Fortsetzung",Dienststelle fu_r Personen mit Behinderung,01.01.2007,30.06.2007,"102,472 Û","51,236 Û"
Berufs- und Ausbildungsberatung (bis- 15 - Fortsetzung,Arbeitsamt der Deutschsprachigen Gemeinschaft,01.01.2007,30.06.2007,"94,940 Û","47,470 Û"
Sekunda_rausbildungen des Arbeitsamtes der DG: Aus- und Weiterbildungen im Baufach IV - Fortsetzung,Arbeitsamt der Deutschsprachigen Gemeinschaft,01.01.2007, 30.06.2007,"200,551 Û","96,276 Û"
Sekunda_rausbildungen des Arbeitsamtes der DG: Ausbildung zur professionellen Reinigungsfachkraft III - Fortsetzung,Arbeitsamt der Deutschsprachigen Gemeinschaft,01.01.2007,30.06.2007,"46,760 Û","8,397 Û"
Tertia_rausbildungen des Arbeitsamtes der DG IV - Fortsetzung,Arbeitsamt der Deutschsprachigen Gemeinschaft,01.01.2007,30.06.2007,"550,497 Û","263,663 Û"
Computerunterstu_tzte Sprach- und IKT-Ausbildungen fu_r Arbeitsuchende und Arbeitnehmer/innen III - Fortsetzung,Arbeitsamt der Deutschsprachigen Gemeinschaft,01.01.2007,30.06.2007,"47,072 Û","23,536 Û"
"Xistence V - Existenzberatung:
Gru_ndung von und Sicherung fu_r Unternehmen",Wirtschaftsfo_rderungs-gesellschaft Ostbelgien,01.07.2007,31.12.2009,"507,836 Û","235,524 Û"
Fit fu_r IT (FFIT),Zentrum fu_r Aus- und Weiterbildung des Mittelstandes Eupen,01.07.2007,31.12.2009,"361,125 Û","116,531 Û"
START-SERVICE,Dienststelle fu_r Personen mit Behinderung,01.07.2007,31.12.2009,"1,564,000 Û","782,000 Û"
"Werkstatt Cardijn, Kunstatelier fu_r
manuellen Druck, Papier und Textil der CAJ",Christliche Arbeiterjugend (CAJ),01.07.2007,31.12.2009,"805,710 Û","359,468 Û"
PERSPEKTIVE III,Kulturelle Aktion und Pra_senz,01.07.2007,31.12.2009,"669,410 Û","334,705 Û"
Weiterbildung- Information-Beratung (W.I.B. IV),"Ministerium der DG, KUAN, Weiterbildung-Information- Beratung",01.07.2007,31.12.2009,"157,156 Û","78,578 Û"
Berufliche Aus- und Weiterbildungsoffensive (BRAWO III),"Ministerium der DG, KUAN, Weiterbildung-Information- Beratung",01.07.2007,31.12.2009,"545,276 Û","272,638 Û"
Work & Job,Pro aktiv VoG,01.07.2007,31.12.2009,"873,615 Û","376,306 Û"
"Integrierte Ausbildung zur Familien-,
PflegehelferIn und KinderbetreuerIn - AFPK",Familienhilfe VoG / KPVDB VoG,01.10.2007,31.10.2009,"329,915 Û","164,958 Û"
"Starterkit - Fo_rderstruktur fu_r
Jugendliche mit schlechten Startchancen in der Ausbildung",Institut fu_r Aus- und Weiterbildung im Mittelstand und in kleinen und mittleren Unternehmen,01.10.2007,30.09.2009,"439,180 Û","184,255 Û"
DGStat - die interaktive Plattform fu_r die Statistik in der DG,"Ministerium der DG, ADM",01.10.2007,31.12.2009,"293,110 Û","146,555 Û"
Baufach - Kompetenz am Bau,Arbeitsamt der Deutschsprachigen Gemeinschaft,01.01.2008,31.12.2010,"864,490 Û","417,245 Û"
Kompetent fu_r Bu_ro- und Dienstleistungsberufe,Arbeitsamt der Deutschsprachigen Gemeinschaft ,01.01.2008,31.12.2010,"1,761,682 Û","862,841 Û"
Externe Vorschaltmassnahme Caritas Gruppe St. Vith,Caritas Gruppe St. Vith,01.07.2008,30.06.2011,"195,406 Û","89,881 Û"
Integrationsma§nahme Eifel,SOBAU VoG,01.07.2008,30.06.2011,"661,028 Û","196,940 Û"
