Beneficiare,Operation,Annee Allocation,Financement public
Brusoc,Brusoc,2008,"5.637.188,00"
AC Anderlecht,Port Sud - Canal d'innovation,,"9.975.000,00"
"ABE, Unizo, Jeunes Entreprises, Groupe One et Ichec PME",Stimuler l'esprit d'entreprendre en ZIP,2008,"1.563.136,00"
Village Finance,Village Finance,2008,"739.000,00"
Bruxelles Environnement,Brussels Green Fields,,"14.955.235,00"
AC Anderlecht,Espace Lumière - Centre d'accueil d'entreprises,,"8.767.776,00"
SDRB,Espace PME Paepsem,,"5.824.636,00"
CPAS Bruxelles,Pôle d'activités économiques urbaines,,"13.661.022,00"
ABE,Brussels GreenBizz - Incubateur,,"11.059.378,00"
Agence Régionale pour la Propreté,Bruxelles Ecopôle,,"4.092.634,00"
CSTC,Centre d'excellence construction durable,2008,"1.120.000,00"
Bruxelles environnement-ABE-Groupe One,Plan stratégiques,2008,"1.962.338,00"
Erasmushogeschool,EMOVO,,"861.753,00"
Abatan,Agro - Parc - Abatan,2008,"4.554.835,00"
Centre d'entreprise Dansaert,Centre Mode Design Brussels (CMDB),,"7.000.000,00"
BHR,Een openluchtzwembad voor Brussel,,"9.252.296,00"
CIRB,Favoriser l'usage de l'internet dans la ZIP,,"224.375,00"
Port de Bruxelles,Maison du Port,,"2.736.000,00"
ADT,Marketing urbain,2008,"3.226.660,00"
Atrium,Pôle d'innovation commerciale,2008,"3.289.300,00"
AC Schaerbeek,"Crèche Gaucheret 'Etoile du Nord""",,"1.888.846,00"
CPAS Ville de Bxl,"Crèche quartier ""Maison rouge"" Laeken",,"1.726.148,00"
AC St Gilles,Crèche Verhaegen,2008,"736.111,00"
Elmer,Elmer Nieuweland,2008,"805.993,00"
AC Anderlecht,Crèche Liverpool,,"576.000,00"
AC Molenbeek,"Milieux d'accueil de la petite enfance ""Rives Ouest""",2008,"2.911.521,03"
AC St-Josse,Crèche Station,2008,"2.429.161,24"
Athénée Royal Serge Creuz,CTA - Automatismes industriels,2008,"957.000,00"
Ville de Bxl Dpt Enseignement/Inst Arts et Métiers,CTA en électricité résidentielle et industrielle Arts et Métiers,2008,"953.000,00"
Institut Notre-Dame,CTA - Energies vertes et renouvelables,2008,"953.000,00"
Ville de Bxl Dpt Enseignement/Inst Diderot,CTA en infographie et en industries graphiques Arts et Métiers,2008,"953.000,00"
Institut Communal Technique Frans Fischer,CTA Fischer,2008,"1.241.000,00"
Collège La Fraternité,CTA - Puériculture et soins infirmiers,2008,"949.190,00"
AC Molenbeek,Espace Hôtelier Bellevue,2008,"4.144.927,38"
AC St-Gilles,Extension Cenforgil,2008,"1.475.000,00"
AC Forest,Foresthoreca,,"1.700.000,00"
AC Schaerbeek,Pôle de l'emploi,2008,"1.000.000,00"
