Operations,Beneficiaries,Total amount,ESF 50%,ReEgional 50%
Guidance/Recherche Active d’Emploi (RAE),"Service Guidance/RAE et atelier RAE (ACTIRIS)
Mission Locale d’Anderlecht 
Mission Locale de Bruxelles-Ville (Promotion de l’emploi) 
Mission Locale d’Etterbeek 
Mission Locale de Forest 
Mission Locale d’Ixelles - Mission Locale de Molenbeek 
Mission Locale de Saint-Josse-ten-Noode 
Mission Locale de Schaerbeek (Promotion de l’emploi) 
Boutique Emploi de Bruxelles Laïque 
CAFA 
Créemploi 
Wolu-Services 
M.A.K.S. (Media Actie Kuregem-Stad)/A.Z.W. Kurasaw
Groep Intro 
Intec Brussel 
Manpower Business solutions
Association 29 rue blanche 
Après 
Fondation travail et santé
Impulsion 
Info-Sourds 
Lire et EcrireService Guidance/RAE et atelier RAE (ACTIRIS)
Mission Locale d’Anderlecht 
Mission Locale de Bruxelles-Ville (Promotion de l’emploi) 
Mission Locale d’Etterbeek 
Mission Locale de Forest 
Mission Locale d’Ixelles - Mission Locale de Molenbeek 
Mission Locale de Saint-Josse-ten-Noode 
Mission Locale de Schaerbeek (Promotion de l’emploi) 
Boutique Emploi de Bruxelles Laïque 
CAFA 
Créemploi 
Wolu-Services 
M.A.K.S. (Media Actie Kuregem-Stad)/A.Z.W. Kurasaw
Groep Intro 
Intec Brussel 
Manpower Business solutions
Association 29 rue blanche 
Après 
Fondation travail et santé
Impulsion 
Info-Sourds 
Lire et Ecrire","2.587.695,69","1.293.847,84","1.293.847,84"
Accompagnement des be_ne_ficiaires du revenu d’inte_gration sociale,"CPAS (Centre Public d’Action Sociale) d’Anderlecht 
CPAS d’Auderghem 
CPAS de Berchem-Sainte-Agathe 
CPAS de Bruxelles-Ville
CPAS d’Etterbeek 
CPAS d’Evere 
CPAS de Forest 
CPAS de Ganshoren 
CPAS d’Ixelles
CPAS de Jette 
CPAS de Koekelberg 
CPAS de Molenbeek-Saint-Jean 
CPAS de Saint-Gilles 
CPAS de Saint-Josse-ten-Noode 
CPAS de Schaerbeek 
CPAS de Uccle 
CPAS de Watermael-Boitsfort 
CPAS de Woluwé-Saint-Lambert 
CPAS de Woluwé-Saint-Pierre","1.182.444,80",591.222.40,591.222.40
Accompagnement a_ la cre_ation de son emploi,"Céraction 
Après 
Iles 
Crédal +  
Unizo","244.711,52","122.355,76","122.355,76"
Actions en faveur de la diversite_ et lutte contre la discrimination,Actions en faveur de la diversite_ et lutte contre la discrimination (ACTIRIS),"262.529,40","131.264,70","131.264,70"
Garde d’enfants,"Crèche du Béguinage 
Crèche Cardinal Mercier 
Halte-garderie de la Senne 
Crèche de jour Reine Marie-Henriette 
Crèche Les amis d’Aladdin 
Crèche de Bruxelles-Ville – Ernest Salu 
Crèche de Bruxelles-Ville – Locquenghien 
Halte-garderie L’aquarelle 
Crèche royale Sainte-Geneviève 
Espaces Enfance 
Olina 
Baby-club (à partir du 01/07/2009","1.894.976,20","947.488,10","947.488,10"
Coordination du Pacte territorial pour l’Emploi,Pacte territorial pour l’emploi en RBC,"116.533,88","58.266,94","58.266,94"
Coordination me_thodologique du Re_seau des plateformes locales pour l’emploi (RPE),Re_fe_rents me_thodologiques du Re_seau des plates-formes locales pour l’emploi (ACTIRIS),"256.729,16","128.364,58","128.364,58"
Coordination et de_veloppement me_thodologiques des services aux chercheurs d’emploi,Coordination du re_seau Recherche Active d’Emploi (ACTIRIS),"241.668,94","120.834,47","120.834,47"
Coordination et de_veloppement me_thodologiques des services aux employeurs,,"89.418,20","44.709,10","44.709,10"
ESF NAP Impact Assessment Cell (ENIAC) RBC,« ENIAC » Re_gion de Bruxelles-Capitale (experte ACTIRIS),"45.070,32","22.535,16","22.535,16"
Analyse du marche_ du travail et des qualifications et anticipation des besoins en qualification,Observatoire bruxellois de l’Emploi (ACTIRIS),"837.546,70","418.773,35","418.773,35"
