Project name , Organization,Amount awarded by the ESF,Amount awarded by public bodies,Total eligible costs,Total financing,Final ESF,Total cost
(Dis)Ability at Work ," Prevent Instituut voor Prevente, Bescherming en Welzijn op het Werk ","6.350,00 ","6.350,00 ","12.700,00","12.700,00","5.842,95","11.685,90 "
(Re)start-to-work , Strategische Projectenorganisatie Kempen ,"106.920,00 ",n/a,"240.000,00 ","240.000,00 ",n/a,n/a
? Competent van kop tot teen , VLAAMS INSTITUUT VOOR VORMING EN OPLEIDING IN DE SOCIAL PROFIT ,"57.279,54 ","119.154,16 ","220.542,12","220.542,12",n/a,"63.799,27"
?Service? op een dienblad , ROLTEX NV ,"45.000,00 "," 55.000,00 ","160.666,50","160.666,50",n/a,n/a
@thetys testcentrum , @Thetys ,"182.860,03","223.495,59 ","406.355,62 ","406.355,62 ","66.135,70 ","151.375,51 "
A Lidl Change , LIDL BELGIUM GmbH und Co.KG ,"135.000,00 ","165.000,00","2.827.095,26","2.827.095,26",n/a,n/a
A Lidl More , LIDL BELGIUM GmbH und Co.KG ,"225.000,00","275.000,00","1.217.681,64 ","1.217.681,64 ","212.258,24 ","943.369,96"
Aangepast HR-beleid om sociale inclusie in ondernemingen mogelijk te maken , VDAB ,"12.500,00","12.500,00","25.000,00","25.000,00",n/a,n/a
Aanpak van psychosociale barri?res bij werkzoekenden uit kansengroepen , Katholieke Universiteit te Leuven ,"12.177,00 ","9.924,75 ","24.600,00 ","24.600,00 ",n/a,n/a
ABVV Loopbaanbegeleiding,VLAAMS A.B.V.V. SYNDIKALE DIENSTEN ,"323.077,50 ","397.122,50","720.200,00 ","720.200,00 ",n/a,n/a
activerende arbeidsorganisatie , De Vierklaver ,"45.000,00","55.000,00","208.692,65","208.692,65",n/a,n/a
actordossier prioriteit 1 - 2008 , VDAB ,"18.850.000,00 ","22.859.185,55","42.035.918,88 ","42.035.918,88 ","18.850.000,00","49.800.899,32 "
actordossier prioriteit 1 - 2009 , VDAB ,"18.850.000,00 ","22.859.185,55 ","42.035.918,88 ","42.035.918,88 ",n/a,n/a
"administratief bediende/telefonist, ict user support ", Antwerps Telematica Centrum ,"63.000,00 ","115.058,36 ","178.576,04 ","178.576,04 ","50.376,80 ","177.909,64 "
Amcor Flexibles Transpac Nv Training en opleiding , DIVISION HALEN ,"122.965,02","150.290,58","744.744,60 ","744.744,60 ",n/a,n/a
Amcor leiding geven , AMCOR FLEXIBLES TRANSPAC ,"29.280,54","35.787,34 ","144.595,28","144.595,28","20.190,32 ","116.370,48 "
ANKER II , Kuehne + Nagel NV ,"225.000,00 ","275.000,00","1.100.332,14","1.100.332,14","145.994,16","648.862,94 "
Anker III , Kuehne + Nagel NV ,"135.000,00 ","165.000,00 ","655.516,56","655.516,56 ",n/a,n/a
Arabel vzw , ARABEL erkend centrum loopbaandienstverlening ,"302.400,00 ","369.600,00","672.000,00 ","672.000,00 ","134.496,78","298.881,73"
ARABEL VZW,ARABEL erkend centrum loopbaandienstverlening,"302.400,00","369.600,00","672.000,00","672.000,00",n/a,n/a
Arbeids(re-)integratie na revalidatie van personen met psychische of psychiatrische problemen , De Ploeg ,"12.746,25 ","13.003,75 ","25.750,00 ","25.750,00 ",n/a,n/a
ART 60 Levanto , ondersteunende diensten ,"107.500,00 ","183.059,03 ","295.938,72 ","295.938,72 ",n/a,n/a
