Nom des bnficiaires,Portefeuilles,Projets,Date de dcision du gouvernement,Montant investi,Feder budget decide,Rgion wallonne budget decide,Autres budget decide,Total budget decide,Feder budget paye
<\GC FLAT GLASS EUROPE,n/a,n/a,18/12/2008,"28.206.000,00","1.400.000,00","2.600.000,00",n/a,"4.000.000,00",n/a
GIE DU SITE DE NIMY,n/a,n/a,29/12/2008,"1.710.000,00","125.685,00","233.415,00",n/a,"359.100,00",n/a
GIE EDOSERVE,n/a,n/a,09/12/2008,"6.100.000,00","533.750,00","991.250,00",n/a,"1.525.000,00",n/a
S.A.ALCTOURNAI,n/a,n/a,09/12/2008,"1.360.000,00","80.920,00","150.280,00",n/a,"231.200,00",n/a
S.A.ALLTAGSECURITY,n/a,n/a,09/06/2008,"1.503.000,00","126.252,00","234.468,00",n/a,"360.720,00",n/a
S.A.ARPADISMANAGE,n/a,n/a,20/06/2008,"6.500.000,00","910.000,00","1.365.000,00",n/a,"2.275.000,00",n/a
S.A. BIA SERVICES,n/a,n/a,26/09/2008,"6.200.000,00","651.000,00","1.209.000,00",n/a,"1.860.000,00",n/a
S.A. BLANCHISSERIE DUMOULIN,n/a,n/a,02/12/2008,"4.000.000,00","280.000,00","520.000,00",n/a,"800.000,00",n/a
S.A. BSI,n/a,n/a,18/12/2008,"21.250.000,00","2.231.250,00","4.143.750,00",n/a,"6.375.000,00",n/a
S.A. BV TRANSGENIC,n/a,n/a,25/11/2008,"750.000,00","84.807,69","157.500,00",n/a,"242.307,69",n/a
S.A. CARDON LOGISTIQUE,n/a,n/a,24/09/2008,"6.915.000,00","605.062,50","1.123.687,50",n/a,"1.728.750,00",n/a
S.A. COLOMBUS FOOD,n/a,n/a,25/11/2008,"4.000.000,00","420.000,00","780.000,00",n/a,"1.200.000,00",n/a
S.A. DELEYE PRODUCTS,n/a,n/a,10/06/2008,"3.934.500,00","275.415,00","511.485,00",n/a,"786.900,00",n/a
S.A. DELPHI GENETICS,n/a,n/a,24/11/2008,"3.450.000,00","390.115,37","724.500,00",n/a,"1.114.615,37",n/a
S.A. DIMEQUIP,n/a,n/a,25/11/2008,"4.500.000,00","425.250,00","789.750,00",n/a,"1.215.000,00",n/a
S.A. DOOSAN INFRACORE EUROPE,n/a,n/a,09/06/2008,"9.664.354,00","1.014.757,17","1.884.549,03",n/a,"2.899.306,20",n/a
S.A. ECOPLAST TECHNOLOGY,n/a,n/a,10/06/2008,"1.000.908,66","84.076,33","156.141,75",n/a,"240.218,08",n/a
S.A. ENTREPRISE DE MONTAGES EN GENERAL JE,n/a,n/a,22/04/2008,"5.663.000,00","393.750,00","731.250,00",n/a,"1.125.000,00",n/a
S.A. EUROTOLE,n/a,n/a,20/06/2008,"822.650,00","43.189,12","80.208,38",n/a,"123.397,50",n/a
S.A. GALACTIC,n/a,n/a,24/09/2008,"8.000.000,00","420.000,00","780.000,00",n/a,"1.200.000,00",n/a
S.A. ICE NATION,n/a,n/a,02/02/2009,"5.000.000,00","262.500,00","487.500,00",n/a,"750.000,00",n/a
S.A. JEAN BOUTIQUE,n/a,n/a,26/09/2008,"6.010.000,00","420.000,00","780.000,00",n/a,"1.200.000,00",n/a
S.A. KINGSPAN DOOR COMPONENTS,n/a,n/a,24/09/2008,"11.860.000,00","1.037.750,00","1.927.250,00",n/a,"2.965.000,00",n/a
S.A. LASER COATING DIAMONT,n/a,n/a,23/06/2008,"874.000,00","91.770,00","170.430,00",n/a,"262.200,00",n/a
