Beneficiaries,Portefeuilles,Project name,Decision date,Total eligible costs,Amount awarded by the FEDER,Amount awarded by Wallonnia region,Total cost,Final FEDER
S.A Belgium Satellite,n/a,n/a,15/09/2006,"724.178,35","253.462,42","470,715.93",n/a,n/a
S.A De Leuze,n/a,n/a,18/12/2008,92.848,"32.496,8","60.351,2",n/a,n/a
S.A EVS Broadcast,n/a,n/a,26/09/2008,1.240.800,"434.280,0","806.520,0",n/a,n/a
S.A Fonderies Marichal Ketin,n/a,n/a,18/12/2008,"671.688,59","235.091,01","436.597,58",n/a,n/a
S.A Francotel,n/a,n/a,18/12/2008,1.875.000,"656.250,0","1.218.750,0",n/a,n/a
S.A IPIC,n/a,n/a,30/06/2008,"881.650,0","308.577,5","573.072,5",n/a,n/a
S.A Liege air Cargo,n/a,n/a,26/09/2008,"467.870,25","163.754,59","304.115,66",n/a,n/a
S.A NRB,n/a,n/a,26/08/2008,"4.774.790,2","1.671.239,57","3.103.730,63",n/a,n/a
SPRL Knauf insulation,n/a,n/a,18/12/2008,473.214,"165.624,9","307.589,1",n/a,n/a
Inginerie financiere (filiale competititivite Luxembourg developpement),n/a,n/a,6/11/08,4.958.420,1.963.368,"2.169,678",n/a,n/a
Inginerie financiere (filiale competitivite Meusinvest),n/a,n/a,6/11/08,47.813.339,"19.125.335,6","20.921.894,99",n/a,n/a
Inginerie financiere (filiale competititive Namur invest),n/a,n/a,6/11/08,18.062.817,"7.225.126,8","7.903.826,99",n/a,n/a
Inginerie financiere (SOCAMUT SA),n/a,n/a,6/11/08,11.735.452,"4.694.180,8","7.041.271,2",n/a,n/a
Bureau economique de la province de Namur,NAMUR SYNERGIE sc - programme pluriannuel 2007-2013 -animation economique en province de Namur,information personnalisee,21/03/2008,"710.700,0","284.280,0",319.815,"14.123,56","5.649,52"
Bureau economique de la province de Namur,NAMUR SYNERGIE sc - programme pluriannuel 2007-2013 -animation economique en province de Namur,accompagnement projets innovants,21/03/2008,1.696.043,"678.417,2","763.219,35","80.931,89","32.372,76"
Bureau economique de la province de Namur,NAMUR SYNERGIE sc - programme pluriannuel 2007-2013 -animation economique en province de Namur,"support aux entreprises innovantes, existantes",21/03/2008,"1.769.250,0","707.700,0","796.162,5",4.204,"1.681,62"
Bureau economique de la province de Namur,NAMUR SYNERGIE sc - programme pluriannuel 2007-2013 -animation economique en province de Namur,renforcement de la strategie de developpement,21/03/2008,729.575,"291.830,0","291.830,0","37.477,85","14.991,14"
Bureau economique de la province de Namur,NAMUR SYNERGIE sc - programme pluriannuel 2007-2013 -animation economique en province de Namur,accompagnement des entreprises (Wallonnie-Bruxelles-Falndre),21/03/2008,"497.350,0","196.940,0","223.807,5",19.605,7.842
CHALLENGE,Equilibre/Challenge CDC Dinant,Emploi et insertion professionnelle,21/03/2008,"800.000,0","320.000,0","400.000,0","39.044,73","15.617,89"
CIDE/SOCRAN,Stimulation de l'animation economique en province de Liege,CREER-accompagnement personnel spin off spin out,21/03/2008,"2.497.500,0","999.000,0",874.125,"48.429,18","19.371,67"
CIDE/SOCRAN,Stimulation de l'animation economique en province de Liege,DIFFERENCIER-coaching adapte au manager,21/03/2008,1.149.998,"459.999,2","402.499,2",19.038,7.615
Chambre de commerce Namur,NAMUR SYNERGIE sc - programme pluriannuel 2007-2013 -animation economique en province de Namur,Renforcement des partenariats,21/03/2008,"1.335.500,0","534.200,0",467.425,18.976,"7.590,0"
Chambre de commerce Namur,NAMUR SYNERGIE sc - programme pluriannuel 2007-2013 -animation economique en province de Namur,Transmission des entreprises (agent relais,21/03/2008,608.714,243.485.6,"213.049,9",315,126
Chambre de commerce et d'industrie du Luxembourg belge,ANIMECOLUX- Programme 2007-2013 - animation economique en province de Luxembourg,information du reseau,21/03/2008,"261.450,0","104.580,0","104.580,0",n/a,n/a
Chambre de commerce et d'industrie du Luxembourg belge,ANIMECOLUX- Programme 2007-2013 - animation economique en province de Luxembourg,accompagnement au quotidien,21/03/2008,"1.270.342,5",508.137,"444.619,84",n/a,n/a
Chambre de commerce et d'industrie du Luxembourg belge,ANIMECOLUX- Programme 2007-2013 - animation economique en province de Luxembourg,agent relais transmission,21/03/2008,"417.562,5",167.025,"146.146,84",n/a,n/a
Chambre de commerce et d'industrie de Liege-Verviers,Stimulation de l'animation economique en province de Liege,DIFFERENCIER-coaching-energie enviroonement,21/03/2008,1.284.367,"514.146,8","449.878,45",n/a,n/a
Chambre de commerce et d'industrie de Liege-Verviers,Stimulation de l'animation economique en province de Liege,DEVELOPPER-reseautage d'entreprises,21/03/2008,1.654.318,"661.727,2","579.011,3",n/a,n/a
Chambre de commerce et d'industrie de Liege-Verviers,Stimulation de l'animation economique en province de Liege,COORDONNER-regional dynamics in business,21/03/2008,"1.500.000,0","600.000,0","675.000,0",n/a,n/a
Idelux,ANIMECOLUX- Programme 2007-2013 - animation economique en province de Luxembourg,accompagnement projets innovants,21/03/2008,"524.300,0","209.720,0",183.505,20.309,8.123
Idelux,ANIMECOLUX- Programme 2007-2013 - animation economique en province de Luxembourg,accompagnement a l'investissement,21/03/2008,"1.426.950,0","570.780,0","499.432,5","147.640,0",59.056
Idelux,ANIMECOLUX- Programme 2007-2013 - animation economique en province de Luxembourg,developpement des filieres,21/03/2008,401.702,"160.680,8","140.595,7",11.772,4.708
Idelux,ANIMECOLUX- Programme 2007-2013 - animation economique en province de Luxembourg,accompagnement des entreprises (Wallonnie-Bruxelles-Falndre),21/03/2008,"210.000,0","84.000,0","73.500,0",7.246,2.898
JOB'IN guichet d'entreprise,PEPINIERE D'ENTREPRISES DESIGN,pepiniere d'entreprise design,21/03/2008,"400.000,0","160.000,0","200.000,0",46.933,18.773
