"Prio","OD","Nr","Projectnaam","Promotor","EFRO","Totale kost","EFRO-%","Startdatum","Einddatum"
"P1",1,15,"IE-scan Intellectuele Eigendom-scan","Agentschap Ondernemen",159786.8,399467,40.00%,12/02/12,12/01/14
"P1",1,152,"Sensibilisering van innovatie in Limburg:=x","Innovatiecentrum Limburg",180000,450000,40.00%,12/02/12,12/01/14
"P1",1,199,"Ontwikkeling v/e innovatief kennissysteem ter bevordering van toeristisch ondernemerschap","Toerisme Limburg",146113.9,365284.76,40.00%,10/02/12,10/01/14
"P1",1,202,"KMO I & I","VOKA - Kamer van Koophandel Limburg",651393.37,1628483.43,40.00%,09/02/12,09/01/14
"P1",1,207,"Innovatiecoach","UNIZO - INTERNATIONAAL",334210,835525,40.00%,10/02/12,10/01/14
"P1",1,481,"Limburg op de kaart","Toerisme Limburg",267003.2,667508,40.00%,"10/23/13","10/22/15"
"P1",2,37,"REG in KMO's","Agentschap Ondernemen",363237.5,908093.74,40.00%,11/02/12,11/01/14
"P1",2,42,"ICTloket.be","Katholieke Hogeschool Limburg",146466.87,366167.17,40.00%,10/02/12,10/01/14
"P1",2,46,"NuTeC-NORM","Hogeschool Limburg",149151.64,372879.11,40.00%,"12/16/12","12/15/14"
"P1",2,69,"SCHERP: strategisch ICT-beleid en ERP in de KMO","Economische Raad voor Oost-Vlaanderen",86989.09,217472.73,40.00%,"12/17/12","12/16/14"
"P1",2,75,"Betonic@","Wetenschappelijk en Technische Centrum voor het Bouwbedrijf",467607,1169017.5,40.00%,04/02/13,04/01/15
"P1",2,91,"VLARIPgebruiker","Federatie van de Chemische Industrie van België",63390,158475,40.00%,12/02/12,12/02/14
"P1",2,97,"T+M Midden Vlaanderen","VOKA - Kamer van Koophandel Arrondissement Leuven",55286,138215,40.00%,01/02/13,01/01/15
"P1",2,98,"Haalbaarheid kenniscentrum duurzaam wonen en bouwen","Centrum voor duurzaam bouwen",58105,145261,40.00%,06/02/12,01/01/14
"P1",2,111,"Duurzame vraag? Dito aanbod!","Stad Gent",113470,283675,40.00%,11/02/12,"10/31/14"
"P1",2,141,"BIM","Clusta",115452,288630,40.00%,12/02/12,12/01/14
"P1",2,144,"Prodem_","Vlaamse Instelling voor Technologisch Onderzoek",417314.8,1043287,40.00%,10/02/12,10/01/14
"P1",2,158,"Commerciële innovatie","KORTRIJKS ONDERNEMERSCENTRUM",294577.66,736441.72,40.00%,10/02/12,10/01/14
"P1",2,179,"Commercieel gerichte innovatie in de sociale economie in West-Vlaanderen","POM West-Vlaanderen",79392.67,198481.67,40.00%,03/02/13,03/01/15
"P1",2,184,"Tot uw dienst","Innovatiecentrum Vlaams-Brabant",307670.93,769177.33,40.00%,12/02/12,12/01/14
"P1",2,186,"BIG: Begeleiding van Innovatieve Groeibedrijven","Leuven.Inc",93038,232595,40.00%,11/04/12,11/03/14
"P1",2,187,"Double-in-2","Spin-Off Kwadraat",196600,501240,39.22%,12/02/12,12/01/14
"P1",2,195,"LifeTechLimburg@work","Universiteit Hasselt - Instituut BIOMED",152513.8,381284.5,40.00%,"12/16/12","12/15/14"
"P1",2,432,"Digibouw","Confederatie Bouw Oost-Vlaanderen",261522.85,653807.12,40.00%,11/02/13,11/01/16
"P1",2,434,"Op weg naar de Digitale Fabriek","SIRRIS LEUVEN",224992.73,562481.83,40.00%,01/02/14,01/01/16
"P1",2,445,"Experimenten met innovatieve business modellen met cleantech inspireren een duurzame productie","SIRRIS LEUVEN",252481.06,631202.64,40.00%,10/02/13,10/01/15
"P1",2,447,"SUSPRO","Fedustria - Belgische federatie van de ondernemingen van de hout-, meubel en textielindustrie",523615.84,1309039.61,40.00%,01/02/14,01/01/16
"P1",2,452,"Energiebewust Boeren","Proefcentrum voor Innovatie, Verbreding en Advies voor Landbouw en veehouderij",396711.57,991778.92,40.00%,01/02/14,01/01/16
"P1",2,455,"SaaS BI bij KMO's - Software as a Service Business Intelligence","Katholieke Hogeschool Mechelen",215622,539055,40.00%,01/05/14,01/03/16
"P1",2,456,"ICT coach","Unie van Zelfstandige Ondernemers",712320,1780800,40.00%,01/02/14,01/01/16
"P1",2,474,"Competentiecentrum interactieve 3D","Hogeschool West-Vlaanderen",375515.56,938788.86,40.00%,"4/16/14","4/15/16"
"P1",2,479,"ABC-ICT","CSTC - WTCB",872839.15,2182097.92,40.00%,01/02/14,01/01/17
