"NUMBER COM","Name of Beneficiary","Project Name","Total budget","Size of grants provided "
1,"""ДАМВЕНТ"" ООД","""Инвестиции за технологично обновление и разширяване на дейността на Дамвент ООД""","397,990.00","238,794.00"
2,"""БУЛДЕКОР"" ООД","""Внедряване на иновативни технологии в мебелен завод Булдекор""","957,500.00","574,500.00"
3,"""ПОЛИФЛЕКС"" ООД","""Въвеждане на иновативна технология за директно лазерно гравиране в „Полифлекс” ООД""","1,149,750.00","689,850.00"
4,"""Л-КЛАС"" ООД","""Въвеждане на нов продукт в производството на софтуер – ЕRP за МСП /ИТ система за управление на МСП/ и предлагане на ERP през интернет""","728,810.00","473,726.50"
5,"""АГРИЯ"" АД","""Модернизация на Агрия АД""","1,527,400.00","760,000.00"
6,"""КЗУ - ЗЛМК"" ЕООД","""Повишаване на конкурентноспособността на “КЗУ-ЗЛМК”ЕООД чрез технологична модернизация""","1,015,800.00","609,480.00"
7,"""ИВАС ТЕХ"" ООД","„Подобряване на конкурентоспособността на ИВАС ТЕХ чрез внедряване на технология за  изработване на SMT Стенсили с прецизно лазерно рязане”","569,871.00","370,416.00"
8,"""ДУНАВ-ПРЕС"" АД","""Въвеждане на ново технологично оборудване в производствения процес""","1,353,108.26","811,864.00"
9,"""АНАКОНДА"" ЕООД","""Инвестиции в обновление и модернизация на производствения процес на Анаконда ЕООД""","1,141,486.00","684,891.60"
10,"""ЗАВОД ЗА ОПТИКА"" АД","„Производство на прецизни оптични компоненти с приложение във видимия и инфрачервения спектър на светлината”","319,013.95","190,999.99"
11,"""НЕС-НОВИ ЕНЕРГИЙНИ СИСТЕМИ"" ООД","""Технологична модернизация за повече и по-чиста енергия в „НЕС” ООД, гр Шумен""","2,316,758.21","999,124.54"
12,"“ХЕРТИ – М” ООД","”Повишаване конкурентоспособността на „Херти-М” ООД чрез технологично  обновление на сектор „Печат”""","427,650.00","256,590.00"
13,"""РУВИТЕКС"" ЕООД","„Технологична модернизация на на “Рувитекс” ЕООД чрез изграждане на система за вторична употреба на ПВХ промазани тъкани и система за бързо прототипиране и рецептурен развой""","1,677,042.00","999,852.44"
14,"ЕТ ""СЛАВЯНКА ВМ-ДИМИТЪР ДИМИТРОВ ПИРНАРЕВ""","""Технологична модернизация в производството на интериорни врати""","179,850.00","116,902.50"
15,"""ЕНКО - НЕДЕВ С-ИЕ"" СД","„Внедряване на нови продукти, съответстващи на европейските норми и изисквания, от СД “ЕНКО – Недев С-ие”""","564,820.14","367,133.09"
16,"""МЕБЕЛИКС"" ООД","“Въвеждане на ново оборудване за постигане на по-ефективно производство и по-високо качество на продукцията""","754,300.00","490,295.00"
17,"""АСТЕРА КОЗМЕТИКС"" АД","""Нови технически решения за повишаване конкурентноспособноста на Астера Козметикс""","787,850.00","512,102.40"
18,"""БТБ БЪЛГАРИЯ""  АД","""Закупуване на ново оборудване и повишаване на конкурентоспособността""","1,206,998.00","724,198.00"
19,"""ЕХНАТОН"" ООД","""Въвеждане на нови продукти с висока добавена стойност – нестандартни електротехнически прибори и “Подобряване качеството на настоящите продукти /електрически табла и цялостни решения за индустриална автоматизация/ чрез ново производствено оборудване и ERP система""","1,009,098.29","605,458.98"
20,"""ЛАКИ 131"" ООД","""Развитие на малка гъвкава леярна за производство на високо качество разнообразни детайли от цветни метали""","1,203,535.09","782,297.81"
21,"""АМТЕК"" ЕООД","„Повишаване на конкурентоспособността на фирма „АМТек” ЕООД чрез модернизиране и разширяване на производството за механична обработка на метал”","2,018,473.00","989,051.77"
22,"""АРП"" ООД","""Повишаване на конкурентоспособността, чрез модернизация и технологично обновление в “АРП” ООД ""","766,271.00","498,076.15"
23,"""ИНДЕКС - 6"" ООД","""Доставка и въвеждане в експлоатация на ново технологично оборудване""","1,192,528.42","715,517.05"
24,"""ЕЛМА 13"" ООД","""Технологична модернизация на  предприятие от мебелната промишленост „Елма 13” ООД – гр Троян""","1,125,114.09","731,324.16"
25,"""ЕЛТРЕЙД""  ООД","""Технологична модернизация за подобряване ефективността на “Елтрейд” ООД""","258,900.00","152,751.00"
26,"""ЕВРОПА ТРИКО"" АД","""Технологична модернизация на Европа Трико АД""","202,641.00","121,584.60"
27,"""ЕЛУКС"" ООД","""Усъвършенстване на технологиите и въвеждане на иновативен продукт в ЕЛУКС ООД, чрез роботизирани линии за опроводяване на луминесцентни осветители и автоматизирани машини за изработка на оптичните елементи на осветителите""","1,118,300.00","726,895.00"
28,"""ЛЕМИ - ТРАФО""  ЕООД","""Повишаване на производителността и качеството на продукцията на ЛЕМИ-ТРАФО ""","1,806,390.00","998,030.48"
29,"""НОВОТЕХПРОМ""ООД","""Подобряване на конкурентните предимства и пазарните позиции на “Новотехпром” ООД ""","3,134,000.00","1,000,000.00"
30,"""НЕМАТЕКС"" ЕООД","“Повишаване конкурентноспособността на “Нематекс” ЕООД чрез инвестиционно подпомагане за технологично обновление на производственото оборудване""","348,678.00","209,206.80"
31,"""ХОУЛИ-ПИЛАНА""ООД","""Доставката на ново технологично оборудване – средство за повишаване на конкурентоспосбността на компанията""","460,172.00","276,103.20"
32,"“КАСИ ТЕМПРА ПАК” ООД","“Повишаване на конкурентните предимства и създаване на предпоставки за устойчиво развитие, чрез въвеждане на съвременни производствено-технологични практики в „КАСИ ТЕМПРА ПАК” ООД ""”","182,470.59","91,235.29"
33,"""БУЛ-АРТ"" ЕООД","""Технологична модернизация посредством закупуването на обработващ център с ЦПУ за ""Бул-Арт""ООД""","262,133.00","170,386.45"
34,"„ВЕЛИКОВИ” ООД","""Повишаване на конкурентноспособността на ""ВЕЛИКОВИ""ООД чрез технологична модернизация""","1,435,202.00","717,601.00"
35,"""МИНЕРАЛ"" ЕООД","""Преминаване към еколого-съобразна технология в асфалтополагането и разширяване на гамата продукти на МИНЕРАЛ ЕООД чрез инвестиции в автоматизирани, модерни и високотехнологични системи и оборудване""","265,000.00","172,250.00"
36,"„ПАВЕЛ И СИНОВЕ” ООД","""Технологична модернизация и повишаване конкурентноспособността на „Павел и синове” ООД""","1,080,545.29","648,327.17"
37,"""МУЛТИПРИНТ"" ООД","„Повишаване конкурентноспособността на Мултипринт ООД”","397,000.00","238,200.00"
38,"""КОНСОРЦИУМ НАЦИОНАЛНА БАЗА ЗА ИНСТРУМЕНТИ"" ООД","„Инвестиции в разширяване производството на „Консорциум Национална База за Инструменти” ООД”","1,449,244.00","869,546.40"
39,"„КММ” АД","Технологична модернизация на „КММ” АД, чрез въвеждане на нови технологии в производствения процес""","939,553.64","563,732.18"
40,"""ПРУЖИНИ-ПЕНЕВ"" ООД","""Технологичното обновление – начин за завоюване на нови пазари за „Пружини Пенев” ООД""","1,099,634.00","659,780.00"
41,"""ГЕОТОТАЛ"" ООД","""Внедряване на съвременна тридименсионална технология и оборудване за лазерно сканиране с цел повишаване конкурентноспособността на геототал, модернизиране на производствените процеси и диверсификация на продукцията""","350,000.00","122,500.00"
42,"ЕТ ""СИМА-ЯКИМ МИХОВ""","""Разширяване на производството""","349,600.00","227,240.00"
43,"""НЕДЕВ""ООД","""Модернизация и развитие в Недев ООД""","320,800.00","208,520.00"
44,"ЕТ""СОФИ-В-ВАСИЛ ВАЧКОВ-МАРИЯ ВАЧКОВА""","""Усъвършенстване на технологичния процес във фирма “Софи-В”, чрез закупуване на ново оборудване""","214,300.00","139,295.00"
45,"""ИНХОМ – 98"" ООД","""Интензификация на технологични операции при производството на формови комплекти  за стъкларската индустрия""","1,029,011.00","504,215.39"
46,"""КАМ - 919"" ЕООД","""Повишаване на конкуретноспособността, посредством автоматизиране на процеса на производство и повишаване качеството на продукти с нарастващ пазарен потенциал /опаковки от 3 и 5 пластно велпапе/""","212,000.00","127,200.00"
