"Name of Beneficiary","Project Name","Total Project Budget (BGN)","Total eligible costs (BGN)","Size of grants provided (BGN)"
"Биовет  АД","Внедряване на патентовани методи за получаване на плеуромутилин и тиамулин в Биовет АД","6,836,952.80","6,833,527.80","3,416,763.90"
"СД Е-М-А - Станчев и Сие","Внедряване в серийно производство на изобретение ""Спирачно устройство за въртящо се ходово колело""","635,010.00","635,010.00","443,805.00"
"Енеро ООД ","Изработване и пускане в експлоатация на инсталация за комплексна газификация на автомобилни гуми, биомаса и органични отпадъци за производство на електрическа и топлинна енергия","3,779,960.00","3,624,960.00","2,475,257.00"
"Солид-55 ООД ","Технологично оборудване за производство на иновативен продукт ""Защитна врата с фиксиран достъп"" и услуги за пазарната му реализация","3,592,411.00","3,592,411.00","2,139,277.20"
"Транспласт МПД ООД ","Внедряване на иновативни продукти в производството ","787,386.93","782,936.73","383,639.00"
"Спесима ООД","Внедряване на гама високотехнологични специализирани роботи","481,800.00","481,800.00","285,400.00"
"Оптикс АД ","Внедряване в производството на неохлаждаема термовизионна камера с три зрителни полета","11,471,980.00","7,951,980.00","3,975,990.00"
"Влагоклима ООД ","Повишаване конкурентоспособността на Влагоклима ООД, чрез въвеждане в производство на иновативен продукт","2,450,500.00","2,450,500.00","1,461,500.00"
"Рунел АД","Разработване и внедряване на иновативен продукт Рувилит","7,098,913.00","7,098,913.00","3,976,096.29"
"Спарки Елтос АД","Внедряване на фамилия акумулаторни ръчни електроинструменти","8,158,692.00","7,934,072.00","3,967,036.00"
