"Name of Beneficiary","Project Name","Total budget (EUR)","Size of grants given (BGN)"
"""БКС"" ЕООД","""БКС ЕООД - повишаване конкурентоспособността чрез производство в съответствие със стандарт ISO 14001:2004""","200,038.00 ","99,999.00 "
"""РУВЕКС"" АД","""По-конкурентоспособни чрез повишена сигурност на управление на информацията""","223,105.00 ","99,995.66 "
"""ДИМАС"" АД","""Въвеждане и сертификация на система за управление на околната среда в съответствие с международния стандарт ISO 14001:2004""","399,240.00 ","99,810.00 "
"""КАПРОНИ"" АД","""Повишаване конкурентоспособността на ""КАПРОНИ"" АД, посредством въвеждане на СД ISO / TS 16949 с-ма за управление на качеството в автомобилната индустрия и инвестиции в контролно-измервателно оборудване""","256,238.67 ","99,804.96 "
"""СТОУН КОМПЮТЪРС"" АД","""Осигуряване на защита на информацията чрез сертифициране по стандарт ISO 27001 в Стоун Компютърс АД""","203,200.00 ","99,568.00 "
"""КОПРИВЛЕН-МРАМОР"" ЕООД","""Към съвременно производство чрез покриване изискванията на стандарт ISO 14001:2004""","199,500.00 ","99,490.65 "
"""ЕНЕРГОРЕМОНТ - БОБОВ ДОЛ"" АД","""Минимизиране на аспекти на замърсяване на околната среда чрез внедряване и сертификация на СУОС и закупуване на релевантно оборудване""","198,000.00 ","98,500.00 "
"""СМ СЕНЗОРМАТИК"" ЕООД","""Повишаване конкутентоспособността на „СМ Сензорматик” ЕООД чрез покриване на изискванията на международно признат стандарт EN ISO/ IEC 17025:2005.""","196,300.00 ","98,150.00 "
"""ХРОМ"" АД","""Повишаване на ефективността на управленския процес на ХРОМ АД  чрез покриване на международно признати стандарти""","190,738.00 ","95,369.00 "
"""ФАКТОР"" ЕООД","""Внедряване на Система за управление на околната среда за постигане на устойчиво развитие на Фактор ЕООД и висока конкурентоспособност на фирмата""","189,500.00 ","94,500.00 "
"""НОЖАРОВ"" АД","""Повишаване на конкурентността на „Ножаров” АД, чрез покриване на международно признати стандарти""","180,620.00 ","90,310.00 "
"""ИНСТАЛ ИНЖЕНЕРИНГ СВ"" ООД","""Оценка на съответствието за стандарти EN253, EN448 и EN488 на продуктите на „Инстал инженеринг” и контролна система за тяхното изпитване""","179,500.00 ","89,750.00 "
"""ЗАВОД ЗА ХАРТИЯ"" АД","""Модернизация на управлението на ЗАВОД ЗА ХАРТИЯ АД чрез покриване на международно признати стандарти""","173,606.00 ","86,803.00 "
"""БЪДЕЩНОСТ"" АД","""Повишаване на конкурентноспособността на БЪДЕЩНОСТ АД чрез покриване на международно признати стандарти""","172,860.00 ","86,430.00 "
"""ЧУГУНЕНА АРМАТУРА БЪЛГАРИЯ"" АД","""Повишаване на конкурентноспособността на ЧУГУНЕНА АРМАТУРА - БЪЛГАРИЯ АД, чрез покриване на международно признати стандарти""","169,860.00 ","84,930.00 "
"""ТЕХАРТ-КОМЕРС"" ЕООД","""Повишаване на конкурентноспособността на „Техарт Комерс” ЕООД чрез покриване на международно признати стандарти""","168,880.00 ","84,440.00 "
"""ЛЕСИЛМАШ"" ЕООД","""Повишаване на конкурентноспособността на “Лесилмаш” ЕООД чрез въвеждане на система за управление на качеството и инвестиции в оборудване за покриване на международно признат стандарт БДС EN  ISO 9001:2000""","165,720.00 ","82,860.00 "
"""СИЗАС-ЗЕБРА ИНТЕРНЕШАНЪЛ /СИЗЕ/"" АД","""Повишаване на конкурентоспособността на СИ.ЗЕ АД чрез въвеждане на ISO 9001 и инвестиции в оборудване""","136,830.00 ","68,415.00 "
"""АТЛАС КОНСУЛТИНГ ХОЛДИНГ ГРУП"" ЕООД","""Информация и сигурност – качество за клиента""","134,790.23 ","66,047.21 "
