Name of Beneficiary,Project Name,Total budget (EUR),Size of grants given (BGN)
Damvent Ltd.,Investment in technological renovation and expansion of Damvent Ltd.,"397 990,00","238 794,00"
BULDECOR Ltd.,Implementation of innovative technologies in a furniture factory Buldecor,"957 500,00","574 500,00"
POLIFLEKS Ltd.,Introduction of innovative technology for direct laser engraving in Polifleks Ltd.,"1 149 750,00","689 850,00"
L-CLASS Ltd,Introducing a new product in the production of software - ERP for SME / IT management system for SME / ERP and supply over the Internet,"728 810,00","473 726,50"
Agria Corp.,Modernization of Agria AD,"1 527 400,00","760 000,00"
KZU - ZLMK Ltd.,Increasing the competitiveness of KZU-ZLMK Ltd. through technological modernization,"1 015 800,00","609 480,00"
IVAS Tech Ltd.,Improving competitiveness through IVAS Tech technology for manufacturing of SMT stencils with precision laser cutting,"569 871,00","370 416,00"
RIVER-PRESS Corp.,Introduction of new technological equipment in the production process,"1 353108,26","811 864,00"
Anaconda Ltd.,Investment in renovation and modernization of the manufacturing process of Anaconda Ltd.,"1 141 486,00","684 891,60"
FACTORY OPTIC AD,Production of precision optical components with applications in visible and infrared spectrum of light,"319 013,95","190 999,99"
NES-NEW ENERGY SYSTEMS LTD,"Technological modernization for more and cleaner energy in the NES Ltd, Shumen","2 316 758,21","999 124,54"
Herti - M Ltd.,"Increasing the competitiveness of Herti-M Ltd. through technological innovation sector Print ""","427 650,00","256 590,00"
RUVITEKS Ltd.,Technological modernization of Ruviteks Ltd. by building a system for secondary uses of PVC coated fabrics and a system for rapid prototyping and recipe development,"1 677 042,00","999 852,44"
ET SLAVYANKA BM-Dimitar Dimitrov PIRNAREV,Technological upgrading in the production of interior doors,"179 850,00","116 902,50"
Encon - NEDEV C-EI SD,Introduction of new products in line with European norms and requirements of SD Encon - Nedev C-eah,"564 820,14","367 133,09"
MEBELIKS Ltd.,Introduction of new equipment to achieve more efficient production and higher quality products,"754 300,00","490 295,00"
Astera Cosmetics SA,New technical solutions for enhancing konkurentnosposobnosta of Astera Cosmetics,"787 850,00","512 102,40"
BTB BULGARIA PLC,Purchase of new equipment and increase competitiveness,"1 206 998,00","724 198,00"
Akhenaten Ltd.,Improving the quality of these products / electrical panels and complete solutions for industrial automation / through new production equipment and ERP system,"1 009 098,29","605 458,98"
Lackey 131 Ltd.,Development of a small flexible foundry to produce high quality parts from various non-ferrous metals,"1 203 535,09","782 297,81"
AMTEK Ltd.,Improving the competitiveness of the company AMTek Ltd by modernizing and expanding the production machining of metal,"2 018 473,00","989 051,77"
CBA Ltd,Enhancing competitiveness through modernization and technological renovation in the CBA Ltd.,"766 271,00","498 076,15"
INDEX - 6 Ltd.,"Supply and commissioning of new technological equipment ""","1 192 528,42","715 517,05"
ELMA 13 Ltd.,"Technological modernization of enterprise furniture industry Elma 13 ""Ltd. - town of Troyan","1 125 114,09","731 324,16"
ELTRADE Ltd.,Technological modernization to improve the effectiveness of Eltrade Ltd.,"258 900,00","152 751,00"
Trick EUROPE PLC,Technological modernization of Europe Tricot PLC,"202 641,00","121 584,60"
ELUKS Ltd.,"Improvements in technology and introduction of innovative product ELUKS Ltd., through robotic lines for wiring fluorescent lighting and automated machines for manufacturing of optical elements of the luminaire","1 118 300,00","726 895,00"
Lemmy - TRAFO Ltd.,Increased productivity and product quality of Lemmy-TRAFO,"1 806 390,00","998 030,48"
Novotechprom Ltd.,Improving the competitive advantages and market position of Novotechprom Ltd.,"3 134 000,00","1 000 000,00"
NEMATEKS Ltd.,Increasing the competitiveness of Nemateks Ltd. through investment support for technological renewal of production equipment,"348 678,00","209 206,80"
Howe Lee Filed Ltd.,The supply of new technological equipment - tool for improving the company konkurentosposbnostta,"460 172,00","276 103,20"
KASI Tempra Pack LTD,"Increasing the competitive advantages and create conditions for sustainable development through the introduction of modern production technology practices KASI Tempra Pack ""LTD""","182 470,59","91 235,29"
BUL-ART LTD,Technological modernization by purchasing machining center CNC Bul-Art Ltd.,"262 133,00","170 386,45"
Velikov Ltd.,Increasing the competitiveness of Velikov Ltd. through technological modernization,"1 435 202,00","717 601,00"
Mineral Ltd.,"Moving towards environmentally friendly technology in the asphalt and extend the range of products MINERAL Ltd by investing in automated, modern and high-tech systems and equipment","265 000,00","172 250,00"
PAUL AND SONS LTD,Technological modernization and increased competitiveness of Paul and Sons Ltd.,"1 080 545,29","648 327,17"
Multiprint Ltd.,Increasing the competitiveness of Multiprint Ltd.,"397 000,00","238 200,00"
CONSORTIUM NATIONAL BASIS FOR INSTRUMENTS LTD,Investments in expanding the production of the National Consortium for Database Tools Ltd.,"1 449 244,00","869 546,40"
KMM AD,"Technological modernization of KMM AD, by introducing new technologies in the production process","939 553,64","563 732,18"
Spring-PENEV Ltd.,"Technological innovation - a way to conquer new markets, Penev Springs Ltd ""","1 099 634,00","659 780,00"
GEOTOTAL Ltd.,"Implementation of three-dimensional art technology and equipment for laser scanning to enhance the competitiveness of geototal, modernization of production processes and diversification of production","350 000,00","122 500,00"
"ST ""Sima-Yakim Mihov""",Expansion of production,"349 600,00","227 240,00"
NEDEV Ltd.,Modernization and development Nedev Ltd.,"320 800,00","208 520,00"
ET SOFI-B-MARIA Vassil VATCHKOV VATCHKOV,"Improvement of the process in Sophie-B ""by buying new equipment""","214 300,00","139 295,00"
INHOM - 98 Ltd.,Intensification of technological operations in the formed sets for glass industry,"1 029 011,00","504 215,39"
RAM - 919 Ltd.,Enhancing competitiveness through automation of the production process and quality of products with increasing market potential / packs of 3 and 5 ted cardboard /,"212 000,00","127 200,00"
Electrical 2004 AD,Technological modernization of the electrical company in 2004 AD,"1 591 596,00","954 957,60"
Agromill Ltd.,Increasing the competitiveness of Agromill Ltd. through the purchase of technological equipment for production of metal constructions,"1 924 827,00","962 413,50"
Torgoterm AD,Improving the competitiveness of Torgoterm through the introduction of computerized technology complex for cutting and bending of parts from sheet steel,"1 957 930,00","978 965,00"
HYGIENE AND MEDICAL INDUSTRY LTD,"New Markets and Sustainable Development NMEA ""","1 499 694,00","899 816,40"
PLASTEC Ltd.,"Stability, sustainability and competitiveness now and in future","1 241 450,00","806 942,50"
Consumer electronics PLC,____________ _____ __ ____________ __ ____ ___________ ________,"2 948 570,00","996 306,81"
KONTRAX EAD,Investments in software production and provision of repair services for complex ICT systems in global standards,"877 800,00","526 680,00"
RALOMEKS AD,Technological modernization and introduction of innovative processes in Ralomeks AD,"540 800,00","324 480,00"
MULTITEST Ltd.,"Modernization, improvement and extension of the production process and development in the Multitest LTD","1 687 172,27","843 586,13"
NIC 47 Ltd.,Increasing the competitiveness of NIK 47 Ltd by modernizing the production process,"829 400,00","489 346,00"
HIDROPLASTFORM Ltd.,Technological modernization in HIDROPLASTFORM Ltd.,"131 930,00","85 754,50"
DAY Ltd.,Investment project for the purchase of cutters and table straight nepravolineyno glaziers',"123 640,00","61 758,18"
Areal Ltd.,Introducing high-tech equipment in the production process,"647 000,00","420 000,00"
NIKIKA-90 Ltd.,"Improving the competitiveness of NIKIKA-90 Ltd. ""","288 000,00","187 200,00"
Rubella BEAUTY AD,Improving the competitiveness of Rubella BEAUTY AD by introducing modern technological equipment,"1 728 043,00","1 000 000,00"
MERRILL-90 AD,Increasing the competitiveness of the company through automation and modernization of technological equipment for the conquest of stable market positions ,"432 550,00","281 157,50"
TRANEMO - AMITSBOL CORPORATION LTD,Introduction of new technological equipment in Tranemo-Amitsbol Corporation Ltd.,"173 476,00","104 085,60"
Real BULGARIA Ltd.,Increasing the competitiveness of Bulgaria Ltd. Real and improving market positions through commissioning of new capacities and increase the volume output ,"251 500,00","163 475,00"
Brice - HM AD,Support for purchase of machinery and construction works for the technological modernization of Brice-XM AD grBreznik,"373 000,00","242 000,00"
BCC-95 Ltd.,Improving the competitiveness of BCC-95 Ltd.,"1 576 000,00","945 600,00"
ETIKOM Ltd.,Increasing the competitiveness of ETIKOM Ltd by expanding and diversifying manufacturing activities,"1 492 071,00","895 242,60"
VALIYAN Ltd.,Automating and expanding production and boutique hotel furniture,"1 718 250,82","999 850,15"
ET-IVIL Ivan Krastev,Upgraded technology for more and better bread,"850 880,00","553 072,00"
