"Name of the Beneficiary","Name of the Operation","Name and Number of the Procedure","Project proposal No","Year of Allocation/ Year of Final Payment","Ammounts Committed (BGN)","Total Ammounts Paid at the End of the Operation (BGN)"
"Balgarka Nature Park Directorate","Restoration of habitats and the biodiversity on the territory of Nature Park Balgarka","B G161PO005/08/3.0/01/05 ﾄProtection and restoration of biodiversity in Bulgaria""","58301-4-424",2009,"836 759,92",0
"Bulgarian Biodiversity Foundation","Protection of the wild goat and the brown bear in Bulgaria (outside the territory of national and nature parks and reserves) through the implementation of components of the action plans of the two species","B G161PO005/08/3.0/01/05 ﾄProtection and restoration of biodiversity in Bulgaria""","58301-75-495",2009,"578 832,00",0
"Bulgarian Society for Protection of Birds","Protection of vultures in East Rodopi Mountain","B G161PO005/08/3.0/01/05 ﾄProtection and restoration of biodiversity in Bulgaria""","58301-62-482",2009,"95 000,00",0
"Central Balkan National Park Directorate","Provision of information and improvement of the visitor's infrastructure in National Park Central Balkan","B G161PO005/08/3.0/01/05 ﾄProtection and restoration of biodiversity in Bulgaria""","58301-30-450",2009,"1 279 486,99",0
"Central Balkan National Park Directorate","Protection, maintenance and restoration of natural habitats and habitats of species in NP Central Balkan","B G161PO005/08/3.0/01/05 ﾄProtection and restoration of biodiversity in Bulgaria""","58301-32-452",2009,"1 657 459,95",0
"Central Balkan National Park Directorate","Update of Central Balkan National Park Management Plan","BG161PO005/09/3.2/04/12 Update of Central Balkan National Park Management Plan","DIR-593212-1-8",2010,"2 362 434, 55",0
"Green Balkans","Urgent measures to restore and preserve species and habitats of importance on the European level in the complex of protected nature territories of the Pomorian lake","B G161PO005/08/3.0/01/05 ﾄProtection and restoration of biodiversity in Bulgaria""","58301-67-487",2009,"778 871,58",0
"Green Balkans -Stara Zagora","Conservation activities aimed at target species from the bird directive of the EU - Lesser Kestrel (Falco naumanni), Eurasian Black Vulture (Aegypius monachus), Imperial Eagle (Aquila heliaca), in their main habitats in Bulgaria","B G161PO005/08/3.0/01/05 ﾄProtection and restoration of biodiversity in Bulgaria""","58301-60-480",2009,"645 955,38",0
"Municipality Aksakovo","Completion the construction of household sewerage connections and rehabilitation of part of the water-supply network oflgnatievo village","BG161PO005/08/1.30/01/01 Technical assistance for development of investment projects under priority axis 1 of Operational Programme Environment 2007 - 2013","58131-73-73",2009,"410 400,00",0
"Municipality Asenovgrad","Technical assistance for preparation of project ""Construction and reconstruction of inner water-supply and sewerage network of Topolovo village, bringing collector and construction of Waste Water Treatment Plant"" to apply for financing under OP Environment","BG161PO005/08/1.30/01/01 Technical assistance for development of investment projects under priority axis 1 of Operational Programme Environment 2007 - 2013","58131-79-79",2009,"595 000,00",0
