" Name of 
 beneficiaries",Name of the operation,Year,Alokowana kwota ,"__czna kwota wyp_acona na zako_czenie projektu 
"
"""Hospodá_ská komora okresu P_erov""",Aktivní hospodá_sk_ prostor - _esko-polské p_íhrani_í,2008,"178,292.52",0
"""Region HANÁ, o.s.""",RAZEM-SPOLU,2008,"34,322.00",0
Centrum pro regionální rozvoj _R,Aktivity JTS v programu Cíl 3 _R-Polsko,2008,"1,108,103.35",0
Centrum pro regionální rozvoj _R,CRR _R Kontrolní _innosti OPPS _R-Polsko pro období 2008-2010,2008,"660,740.40",0
Centrum pro regionální rozvoj _R,CRR _R Propagace OPPS _R - PR 2007 - 2013 zaji__ovaná JTS,2008,"127,500.00",0
Centrum pro regionální rozvoj _R,úpravy Monit7+ a Benefit7 pro OPPS _R - Polsko,2008,"489,960.40",0
_s. speleologická spole_. ZO Albe_ice,Podzemí Krkono_,2009,"211,667.00",0
Dechová kapela V_rovanka,RAZEM-SPOLU,2008,"89,017.00",0
"Dolnoslezská agentura regionálního rozvoje, a.s.",_esko-polsk_ inova_ní portál,2009,"68,204.54",0
Dolnoslezské vojvodství - Dolnoslezská správa silnic a _eleznic,Revitalizace _elezni_ní trat_ Szklarska Por_ba - Harrachov,2009,"3,622,062.00",0
Dolnoslezské vojvodství / Dolnoslezsk_ ú_ad silnic a _eleznic ve Wroclawi (DSDiK),Zlep_ení dostupnosti v oblasti Králického Sn__níku,2009,"2,977,528.00",0
Dolnoslezsk_ kraj / Dolnoslezská správa silnic a _eleznic Wroclaw,Zlep_ení dopravní infrastruktury v Krkono_ích a Jizersk_ch horách,2008,"2,337,500.00",0
Domov - penzion pro d_chodce Jeseník,Senio_i v Schengenu,2008,"55,783.80",0
Glubczyck_ okres,Rekonstrukce a modernizace silnice v úseku T_ebom - Kietrz,2009,"296,769.77",0
Gmina Kolonowskie,Destina_ní management turistick_ch lokalit Hranicko a Dolina Ma_ej Panwi,2008,"80,321.60",0
Gmina Zawadzkie,Destina_ní management turistick_ch lokalit Hranicko a Dolina Ma_ej Panwi,2008,"50,391.40",0
Hasi_sk_ záchrann_ sbor Olomouckého kraje,Partnerství pro bezpe_nost. P_eshrani_ní systém podpory záchrann_ch _inností spole_n_mi opat_eními a nákupem specializovaného vybavení.,2009,"397,530.00",0
Hospodá_ská komora _eské republiky,Vytvo_ení sít_ Kontaktních center _esko-Polské hospodá_ské spolupráce,2009,"168,184.00",0
"Hranická rozvojová agentura, z.s.",Destina_ní management turistick_ch lokalit Hranicko a Dolina Ma_ej Panwi,2008,"123,000.00",0
Institut ekologie pr_myslov_ch území,Zlep_ení kvality ovzdu_í v p_íhrani_ní oblasti _eska a Polska,2008,"202,555.00",0
"Institut EuroSchola, o.s.",Business bez hranic,2008,"174,362.40",0
Jaworské kulturní st_edisko,Podpora a rozvoj partnerské spolupráce Jawor - Turnov,2008,"143,205.65",0
Jesenická rozvojová o.p.s.,Na stezkách bez hranic,2009,"100,845.00",0
Jesenická rozvojová o.p.s.,Zelené Hostince - venkovská turistická sí_ opírající se o kulturní d_dictví region_ Opolska a Jesenicka,2009,"90,577.20",0
Jeseníky - Sdru_ení cestovního ruchu,Vítejte u nás - v nysko-jesenickém regionu,2008,"168,338.60",0
Jilemnicko - svazek obcí,Krakono_ovy letní podve_ery bez hranic,2009,"73,052.47",0
"JIZERSKÁ, o.p.s.",Jizersko-Jakuszycka magistrala,2008,"779,497.20",0
Kladská pr_myslová a obchodní komora,Vytvo_ení sít_ Kontaktních center _esko-Polské hospodá_ské spolupráce,2009,"105,418.70",0
Komitét pro udr_ování památek z války roku 1866,Historické rekonstrukce - spole_n_ turistyck_ produkt v _esko-polském p_íhrani_í,2008,"246,996.80",0
Krajská hospodá_ská komora Královéhradeckého kraje,_esko-polsk_ inova_ní portál,2009,"60,953.99",0
Krajská hospodá_ská komora Královéhradeckého kraje,Vytvo_ení sít_ Kontaktních center _esko-Polské hospodá_ské spolupráce,2009,"109,182.00",0
Krajská hospodá_ská komora Moravskoslezského kraje,Vytvo_ení sít_ Kontaktních center _esko-Polské hospodá_ské spolupráce,2009,"86,596.00",0
"Krajská správa silnic Libereckého kraje (KSS LK), p_ísp_vková organizace",Vytvo_ení p_eshrani_ního propojení mezi obcemi _ernousy a Zgorzelec,2008,"618,850.00",0
"Krajská správa silnic Libereckého kraje, p_ísp_vková organizace","Zlep_ení dopravní dostupnosti mezi m_sty Hrádek na Nisou (CZ), Bogatynia (PL) a He_manice (CZ) v _esko-polském p_íhrani_í",2008,"52,497.36",0
"Krajská správa silnic Libereckého kraje, p_ísp_vková organizace",Zlep_ení dopravní infrastruktury v Krkono_ích a Jizersk_ch horách,2008,"1,798,015.50",0
Krajské _editelství policie Severomoravského kraje,_esko - polské p_íhrani_í - zlep_ení bezpe_nosti,2009,"288,000.00",0
Královéhradeck_ kraj,Technická pomoc pro Královéhradeck_ kraj - OPPS _R-PR 2007-2013,2008,"85,000.00",0
Královéhradeck_ kraj,Modernizace p_ístupov_ch komunikací k hrani_nímu p_echodu Ole_nice v Orlick_ch horách - Lewin K_odzki,2009,"2,978,816.40",0
Královéhradeck_ kraj,Modernizace p_ístupov_ch komunikací k hrani_ním p_echod_m Broumovského v_b__ku,2009,"3,442,485.70",0
Královéhradeck_ kraj,_esko-polsk_ inova_ní portál,2009,"110,388.06",0
Krkono_ská agentura pro regionální rozvoj a.s.,Vytvo_ení sít_ Kontaktních center _esko-Polské hospodá_ské spolupráce,2009,"139,799.75",0
Krkono_sk_ národní park,Zlep_ení p_eshrani_ní spolupráce v ekologické v_chov_ v KRNAP a KPN,2008,"58,699.00",0
"Kulturní a spole_enské st_edisko ""St_elnice""",11. filmová p_ehlídka Kino na hranici,2008,"34,765.00",0
"Kulturní a spole_enské st_edisko ""St_elnice""",Jedno m_sto - jedna kultura,2008,"415,645.00",0
"Kulturní centrum Trutnov, s.r.o.",Podpora a rozvoj partnerské spolupráce Jawor - Turnov,2008,"157,626.00",0
Libereck_ kraj,Vyu_ití technické pomoci na aktivity Libereckého kraje v rámci implementace OP PS _R-Polsko,2008,"85,000.00",0
Libereck_ kraj,Klenotnice,2009,"77,872.50",0
Marendi o.s.,_esko - Polská tane_ní akademie,2009,"101,696.40",0
M_sto Hrádek nad Nisou,Multifunk_ní centrum Trojzemí Hrádek n.N. (CZ) - Bogatynia (PL),2008,"1,612,213.20",0
M_sto Hrádek nad Nisou,"Zlep_ení dopravní dostupnosti mezi m_sty Hrádek na Nisou (CZ), Bogatynia (PL) a He_manice (CZ) v _esko-polském p_íhrani_í",2008,"870,804.43",0
M_sto Broumov,Podpora rozvoje cestovního ruchu v regionu Stolov_ch hor a Broumovsk_ch st_n,2009,"1,468,602.38",0
M_sto Broumov,"Tak jako Pat a Mat - propagace sousedsk_ch model_, kulturních tradic a turistick_ch atrakcí v oblasti pohrani_í ve m_stech Broumov a Nowa Ruda",2009,"50,226.30",0
