"Name of beneficiary","ident","Project Title","Operational Programme","EU Fund","Date of allocation","Amounts allocated","Date of interim payment","Total Amounts paid from the start of the Project","Status"
""" IZOS s.r.o. """,47285338,"Rozšíření technologie pro výrobu a opracování
bezpečnostních skel","OP Podnikání a inovace","ERDF","22.01.2010",16065000,08/02/10,14973430,"Finalized"
"""A L L E G R O "" s.r.o.",48951862,"Inovace výroby interiérových kovových
stavebních konstrukcí","OP Podnikání a inovace","ERDF","19.10.2009",14875000,,0,"Ongoing"
"""A L L E G R O "" s.r.o.",48951862,"Podpora exportu firmy Allegro s.r.o. na
Slovensko, do Maďarska, Polska a Chorvatska","OP Podnikání a inovace","ERDF",08/10/08,1615000,"30.09.2009",1164770,"Finalized"
"""A L L E G R O "" s.r.o.",48951862,"Realizace výroby kovových stropních podhledů","OP Podnikání a inovace","ERDF","21.03.2008",14869900,"23.09.2008",14869900,"Finalized"
"""AKORD""",45769591,"AKORD - Rekvalifikační kurzy "" Pracovník
sociální péče""","OP Lidské zdroje a zaměstnanost","ESF","22.04.2010",2090243,"24.05.2010",418049,"Ongoing"
"""AMA - Asociace manažerů
absolventů, o.s.""",26527634,"Cesta k modernizaci vzdělávání ve Středočeském
kraji","OP Vzdělávání pro
konkurenceschopnost","ESF",02/01/10,4865113,,0,"Ongoing"
"""AMA - Asociace manažerů
absolventů, o.s.""",26527634,"Tématická studijní cesta pro neziskové organizace","OP Lidské zdroje a zaměstnanost","ESF","29.05.2009",2759997,"26.03.2010",2192942,"Ongoing"
"""ARISTA"", spol. s r.o.",62303678,"Modernizace pekárenských provozů a rozšíření
obchodní sítě společnosti ARISTA, spol. s r.o.","OP Podnikání a inovace","ERDF",11/06/08,2290750,"26.02.2010",2196184,"Finalized"
"""BOBEK - OBCHOD s.r.o.""",64257991,"MVE Ledeč nad Sázavou - zvýšení výkonu","OP Podnikání a inovace","ERDF",09/09/08,1338750,04/05/09,1338750,"Finalized"
"""Broumovsko""",67438539,"Varovný systém ochrany před povodněmi pro
obce Broumovska","OP Životní prostředí","CF","13.04.2010",7571920,08/06/10,7571920,"Ongoing"
"""CHODOVAR spol. s r.o.""",18252125,"Investice do zvýšení kvality výroby piva","OP Podnikání a inovace","ERDF","22.07.2008",4855200,"22.03.2010",4098501,"Finalized"
"""Czech & Slovak Professional
Community""",22733086,"Zvyšování kvality personálního managementu v
mikropodnicích na území hl. m. Prahy pod záštitou
komunity profesionálů z ČR a SR","OP Praha Adaptabilita","ESF",08/03/10,3498825,02/07/10,1644750,"Ongoing"
"""DAKR, společnost s ručením
omezeným"", ve zkratce ""DAKR spol.
s r.o.""",14617111,"Rozšíření CNC technologií v DAKR spol. s r.o.","OP Podnikání a inovace","ERDF","19.06.2008",4674150,02/11/09,4657903,"Finalized"
"""Dětské hřiště Řevnice""",26576473,"Veřejné dětské hřiště pro město Řevnice","ROP NUTS II Střední Čechy","ERDF","27.07.2010",1529945,,0,"Ongoing"
"""Elio, o.s.""",27038289,"Efektivita a kvalita vyučovacího procesu pro
pedagogické pracovníky Středočeského kraje","OP Vzdělávání pro
konkurenceschopnost","ESF",09/12/09,1470304,,0,"Ongoing"
"""Elio, o.s.""",27038289,"Elio pro školy","OP Vzdělávání pro
konkurenceschopnost","ESF","30.04.2010",3593027,"31.05.2010",1437211,"Ongoing"
"""Etincelle, o.s.""",27009106,"Příprava pro práci a zaměstnávání osob s
handicapem v multifunkčním prostoru Bez konce","OP Lidské zdroje a zaměstnanost","ESF","30.04.2009",2521153,"13.05.2010",827446,"Ongoing"
"""Evropské centrum pro eko agro
turistiku, CZ""",68728948,"Stezky dědictví - rozvoj cestovního ruchu
prostřednictvím regionální gastronomie","ROP NUTS II Jihovýchod","ERDF",05/02/09,2951652,"19.04.2010",1082632,"Ongoing"
"""FIBRO, spol. s r.o.""",61325571,"Zvýšení kapacity a nabídky služeb hotelu
Romance - Puškin Karlovy Vary","ROP NUTS II Severozápad","ERDF","22.09.2009",9889293,,0,"Ongoing"
"""GNOSIS"" spol. s.r.o.",45808244,"Rekonstrukce penzionu Klostermann na Šumavě","ROP NUTS II Jihozápad","ERDF",02/09/08,2407291,,0,"Ongoing"
"""Hospodářská komora okresu Přerov""",47676981,"Aktivní hospodářský prostor - česko-polské
příhraničí","OP ČR - Polsko","ERDF",12/12/08,212895,,0,"Ongoing"
"""Hospodářská komora okresu Přerov""",47676981,"Zvyšování výkonnosti lidí - cesta k úspěšnosti
podniků a udržení zaměstnanosti","OP Lidské zdroje a zaměstnanost","ESF","24.08.2009",3388091,08/03/10,1355235,"Ongoing"
"""Hospodářská komora okresu Přerov""",47676981,"Školicí středisko HK Přerov","OP Podnikání a inovace","ERDF",09/12/09,382500,,0,"Ongoing"
