"Priority","Registrační číslo projektu","Název příjemce","Název projektu","Rok alokace/Rok finální platby","Alokovaná částka","ERDF","Celková částka proplacená při konci projektu"
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.1.00/01.00001","Správa a údržba silnic JMK","Silnice II/408 Suchohrdly u Znojma - Dyjákovice","2007 - ","44,553,259 Kč","40,940,832 Kč","44,553,259 Kč"
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.1.00/01.00002","Správa a údržba silnic JMK","Zvýšení dopravní dostupnosti města Ivančice","2007 - ","33,946,396 Kč","31,193,959 Kč","33,946,396 Kč"
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.1.00/01.00003","Správa a údržba silnic JMK","Silnice II/422 - Lednice, přeložka silnice","2007 - ","73,782,639 Kč","67,800,263 Kč","73,782,638 Kč"
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.1.00/01.00004","Správa a údržba silnic JMK","Újezd u Brna, most 418-005","2007 -","22,844,889 Kč","20,992,601 Kč","21,969,740 Kč"
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.1.00/01.00010","Kraj Vysočina","II/602 hr. kraje - Pelhřimov, 2. stavba","2008 -","77,888,741 Kč","71,573,437 Kč","75,605,807 Kč"
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.1.00/01.00011","Kraj Vysočina","II/353 Bohdalov - obchvat","2008 - ","91,077,510 Kč","83,692,847 Kč",
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.1.00/01.00012","Kraj Vysočina","II/602 hr. kraje - Pelhřimov, 1. stavba","2008 - ","152,337,265 Kč","139,985,595 Kč","152,337,265 Kč"
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.1.00/01.00013","Kraj Vysočina","II/360 Oslavička - obchvat, 2. stavba","2008 -","130,833,463 Kč","120,225,345 Kč",
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.1.00/01.00014","Kraj Vysočina","II/405 Brtnice - Zašovice","2008 - ","249,334,569 Kč","229,118,252 Kč",
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.1.00/01.00016","Správa a údržba silnic JMK","Silnice II/374 - Rájec - Blansko, III. stavba","2008 - ","111,638,791 Kč","102,586,997 Kč",
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.1.00/01.00017","Správa a údržba silnic JMK","Rekonstrukce sil. III/4301 Bukovany - průtah","2008 -","30,710,986 Kč","28,220,906 Kč",
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.1.00/01.00019","Správa a údržba silnic JMK","II/425 Rajhrad - Židlochovice","2008 -","140,550,145 Kč","129,154,188 Kč",
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.1.00/01.00216","Správa a údržba silnic JMK","II/408 okružní křižovatka Kuchařovice II/399","2008 -","5,212,264 Kč","4,789,648 Kč",
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.2.00/01.00114","Dopravní podnik města Jihlavy","Zavedení nového odbavovacího systému cestujících v MHD v krajském městě Jihlava","2008 - ","16,231,567 Kč","14,915,494 Kč",
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.2.00/01.00039","Správa a údržba silnic JMK","Přestupní uzel Bučovice","2008 - ","14,618,649 Kč","13,433,353 Kč","14,446,947 Kč"
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.2.00/01.00150","Město Miroslav","Autobusové nádraží Miroslav","2008 - ","13,369,439 Kč","12,285,431 Kč",
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.2.00/01.00048","Správa a údržba silnic JMK","Přestupní uzel Nesovice","2008 - ","35,164,955 Kč","32,313,743 Kč",
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.2.00/01.00059","Město Rousínov","Město Rousínov - autobusový terminál","2008 - ","39,501,861 Kč","36,299,007 Kč",
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.2.00/01.00040","Správa a údržba silnic JMK","Přestupní uzel Otnice","2008 - ","5,707,297 Kč","5,244,543 Kč",
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.4.00/01.00121","Město Ždírec nad Doubravou","Cyklostezka podél nehodových úseků silnice I/34","2008 - ","6,727,322 Kč","6,181,863 Kč",
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.4.00/01.00027","Město Blansko","Cyklistické stezky a pěší komunikace podél řeky Svitavy - úsek ""B""","2008 - ","1,283,513 Kč","1,179,444 Kč","980,945 Kč"
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.4.00/01.00079","Mikroregion Nový Dvůr","Vybudování sítě cyklostezek v Mikroregionu Nový Dvůr - 1. etapa","2008 - ","14,263,359 Kč","13,106,870 Kč",
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.4.00/01.00185","Město Kunštát","Bezpečná cyklistická stezka
Kunštát_Újezd (I/19)","2008 - ","1,707,749 Kč","1,569,311 Kč","1,548,218 Kč"
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.4.00/01.00098","Statutární město Brno","Rozvoj sítě bezpečných cyklistických tras a stezek ve městě Brně 2007-2013, I. etapa","2008 - ","9,400,000 Kč","8,637,838 Kč",
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.4.00/01.00122","Statutární město Jihlava","Rozšíření sítě cyklistických stezek v Jihlavě","2008 - ","21,890,058 Kč","20,115,189 Kč",
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.4.00/01.00082","Dobrovolný svazek obcí Krupsko","Výstavba cyklostezky mezi Dolní a Horní Krupou","2008 - ","2,031,363 Kč","1,866,658 Kč","2,022,480 Kč"
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.1.00/01.00401","Správa a údržba silnic JMK","II/422 Čejkovice - průtah I. stavba","2008 - ","32,527,693 Kč","29,890,313 Kč",
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.1.00/01.00408","Správa a údržba silnic JMK","III/41619 Hrušovany u Brna obchvat","2008 - ","91,394,315 Kč","83,983,966 Kč",
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.1.00/01.00404","Správa a údržba silnic JMK","III/3657 Letovice, most 3657-3","2008 - ","8,194,721 Kč","7,530,284 Kč",
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.1.00/01.00402","Správa a údržba silnic JMK","II/397 a III/3974, okružní křižovatka Čejkovice","2008 - ","13,256,603 Kč","12,181,743 Kč",
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.1.00/01.00403","Správa a údržba silnic JMK","III/36616 Uhřice - Úsobrno přeložka","2008 -","61,589,659 Kč","56,595,903 Kč",
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.1.00/01.00419","Správa a údržba silnic JMK","II/422 Svatobořice - Mistřín I.stavba","2008-","65,360,683 Kč","60,061,168 Kč",
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.1.00/01.00420","Správa a údržba silnic JMK","II/425 Hustopeče průtah, okružní křizovatka","2008-","53,357,217 Kč","49,030,956 Kč",
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.1.00/01.00425","Správa a údržba silnic JMK","II/150 Boskovice - Valchov - Žďárná","2008-","57,123,437 Kč","52,491,807 Kč",
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.1.00/01.00424","Správa a údržba silnic JMK","II/425, III/4217 Hustopeče - Horní Bojanovice","2008-","33,465,701 Kč","30,752,266 Kč",
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.1.00/02.00586","Správa a údržba silnic JMK","II/421 Kobylí průtah","2008-","22,662,138 Kč","20,824,668 Kč",
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.1.00/02.00592","Správa a údržba silnic JMK","II/416 Pohořelice průtah","2008-","35,419,456 Kč","32,547,608 Kč",
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.1.00/02.00595","Správa a údržba silnic JMK","II/427 Moravský Písek II. a III. stavba","2008-","77,144,657 Kč","70,889,685 Kč",
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.1.00/02.00594","Správa a údržba silnic JMK","II/374 Adamov - Bílovice nad Svitavou","2008-","44,813,383 Kč","41,179,866 Kč",
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.1.00/02.00596","Správa a údržba silnic JMK","II/398 Horní Dunajovice-Mikulovice-Pavlice extravilán","2008-","62,512,551 Kč","57,443,966 Kč",
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.1.00/02.00587","Správa a údržba silnic JMK","II/602 Veselka okružní křižovatka","2008-","23,560,684 Kč","21,650,358 Kč",
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.1.00/02.00585","Správa a údržba silnic JMK","II/380 Sokolnice okružní křižovatka","2008-","23,753,001 Kč","21,827,082 Kč",
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.1.00/02.00597","Správa a údržba silnic JMK","II/400 Chlupice most 400 - 007","2008-","18,526,829 Kč","17,024,654 Kč",
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.1.00/02.00588","Správa a údržba silnic JMK","II/393 Oslavany - II. a IV. stavba","2008-","44,126,594 Kč","40,548,762 Kč",
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.1.00/02.00589","Správa a údržba silnic JMK","II/416, 417 Křenovice průtah","2008-","49,453,484 Kč","45,443,742 Kč",
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.1.00/02.00591","Správa a údržba silnic JMK","II/377 Rájec - Bořitov","2008-","151,041,769 Kč","138,795,139 Kč",
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.1.00/02.00476","Jihomoravský kraj","Doplnění infrastruktury letiště Brno Tuřany","2008-","24,762,250 Kč","22,754,500 Kč",
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.2.00/02.00542","MĚSTO TELČ","Autobusové nádraží Telč - Přemístění do přednádražního prostoru ČD","2008-","38,265,394 Kč","35,162,794 Kč",
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.2.00/02.00521","Město BZENEC","Termínál veřejné hromadné dopravy ve Bzenci","2008-","24,612,684 Kč","22,617,061 Kč",
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.2.00/02.00473","Správa a údržba silnic Jihomoravského kraje, příspěvková organizace kraje","Přestupní uzel Hrušovany u Brna, žel. st.","2008-","8,904,072 Kč","8,182,120 Kč",
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.2.00/02.00472","Správa a údržba silnic Jihomoravského kraje, příspěvková organizace kraje","Přestupní uzel Rajhrad, žel. st.","2008-","15,587,992 Kč","14,324,101 Kč",
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.3.00/02.00423","Dopravní podnik města Brna,a.s.","Obnova vozového parku drážních vozidel - nákup nízkopodlažních tramvají","2008-","498,399,250 Kč","457,988,500 Kč",
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.3.00/02.00498","Dopravní podnik města Jihlavy, a.s.","Žijeme společně II. - bezbariérová MHD v krajském městě Jihlava","2008-","211,760,675 Kč","194,590,891 Kč",
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.4.00/02.00461","Časnýř","Cyklostezka Brno-Obřany - Bílovice nad Svitavou","2008-","7,270,710 Kč","6,681,193 Kč",
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.4.00/02.00433","Město Rousínov","Řešení cyklistické dopravy v Rousínově a okolí II. etapa.","2008-","2,847,150 Kč","2,616,300 Kč",
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.4.00/02.00441","Cyklostezka Jihlava-Třebíč-Raabs","Cyklostezka Jihlava - Třebíč - Raabs","2008-","70,703,194 Kč","64,970,502 Kč",
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.4.00/02.00513","OBEC NĚMČIČKY","Vyhlídková a spojovací cyklostezka Němčičky","2008-","2,931,892 Kč","2,694,171 Kč",
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.4.00/02.00439","MĚSTO BLANSKO","Cyklistické stezky a pěší komunikace podél řeky Svitavy - II. etapa","2008-","7,052,558 Kč","6,480,729 Kč",
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.4.00/02.00437","OBEC PASOHLÁVKY","Promenáda pro pěší a cyklisty Nové Mlýny - Pasohlávky","2008-","9,999,342 Kč","9,188,585 Kč",
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.1.00/01.00421","Správa a údržba silnic JMK","III/4194 Vážany n/Litavou - Hrušky","2008-","35,984,151 Kč","33,066,517 Kč",
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.1.00/02.00590","Správa a údržba silnic JMK","II/399 Tavíkovice most 399-006","2008-","22,522,019 Kč","20,695,909 Kč",
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.1.00/02.00598","Správa a údržba silnic JMK","III/4135 Rybníky most 4135-3","2008-","20,803,533 Kč","19,116,760 Kč",
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.1.00/02.00866","Vysočina","II/399 Stropešín - most ev. č. 399-002","2009 - ","55,563,075 Kč","51,057,961 Kč",
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.1.00/02.00869","SÚS JMK","III/3771 Předklášteří most 3771-3","2009 - ","57,498,357 Kč","52,836,328 Kč",
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.1.00/02.00868","SÚS JMK","II/379 Lipůvka - Blansko, most 379-023","2009 - ","30,247,948 Kč","27,795,411 Kč",
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.4.00/03.00862","Město Blansko","Cyklistické stezky a pěší komunikace podél řeky Svitavy úseky - III. etapa","2009 - ","1,852,586 Kč","1,702,376 Kč",
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.4.00/03.00860","Obec Sázava","Cyklostezka s pruhem pro pěší v Sázavě - 2. a 3. etapa","2009 - ","3,700,000 Kč","3,400,000 Kč",
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.4.00/03.00858","Obec Hamry nad Sázavou","Cyklostezky s pruhem pro pěší v obci Hamry nad Sázavou","2009 - ","18,500,000 Kč","17,000,000 Kč",
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.4.00/03.00859","Obec Říčky","Sdružená stezka pro cyklisty a chodce Říčky - Domašov","2009 - ","4,727,804 Kč","4,344,469 Kč",
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.4.00/03.00624","Mikroregion PORTA","Cyklistická stezka Předklášteří s přemostěním Svratky","2009 - ","6,231,273 Kč","5,726,034 Kč",
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.4.00/03.00861","Město Veselí nad Moravou","Bezpečně k Písku","2009 - ","42,441,191 Kč","39,000,013 Kč",
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.1.00/02.00875","Správa a údržba silnic Jihomoravského kraje, příspěvková organizace Jihomoravského kraje","II/430 Vyškov průtah, most 430-017","2009 - ","30,389,328 Kč","27,925,328 Kč",
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.1.00/02.00876","kraj Vysočina","II/405 Příseka - Brtnice","2009 - ","153 997 749,39","141,511,445 Kč",
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.1.00/02.00873","Správa a údržba silnic Jihomoravského kraje, příspěvková organizace Jihomoravského kraje","II/421 Zaječí most 421-010","2009 - ","50,333,016 Kč","46,251,961 Kč",
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.1.00/02.00874","Správa a údržba silnic Jihomoravského kraje, příspěvková organizace Jihomoravského kraje","II/152 Jamolice - Polánka po křiž. III/15250","2009 - ","32,435,291 Kč","29,805,402 Kč",
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.1.00/02.00880","kraj Vysočina","Přeložka silnice II/352 Jihlava - Heroltice","2009 - ","207,598,409 Kč","190,766,109 Kč",
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.1.00/02.00881","kraj Vysočina","II/129 Humpolec - most ev. č. 129-011","2009 - ","25,881,240 Kč","23,782,761 Kč",
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.1.00/02.00885","kraj Vysočina","III/3993 Naloučany - most","2009 - ","31,532,644 Kč","28,975,943 Kč",
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.1.00/02.00887","kraj Vysočina","II/360 Štěpánovice - Vacenovice","2009 - ","47,439,531 Kč","43,593,083 Kč",
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.1.00/02.00894","kraj Vysočina","II/348, II/131 Štoky - Petrovice - Větrný Jeníkov","2009 - ","42,047,688 Kč","38,638,416 Kč",
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.1.00/02.00898","kraj Vysočina","II/351 od II/602 - Třebíč","2009 - ","105,883,876 Kč","97,298,697 Kč",
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.1.00/02.00899","kraj Vysočina","II/410 od I/23 - Želetava","2009 - ","87,041,370 Kč","79,983,961 Kč",
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.1.00/02.00896","kraj Vysočina","II/360 Jimramov - Moravec","2009 - ","126,704,167 Kč","116,430,856 Kč",
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.1.00/02.00893","kraj Vysočina","III/03810 Havlíčkův Brod - Přibyslav","2009 - ","53,087,864 Kč","48,783,442 Kč",
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.1.00/02.00901","kraj Vysočina","II/354 Nové Město na Moravě - Svratka","2009 - ","85,826,770 Kč","78,867,843 Kč",
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.1.00/02.00897","kraj Vysočina","II/129 Cetoraz - Jiřičky","2009 - ","129,483,167 Kč","118,984,532 Kč",
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.1.00/02.00902","kraj Vysočina","II/409 Počátky - průtah","2009 - ","11,483,647 Kč","10,552,541 Kč",
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.1.00/02.00888","kraj Vysočina","II/360 Jimramov - Horka","2009 - ","8,951,701 Kč","8,225,887 Kč",
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.1.00/02.00907","kraj Vysočina","II/639 Horní Cerekev - Kostelec","2009 - "," 62,702,318 Kč "," 57,618,347 Kč ",
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.1.00/02.00912","kraj Vysočina","II/152 Jaroměřice - Hrotovice","2009 - "," 74,977,330 Kč "," 68,898,087 Kč ",
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.1.00/02.00910","kraj Vysočina","II/339 Ledeč nad Sázavou - hranice kraje","2009 - "," 34,862,202 Kč "," 32,035,537 Kč ",
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.1.00/02.00908","kraj Vysočina","II/133 Horní Cerekev - kř. II/602","2009 - "," 70,953,564 Kč "," 65,200,572 Kč ",
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.1.00/02.00905","kraj Vysočina","II/402 Batelov - Třešť","2009 - "," 33,062,825 Kč "," 30,382,056 Kč ",
"Priority axis 1 - Transport accessbillity","CZ.1.11/1.1.00/02.00906","kraj Vysočina","II/151, III/15113 od I/38 - Budeč+Štěpkov-Budkov","2009 - "," 64,438,734 Kč "," 59,213,972 Kč ",
