N∞ZEV P_íJEMC_,OBLAST PODPORY ROPJZ,N∞ZEV OPERACE,ROK ALOKACE/ ROK FIN∞LNí PLATBY,ALOKOVAN∞ _∞STKA,CELKOV∞ _∞STKA VYPLACEN∞ PO SKON_ENí PROJEKTU
Spr_va a _dr_ba silnic Doma_lice,1.1,P_elo_ka silnice M/190 »elezn_ Ruda - âpi__k,2008/2010,"97 573 111,- K_",Bude dopln_no po ukon_en√ projektu
Jiho_esk_ kraj,1.1,Silnice 11/145 u Kratochv√le,2008/2008,"53 002 500,- K_","52 672 244,71 K_"
Spr_va a _dr_ba silnic Doma_lice,1.1,Silnice III. t_√dy Oselce - Chanovice,2008/2010,"135 385 486,-K_",Bude dopln_no po ukon_en√ projektu
"2 ES, spol. s r.o.",3.1,Vybudov_n√ kongresovª infrastruktury k motelu Da_ice,2008/2009,"5 593 583,00",Bude dopln_no po ukon_en√ projektu
AGRIPRODCZa.s.,3.1,Revitalizace hotelu Podhrad - 3. etapa,2008/2008,"11 736 499,60","11 736 499,60 K_"
"Bohemia JazzFest, o.p.s.",3.3,Mezin_rodn√ hudebn√ festival Bohemia JazzFest 2008,2008/2008,"4 453 530,00","4 412 362,67 K_"
Bohemia Regent a.s.,3.2,PIVOVAR T_EBO_ - TECHNICK∞ INFRASTRUKTURA PRO ROZVOJ CESTOVNíHO RUCHU,2008/2009,"4 719 822,00",Bude dopln_no po ukon_en√ projektu
CENTRAL Klatovy spol. s r. o.,3.3,"spole_n_ integrovan_ produkt ""Klatovy - ANO""",2008/2009,"564 420,00",Bude dopln_no po ukon_en√ projektu
Centrum soci_ln√ pomoci Vod_any,2.5,"Bl√_ senior_m, zdravotn_ posti_en_m a jejich rodin_m",2008/2010,"2 196 949,01",Bude dopln_no po ukon_en√ projektu
"CESKOKRUMLOVSKY ROZVOJOVı FOND, spol. s r.o.",3.3,Rozvoj a zv_àen√ kvality slu_eb cestovn√ho ruchu destinace _esk_ Krumlov,2008/2010,"2 521 643,00",Bude dopln_no po ukon_en√ projektu
Diakonie CCE - st_edisko v Plzni,2.5,Rekonstrukce Denn√ho stacion__e _lov√_ek,2008/2009,"3 499 989,00","3 499 515,69 K_"
Domov d_chodc_ Horn√ Plan_,2.5,"DD H. Plan_ - p_dn√ vestavba, rekonstrukce pavilonu ""C"" v_etn_ rekonstrukce p_√pravy TU V",2008/2009,"36 203 259,27","35 542 925,20 K_"
"Ekologos, o.p.s.",3.3,O_iven√ zapomenut_ch tradic v regionu,2008/2008,"822 071,00",Bude dopln_no po ukon_en√ projektu
ELSY spol. sr.o.,3.1,Rozà√_en√ ubytovac√ kapacity hotelu Elsyn Dv_r,2008/2009,"2 115 573,00","1 972 736,80 K_"
"""GNOSIS"" spol. s.r.o.",3.1,Rekonstrukce penzionu Klostermann na âumav_,2008/2009,"2 832 107,00",Bude dopln_no po ukon_en√ projektu
Gymn_zium _esk_ Krumlov,2.4,Modernizace vybaven√ àkoly vedouc√ k vyàà√ efektivit_ a modernizaci v_uky,2008/2009,"4 588 419,00",Bude dopln_no po ukon_en√ projektu
"Gymn_zium V√t_zslava Nov_ka, Jind_ich_v Hradec, Janderova 165/11",2.4,P_dn√ vestavba Gymn_zia V√t_zslava Nov_ka,2008/2010,"29 428 065,01",Bude dopln_no po ukon_en√ projektu
"Gymn_zium, Plze_, Mikul_àskª n_m. 23",2.4,"Rozvoj vzd_l_vac√ch kapacit Gymn_zia Mikul_àskª n_m_st√ 23, Plze_",2008/2010,"27 749 537,00",Bude dopln_no po ukon_en√ projektu
"""CHANCE IN NATURE-LOCAL ACTION GROUP""",3.3,LAG Chance in Nature - CESTY EVROPY-marketing CR,2008/2009,"3 798 182,00",Bude dopln_no po ukon_en√ projektu
Ing. Miloà Ka_enka -BUILDING,3.3,Propagace cestovn√ho ruchu v Jiho_eskªm kraji,2008/2009,"797 364,00",Bude dopln_no po ukon_en√ projektu
Integrovan_ st_edn√ àkola Klatovy,2.4,"V_stavba pracoviàt_ odbornªho v_cviku stroj√rensk_ch obor_ -âumavskªho 150, Klatovy",2008/2009,"27 748 636,00","27 743 872,80 K_"
IVAN SVATOS a.s.,3.1,HarmonyCIub P√sek,2008/2008,"8 632 957,00","8 624 294,92 K_"
JBC agencys.r.o.,3.1,Novostavba GARNI HOTEL Zadn√ V_to_,2008/2009,"10 584 000,00","10 584 000,00 K_"
Jiho_esk_ kraj,1.1,Mostev._. 17210-4 St_elskª Hosti ce,2008/2009,"19 318 572,83","17 895 392,33 K_"
Jiho_esk_ kraj,1.1,Most ev._. 1406-2 u Kest_an,2008/2010,"21 928 366,69",Bude dopln_no po ukon_en√ projektu
Jiho_esk_ kraj,1.1,Silnice M/154 v pr_tahu obc√ âalmanovice,2008/2011,"62 359 732,53",Bude dopln_no po ukon_en√ projektu
