Registra_n√ _√slo projektu,»adatel,N_zev projektu,"Celkovª,zp_sobilª,v_daje,(K_)","Dotace,RR,(K_)","Z,toho,dotace,EU,(K_)",Datum ukon_en√ projektu,"Celkem,vyplaceno,ze,SF,po,ukon_en√,projektu,(K_)"
CZ.1.13/5.1.00/01.00001,Region_ln√ rada regionu soudr_nosti Severov_chod,Administrace a hodnocen√ projekt_ 2007,"2,267,048.00","2,267,048.00","1,926,990.80",29.02.08,"1,485,363.08"
CZ.1.13/5.1.00/01.00002,Region_ln√ rada regionu soudr_nosti Severov_chod,Monitoring a evaluace 2007-002,"1,476,986.00","1,476,986.00","1,255,438.10",29.02.08,"1,179,531.19"
CZ.1.13/5.1.00/01.00003,Region_ln√ rada regionu soudr_nosti Severov_chod,"Organizace MV, VRR 2007","135,309.00","135,309.00","115,012.65",29.02.08,"67,942.46"
CZ.1.13/5.1.00/01.00004,Region_ln√ rada regionu soudr_nosti Severov_chod,Kontroly 2007,"1,237,450.00","1,237,450.00","1,051,832.50",29.02.08,"981,417.40"
CZ.1.13/5.1.00/01.00005,Region_ln√ rada regionu soudr_nosti Severov_chod,Audit 2007,"324,278.00","324,278.00","275,636.30",29.02.08,"267,319.93"
CZ.1.13/5.1.00/01.00006,Region_ln√ rada regionu soudr_nosti Severov_chod,"Tvorba, _√zen√ a realizace programu 2007","9,813,563.00","9,813,563.00","8,341,528.55",28.03.08,"8,252,746.13"
CZ.1.13/5.1.00/01.00007,Region_ln√ rada regionu soudr_nosti Severov_chod,Informov_n√ a publicita 2007,"2,565,641.00","2,565,641.00","2,180,794.85",29.02.08,"1,892,908.05"
CZ.1.13/5.1.00/01.00008,Region_ln√ rada regionu soudr_nosti Severov_chod,Technickª zajiàt_n√ funkce _O 2007,"16,031,943.00","16,031,943.00","13,627,151.55",28.03.08,"11,571,683.61"
CZ.1.13/1.1.00/01.00009,PARDUBICKı KRAJ,Modernizace silnice 11/315 Lanàkroun - Tatenice,"210,163,178.10","194,400,939.74","178,638,701.38",17.12.10,
CZ.1.13/1.1.00/01.00010,Kr_lovªhradeck_ kraj,P_elo_ka silnice 111/3012 - _pice,"26,738,569.57","24,733,176.00","22,727,783.34",29.01.10,
CZ.1.13/1.1.00/01.00011,Kr_lovªhradeck_ kraj,Rekonstrukce a R»K silnice M/303 - __st 2.,"53,217,115.00","49,225,828.99","45,234,545.56",30.10.09,
CZ.1.13/1.1.00/01.00012,Kr_lovªhradeck_ kraj,Modernizace silnice II/308 - Kr_lova Lhota,"23,994,389.57","22,194,809.99","20,395,230.80",19.12.08,"20,361,345.56"
CZ.1.13/1.1.00/01.00013,PARDUBICKı KRAJ,Modernizace silnice II/322 - obchvat Chvaletic,"195,779,944.00","181,096,448.20","166,412,952.40",29.08.10,
CZ.1.13/1.1.00/01.00014,Kr_lovªhradeck_ kraj,Modernizace silnice 11/316,"66,766,976.00","61,759,451.99","56,751,928.86",19.07.09,"56,751,928.85"
CZ.1.13/1.1.00/01.00015,Kr_lovªhradeck_ kraj,"Silnice M/295 Vrchlab√ reg. ze_ OP-22, ""B 1""","22,357,484.80","20,680,673.44","19,003,862.08",31.10.08,"19,003,862.08"
CZ.1.13/1.1.00/01.00016,Kr_lovªhradeck_ kraj,Silnice M/324 Doln√ P_√m,"53,366,732.72","49,364,227.71","45,361,722.76",30.04.09,"45,361,722.75"
CZ.1.13/1.1.00/01.00018,Kr_lovªhradeck_ kraj,Silnice II/295 Rekonstrukce regul. zdi U Velvety,"42,523,035.00","39,333,805.98","36,144,578.48",23.12.09,
CZ.1.13/1.1.00/01.00019,Kr_lovªhradeck_ kraj,Modernizace silnice 111/32419,"35,972,572.00","33,274,628.99","30,576,686.10",27.02.09,"29,670,291.67"
CZ.1.13/1.1.00/01.00020,Kr_lovªhradeck_ kraj,Rekonstrukce silnice NI/2956 Vrchlab√-L_nov,"103,950,358.36","96,154,081.47","88,357,804.60",10.09.09,"59,707,959.22"
CZ.1.13/1.1.00/01.00021,Kr_lovªhradeck_ kraj,Rekonstrukce most_ Kr_lovªhradeckªho kraje,"101,456,425.59","93,847,193.66","86,237,961.74",31.12.09,
CZ.1.13/1.1.00/01.00022,Libereck_ kraj,"Libàt_t - rekonstrukce mostu ev._. 28311-1,2","10,194,767.00","9,430,158.93","8,665,551.44",31.05.09,"8,665,550.31"
CZ.1.13/1.1.00/01.00023,Libereck_ kraj,111/25915 Bezdªz,"11,618,754.00","10,747,347.36","9,875,940.83",13.02.09,
CZ.1.13/1.1.00/01.00024,Libereck_ kraj,111/28621 V√chov_ nad Jizerou,"17,855,398.40","16,516,243.37","15,177,088.50",31.05.09,
CZ.1.13/1.1.00/01.00025,Libereck_ kraj,111/26314 Prysk-Pr_che_,"24,155,315.00","22,343,665.98","20,532,017.39",30.01.10,
CZ.1.13/1.1.00/01.00026,Libereck_ kraj,II/592 Chrastav_ - dopravn√ _eàen√ v centru m_sta,"63,473,169.00","58,712,681.00","53,952,193.35",15.09.09,
CZ.1.13/1.1.00/01.00027,Libereck_ kraj,Ml/2634 Valte_ice - Kozly,"22,450,665.00","20,766,865.01","19,083,065.13",13.02.09,
CZ.1.13/1.1.00/01.00028,Libereck_ kraj,"Chotyn_, mosty ev._. 2715-4 a ev._.2711-5","10,062,962.32","9,308,239.53","8,553,517.40",20.09.09,
CZ.1.13/1.1.00/01.00029,Libereck_ kraj,Liberec - p_estavba k_i_ovatky I/35 a Ml/2784,"103,491,326.31","95,729,476.29","87,967,626.86",15.12.10,
CZ.1.13/1.1.00/01.00030,Libereck_ kraj,I M/29065 Ponikl_ - Jilem,"10,500,763.00","9,713,205.07","8,925,647.90",13.02.09,
CZ.1.13/1.1.00/01.00031,Libereck_ kraj,Ml/2634 a Ml/2636 Kozly,"17,772,400.00","16,439,470.00","15,106,540.00",13.02.09,
CZ.1.13/1.1.00/01.00032,Libereck_ kraj,111/0143 Burany,"12,109,733.00","11,201,503.00","10,293,273.02",30.12.08,
CZ.1.13/5.1.00/03.00033,Region_ln√ rada regionu soudr_nosti Severov_chod,Administrace a hodnocen√ 2008,"3,278,000.00","3,278,000.00","2,786,300.00",31.01.09,"1,705,846.29"
CZ.1.13/5.1.00/03.00034,Region_ln√ rada regionu soudr_nosti Severov_chod,Monitoring a evaluace 2008,"9,130,000.00","9,130,000.00","7,760,500.00",31.01.09,"783,556.54"
CZ.1.13/5.1.00/03.00035,Region_ln√ rada regionu soudr_nosti Severov_chod,"Organizace MV, VRR 2008","270,000.00","270,000.00","229,500.00",31.01.09,"157,701.46"
CZ.1.13/5.1.00/03.00036,Region_ln√ rada regionu soudr_nosti Severov_chod,Kontroly 2008,"1,515,000.00","1,515,000.00","1,287,750.00",31.01.09,"192,618.07"
CZ.1.13/5.1.00/03.00037,Region_ln√ rada regionu soudr_nosti Severov_chod,Audit 2008,"500,000.00","500,000.00","425,000.00",31.01.09,"7,650.00"
CZ.1.13/5.1.00/03.00038,Region_ln√ rada regionu soudr_nosti Severov_chod,"Tvorba, _√zen√ a realizace programu 2008","3,480,000.00","3,480,000.00","2,958,000.00",31.01.09,220196.01
CZ.1.13/5.1.00/03.00039,Region_ln√ rada regionu soudr_nosti Severov_chod,Technickª zajiàt_n√ funkce _O 2008,"27,035,000.00","27,035,000.00","22,979,750.00",31.01.09,"14,992,098.90"
CZ.1.13/5.1.00/03.00040,Region_ln√ rada regionu soudr_nosti Severov_chod,Informov_n√ a publicita 2008,"10,255,000.00","10,255,000.00","8,716,750.00",31.01.09,"3,167,252.85"
CZ.1.13/5.1.00/03.00041,Region_ln√ rada regionu soudr_nosti Severov_chod,Person_ln√ zajiàt_n√ programu 2008,"33,962,331.00","33,962,331.00","28,867,981.35",31.01.09,"23,191,325.58"
CZ.1.13/5.1.00/03.00542,Region_ln√ rada regionu soudr_nosti Severov_chod,Administrace a hodnocen√ projekt_ 2009,"3,383,000.00","3,383,000.00","2,875,550.00",31.01.10,
CZ.1.13/5.1.00/03.00543,Region_ln√ rada regionu soudr_nosti Severov_chod,Monitoring a evaluace 2009,"5,552,000.00","5,552,000.00","4,719,200.00",31.01.10,
CZ.1.13/5.1.00/03.00544,Region_ln√ rada regionu soudr_nosti Severov_chod,Kontroly 2009,"800,000.00","800,000.00","680,000.00",31.01.10,
CZ.1.13/5.1.00/03.00545,Region_ln√ rada regionu soudr_nosti Severov_chod,Audit 2009,"400,000.00","400,000.00","340,000.00",31.01.10,
CZ.1.13/5.1.00/03.00546,Region_ln√ rada regionu soudr_nosti Severov_chod,Technickª zajiàt_n√ funkce _O 2009,"15,931,000.00","15,931,000.00","13,541,350.00",31.01.10,
CZ.1.13/5.1.00/03.00547,Region_ln√ rada regionu soudr_nosti Severov_chod,Person_ln√ zajiàt_n√ programu 2009,"36,949,000.00","36,949,000.00","31,406,650.00",31.01.10,
CZ.1.13/5.1.00/03.00548,Region_ln√ rada regionu soudr_nosti Severov_chod,"Organizace MV, VRR 2009","415,000.00","415,000.00","352,750.00",31.01.10,
CZ.1.13/5.1.00/03.00549,Region_ln√ rada regionu soudr_nosti Severov_chod,"Tvorba, _√zen√ a realizace programu 2009","870,000.00","870,000.00","739,500.00",31.01.10
CZ.1.13/5.1.00/03.00550,Region_ln√ rada regionu soudr_nosti Severov_chod,Informov_n√ a publicita 2009,"4,200,000.00","4,200,000.00","3,570,000.00",31.01.10
CZ.1.13/2.2.00/02.00056,M_sto P_elou_,Sportovn√ are_l Zâ Smetanova P_elou_,"44,653,851.42","38,999,999.99","35,837,881.45",12.11.09
CZ.1.13/2.2.00/02.00079,M_sto Svitavy,Z_kladn√ infrastruktura pro volno_asovª aktivity,"84,720,041.00","42,500,000.01","39,054,732.61",31.05.10
CZ.1.13/2.2.00/02.00081,M_sto Litomyàl,Kryt_ plaveck_ bazªn v Litomyàli,"130,000,000.00","65,000,000.00","59,730,775.00",10.02.11
CZ.1.13/2.2.00/02.00101,M_STO CHRASTAV∞,M_sto Chrastav_ - Rekonstrukce objektu _.p. 407 na Centrum volnocasov_ch aktivit,"17,142,898.50","15,857,181.10","14,571,463.71",15.12.09
CZ.1.13/2.2.00/02.00111,M_sto Poli_ka,Rozà√_en√ pr_myslovª zÄny v Poli_ce -1.etapa,"17,091,750.60","15,382,574.74","14,135,347.04",06.12.10
CZ.1.13/2.2.00/02.00116,"Orlicko_steck_ nemocnice, a.s.",Centrum pro v_asnou diagnostiku a lª_bu kardiovaskul_rn√ch chorob v podorlickª oblasti,"24,993,900.00","23,119,356.57","21,244,814.15",31.03.09
