"Type","Name des Begünstigten","Bezeichnung des Vorhabens","Jahr der Bewilligung / Jahr der Restzahlung","Gewährte Beträge","Bei Abschluss des Vorhabens gezahlte Gesamtbeträge"
"Standardvorhaben","Diakonisches Werk Aue/Schwarzenberg e. V.","(250857150A) Freizeitgestaltung fﾟr Heimbewohner",2008,"39.352,80  EUR",
"Standardvorhaben","Sportverein SV Prohner Wiek e. V.","(250841280A) Mitarbeiter fﾟr den Kinder- und Jugendsport ",2008,"42.300,00  EUR",
"Standardvorhaben","Bildungsverbund Haustechnik Sachsen-Anhalt e.V.","""AKTIVE"" Ausbildung in der Haustechnik: kompetent, trendgerecht, innovativ und voller Entwicklungschancen",2007,"455.328,00  EUR",
"Standardvorhaben","bsw Bildungswerk der Sﾊchsischen Wirtschaft gGmbH","""ANO.tex"" Ausbildungsinitiative der Textil- und Bekleidungsindustrie in Sachsen und Thﾟringen",2007,"487.538,00  EUR",
"Standardvorhaben","Verein zur beruflichen Ausbildung, Umschulung und Fortbildung Ribnitz-Damgarten e.V.","""AllinA - Alles inklusive fﾟr eine passgerechte Ausbildung""",2008,"188.240,64  EUR",
"Standardvorhaben","Hochschule fﾟr Technik, Wirtschaft und Kultur Leipzig (FH)","""Alternativ Mobil Message Service - AMMe""",2009,"73.900,00  EUR","33.959,24 EUR"
"Standardvorhaben","Handwerkskammer der Pfalz","""Ausbildung fﾟr Alle im Handwerk "" ",2008,"243.025,95  EUR","120.047,97 EUR"
"Standardvorhaben","Aus- und Fortbildungszentrum Schiffahrt und Hafen GmbH","""Ausbildungsservicecenter""  in der Region Mittleres Mecklenburg",2008,"266.464,00  EUR",
"Standardvorhaben","IT-College Putbus gGmbH","""Azubi for IT"" - Ausbildungsplatzentwicklung und -betreuung fﾟr die IT-Branche auf Rﾟgen und in Mecklenburg-Vorpommern",2007,"379.836,80  EUR",
"Standardvorhaben","Wissenschaftszentrum Berlin fﾟr Sozialforschung gGmbH","""Gemeinsam Karriere machen"" - Realisierungsbedingungen fﾟr Doppelkarrieren in Akademikerpartnerschaften (Ziel 1)",2007,"62.952,00  EUR",
"Standardvorhaben","Technologie- und Berufsbildungszentrum Leipzig gGmbH","""MoNA"" - Abschlussorientierte modulare Nachqualifizierung junger Arbeitnehmer und Arbeitsloser ohne Berufsabschluss. ",2008,"602.399,00  EUR",
"Standardvorhaben","SBW Aus- und Fortbildungsgesellschaft fﾟr Wirtschaft und Verwaltung mbH","""Perspektive HIER""",2008,"218.573,44  EUR",
"Standardvorhaben","Euro-Schulen Sachsen-Anhalt Sﾟd GmbH","""Regionales Qualifizierungs- und Vermittlungnetzwerk fﾟr Bleibeberechtigte und Flﾟchtlinge"" ReQua",2008,"473.474,18  EUR",
"Standardvorhaben","Besch�ftigungsf�rderung Zwickau gGmbH der Stadt Zwickau ""BFZ""","(25075086B) Mitarbeit Spielpl�tze der Stadt Zwickau",2008,"155.520,00  EUR",
"Standardvorhaben","agens e. V.","(250820462B) Mobilitﾊtshelfer/in; Teamleiter/in",2008,"1.190.880,00  EUR",
"Standardvorhaben","Klinikum Barnim GmbH","(250821006A) Projekt gesunde Kinder",2008,"34.200,00  EUR",
"Standardvorhaben","Klinikum Barnim GmbH, Werner-Forssmann-Krankenhaus","(250821007B) Messehelfer",2008,"64.800,00  EUR",
"Standardvorhaben","Brot und Hoffnung e. V.","(250821030B) MA Tafelladen",2008,"30.600,00  EUR",
"Standardvorhaben","Brot & Hoffnung e. V. ","(250821031B) Mitarbeiter Suppenkueche",2008,"34.200,00  EUR",
"Standardvorhaben","Gemeinde Schorfheide","(250821040B) MA Tourismus",2008,"47.997,72  EUR",
"Standardvorhaben","Gemeinde Schorfheide","(250821041C) Bauhofhelfer",2008,"135.008,64  EUR",
"Standardvorhaben","Fﾚrderverein Binnenschifffahrts-Museum Oderberg e. V. ","(250821080B) Servicekraft Museumsdienst",2008,"99.000,00  EUR",
"Standardvorhaben","Johanniter-Unfall-Hilfe e.V. Regionalverband Nordbrandenburg","(250821092B) Kindergarten",2008,"32.048,64  EUR",
"Standardvorhaben","Gemeinde Wandlitz","(250821100C) Hilfsarbeiter Gruenpflege",2008,"75.600,00  EUR",
"Standardvorhaben","1. Sportverein Eberswalde e. V.","(250821110B) Trainingsassistent",2008,"95.400,00  EUR",
"Standardvorhaben","Tierschutzverein Niederbarnim e. V. ","(250821120C) Mitarbeiter Tierschutzverein",2008,"86.419,79  EUR",
"Standardvorhaben","Bernauer Tafel e. V.","(250821130B) Mitarbeiter Tafel",2008,"183.492,00  EUR",
"Standardvorhaben","Barnimer Sozialwerk gGmbH","(250821140B) Mitarbeiter Mﾚbellager",2008,"149.309,50  EUR",
"Standardvorhaben","Kreissportbund Barnim e.V.","(250821170B) Mitarbeiter Breitensport",2008,"64.800,00  EUR",
"Standardvorhaben","Stadt Eberswalde","(250821183B) MA Spezialistenteam",2008,"216.000,00  EUR",
"Standardvorhaben","Stadt Oderberg ueber Amt Oderberg","(250821190B) Naturhelfer",2008,"92.501,28  EUR",
"Standardvorhaben","Gemeinde Liepe ueber Amt Oderberg","(250821200B) Gemeindehelfer",2008,"45.969,12  EUR",
"Standardvorhaben","Stadt Oderberg ueber Amt Oderberg","(250821210C) Gartenbauhelfer",2008,"46.063,08  EUR",
"Standardvorhaben","Gemeinde Ziethen ueber Amt Joachimsthal","(250821220B) Gemeindehelfer",2008,"68.400,00  EUR",
"Standardvorhaben","Gemeinde Panketal","(250821250A) Bﾟrgerhelfer",2008,"156.479,04  EUR",
"Standardvorhaben","Gemeinde Panketal","(250821251C) Bauhofhelfer",2008,"156.479,04  EUR",
"Standardvorhaben","Regionaler Foerderverein e. V.","(250821280B) Projektentwicklung",2008,"30.600,00  EUR",
"Standardvorhaben","Amt Britz-Chorin","(250821290B) Tourismushelfer",2008,"60.660,72  EUR",
"Standardvorhaben","Gem. Friedrichswalde ueber Amt Joachimsthal","(250821330B) Gemeindehilfsarbeiter",2008,"109.800,00  EUR",
"Standardvorhaben","Amt Biesenthal-Barnim fuer Gemeinde Marienwerder","(250821380B) Uebungsleiter Breitensport",2008,"44.856,00  EUR",
"Standardvorhaben","Juedische Gemeinden des LK Barnim e. V.","(250821400B) Integrationshelfer/-in",2008,"82.440,00  EUR",
"Standardvorhaben","Diamant - Sozialer Integrationsverein fuer Zuwanderer des LK Barnim e. V.","(250821410C) Integrationshelfer",2008,"81.164,60  EUR",
