begunstigter,projekt,datum_erstbewilligung,bewilligung_offentlicher_mittel,gesamtauszahlungsbetrag_abgeschlossener_projekte,fund_type,currency,uri
a & d Schulungszentrum GmbH,Modulare Weiterbildung im Garten- und Landschaftsbau 7,20.02.2008,"12.605,50","12.605,50",ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
a & d Schulungszentrum GmbH,Modulare Weiterbildung Grundkurs Schneidern 2 (MAE),25.03.2008,"17.520,43","17.520,43",ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
a & d Schulungszentrum GmbH,Englisch für den Beruf Grundkurs 4 (MAE),25.03.2008,"27.234,13","27.234,13",ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
a & d Schulungszentrum GmbH,Modulare Weiterbildung EDV/Internet 5,31.03.2008,"34.954,30","34.954,30",ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
a & d Schulungszentrum GmbH,Modulare Weiterbildung im Garten- und Landschaftsbau 8,16.04.2008,"32.333,91","32.333,91",ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
a & d Schulungszentrum GmbH,Modulare Weiterbildung EDV/Internet 6 (MAE),02.06.2008,"9.903,08","9.903,08",ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
a & d Schulungszentrum GmbH,Modulare Weiterbildung im Garten- und Landschaftsbau 9,26.06.2008,"30.878,52","30.878,52",ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
a & d Schulungszentrum GmbH,Modulare Weiterbildung im Garten- und Landschaftsbau 10,18.08.2008,"29.316,96","29.316,96",ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
a & d Schulungszentrum GmbH,Modulare Weiterbildung im Garten- und Landschaftsbau 11,27.10.2008,"31.984,19","31.984,19",ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
a & d Schulungszentrum GmbH,Modulare Weiterbildung im Garten- und Landschaftsbau 12,17.11.2008,"33.462,00",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
ABBV GmbH,Basisqualifizierung für den Pflegebereich,03.11.2008,"44.194,90",0,ESF,EUR,http://www.berlin.de/imperia/md/content/sen-strukturfonds/esf/beguenstigtenverzeichnis_esf_2008.pdf?start&ts=1248686035&file=beguenstigtenverzeichnis_esf_2008.pdf
