"Prioritätsachse","Begünstigte","Maßnahmebezeichnung","Jahr der Bewilligung","Gewahrte Betrage","Bei Abschluss des Vorhabens gezahlte Gesamtbetrage"
"A","Arbeitsförderungsgesellschaft Premnitz mbH","Regionaler Lotsendienst Havelland",2007,366284.74,
"A","Berlin-Brandenburgische Auslandsgesellschaft BBAG e.V.","Lotsendienst für Migrant/innen",2007,187008.74,
"A","Berlin-Brandenburgische Auslandsgesellschaft BBAG e.V.","Lotsendienst für Migrant/innen",2007,122572.50,
"A","Berufliches Bildungszentrum der Wirtschaft Wittenberge","Regionaler Lotsendienst für den Landkreis Prignitz",2007,368510.00,
"A","Bildung-Wirtschaft-Technik GmbH ","Qualifizierung in kleinen und mittleren Unternehmen - Führungskräftetraining, Baurecht, DATEV, DATAflor",2007,68082.00,
"A","Brandenburgisches Institut f Existenzgründung und Mittelstandsförderung e.V.","Lotsendienst an Hochschulen",2007,892417.49,
"A","Brandenburgisches Institut f Existenzgründung und Mittelstandsförderung e.V.","Lotsendienst an Hochschulen",2007,65880.00,
"A","Centrum für Innovation und Technologie GmbH (CIT)","Lotsendienst Landkreis Spree-Neiße",2007,369050.00,
"A","City of Talents e.V. ","Lotsendienst an der TFH Wildau",2007,329130.00,
"A","Dr. Heidelk & Partner Consulting ","Qualifizierung in kleinen und mittleren Unternehmen - Führungskräfteschulung, Verkaufstraining, Umgang mit Kunden",2007,77857.86,
"A","Gumnior Computer Komplettlösungen ","Qualifizierung in kleinen und mittleren Unternehmen - Schulung EDV-Anwendungen ",2007,60883.00,
"A","Handwerkskammer Cottbus ","Begleitung von Unternehmensnachfolgen",2007,405000.00,
"A","Handwerkskammer Frankfurt (Oder) Region Ostbrandenburg","Lotsendienst, Erfolgreiche Kontinuität durch Moderation der Betriebsnachfolge",2007,374160.00,
"A","IHK-Bildungszentrum Cottbus GmbH ","Regionaler Lotsendienst in der kreisfreien Stadt Cottbus",2007,346968.40,
"A","IHK-Projektgesellschaft mbH ","Regionaler Lotsendienst in der Stadt Frankfurt (Oder)",2007,611135.88,
"A","IHK-Projektgesellschaft mbH ","Regionale Lotsendienste im Landkreis Oder-Spree",2007,590341.58,
"A","IHK-Projektgesellschaft mbH ","Regionaler Lotsendienst im Landkreis Barnim",2007,599585.00,
"A","IHK-Projektgesellschaft mbH ","Regionale Lotsendienste im Landkreis Uckermark",2007,481570.51,
"A","Industrie- und Handelskammer Potsdam ","Beratungsstelle für die Unternehmensnachfolge für den Kammerbezirk Potsdam",2007,337166.00,
"A","Industrie- und Handelskammer Potsdam ","Beratungsstelle für die Unternehmensnachfolge für den Kammerbezirk Potsdam",2007,283991.00,
"A","Institut für angewandte mittelstandsorientierte Betriebswirtschaftslehre e. V.","Lotsendienst in der kreisfreien Stadt Brandenburg",2007,355064.00,
"A","iq consult e.V. ","Junge Leute machen sich selbständig - Gründerwerkstätten",2007,473430.85,
"A","iq consult e.V. ","Junge Leute machen sich selbständig - Gründerwerkstätten",2007,191664.33,
"A","iq consult e.V. ","Qualifizierungs-, Beratungs- und Coachingangebote zur Stärkung kulturwirtschaftlicher Potenziale von Künstlern/Künstlerinnen und Kulturschaffenden",2007,194163.00,
"A","iq consult e.V. ","Qualifizierungs-, Beratungs- und Coachingangebote zur Stärkung kulturwirtschaftlicher Potenziale von Künstlern/Künstlerinnen und Kulturschaffenden",2007,147638.71,
"A","PULS e.V. ","Junge Leute machen sich selbstständig - Gründerwerkstatt Garage Lausitz",2007,629920.00,
"A","Regionale Wirtschaftsförderungsgesellschaft Dahme-Spreewald mbH","Regionale Lotsendienste in Landkreis Dahme-Spreewald",2007,519252.50,
"A","Regionale Wirtschaftsförderungsgesellschaft Elbe-Elster mbH","Regionaler Lotsendienst im Landkreis Elbe-Elster",2007,242310.00,
"A","STIC Wirtschaftsfördergesellschaft Märkisch-Oderland mbH","Junge Leute machen sich selbstständig - Gründerwerkstätten",2007,630000.00,
"A","STIC Wirtschaftsfördergesellschaft Märkisch-Oderland mbH","Regionaler Lotsendienst im Landkreis Märkisch-Oderland",2007,990492.06,
"A","Struktur-und Wirtschaftsförderungsgesellschaft Landkreis Teltow-Fläming mbH","Regionaler Lotsendienst für den Landkreis Teltow-Fläming",2007,372737.50,
"A","Technologie- und Gewerbezentren Potsdam GmbH","Regionaler Lotsendienst in der kreisfreien Stadt Potsdam",2007,287993.48,
"A","Technologie- und Gründerzentrum ""Fläming"" GmbH","Regionaler Lotsendienst im Landkreis Potsdam-Mittelmark",2007,222912.50,
"A","Technologie- und Gründerzentrum Ostprignitz Ruppin GmbH","Regionaler Lotsendienst im Landkreis Ostprignitz-Ruppin",2007,268639.52,
"A","UNITEC GmbH Gesellschaft für Innovationsförderung und Technologietransfer an d","Hochschul-Lotsendienst an der BTU Cottbus und der FH Lausitz",2007,350041.50,
"A","Verein zur Förderung der Kooperation von Wissenschaft und Arbeitswelt e.V.","Lotsendienst an der Europa-Universität Viadrina",2007,340000.00,
"A","WEQUA GmbH ","Regionaler Lotsendienst - Landkreis Oberspreewald-Lausitz",2007,372954.26,
"A","WInTO GmbH ","Lotsendienst Landkreis Oberhavel",2007,380205.00,
"A","ABS GmbH Storkow ","Qualifizierung in kleinen und mittlere Unternehmen - MU - Schweißfachingenieur",2008,3000.00,
