name_des_begunstigten,bezeichnung_des_vorhabens,jahr_bewilligung,jahr_projektende,gewahrte_betrage,bei_abschluss_des_vorhabens_gezahlte_gesamtbetrage,fund_type,currency,uri
AfJ e.V - Kinder- und Jugendhilfe Bremen,Fit für die Berufsausbildung,2008,2009,"8.588,00",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
AfJ e.V - Kinder- und Jugendhilfe Bremen,Mädchen erkunden Medienberufe,2008,2009,"2.467,00",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
AGAB - Aktionsgemeinschaft arbeitsloser Bürgerinnen und Bürger e.V.,"Offene Beratung für Erwerbslose, Geringverdiener und von Erwerbslosigkeit Bedrohte",2008,2010,"906.768,84",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Aktion Kultur u. Freizeit für Huchting u. Grolland e.V.,Persönliche Geschichten von Huchtinger Jugendlichen zu den Menschenrechten,2009,2010,"9.900,00",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Anatoli Aman,Leher gestalten Kindergärten,2008,2009,"10.000,00",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Anke Ohmes,Zauberküche,2008,2009,,"7.256,26",ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Arbeit und Lernzentrum e.V.,Arbeitslosen- und Sozialberatung Nord,2008,2010,"237.394,85",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Arbeit und Lernzentrum e.V.,Dienstleistungszertifikat in Lüssum,2009,2010,"6.688,15",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Arbeit und Lernzentrum e.V.,Bremen produktiv - integrativ Arbeit und Lernzentrum / Soziale Integration (integrativ),2008,2010,"219.268,98",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Arbeit und Lernzentrum e.V.,Bremen produktiv - integrativ Arbeit und Lernzentrum / Angepackt und losgelegt,2008,2010,"902.958,33",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Arbeit und Lernzentrum e.V.,Bremen produktiv - integrativ Arbeit und Lernzentrum / Beschäftigung,2008,2010,"2.048.423,99",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Arbeitsförderungs-Zentrum im Lande Bremen GmbH,Projektbüro Tourismus,2008,2010,"609.755,69",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Arbeitsförderungs-Zentrum im Lande Bremen GmbH,"""Frauen im Aufwind"" Qualifizierungsprojekt für Frauen 50+ ohne Leistungsbezug",2008,2010,"294.990,23",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Arbeitsförderungs-Zentrum im Lande Bremen GmbH,"Beratung und Stadtteilentwicklung ""Lehe-Grünhöfe- Leherheide""",2008,2010,"2.210.123,13",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Arbeitsförderungs-Zentrum im Lande Bremen GmbH,Kita: Arbei - Bildung - Perspektiven,2008,2010,"508.063,85",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Arbeitsförderungs-Zentrum im Lande Bremen GmbH,Kita: Arbeit - Bildung - Perspektiven,2008,2010,"1.186.149,95",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Arbeitslosenzentrum Tenever,Offene Beratung in Bremen-Ost,2008,2010,"178.142,70",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Arbeitslosenzentrum Tenever,RAZ- Ran an die Zukunft- Berufsorientierung und Lebensplanung für Jugendliche im Übergang Schule/ Beruf,2008,2010,"152.121,06",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
ArBiS Bremen gGmbH,Bremen produktiv - integrativ ArBiS Bremen / Soziale und Arbeitsintegration (integrativ),2008,2010,"512.005,57",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Ausbildungspool Bremerhaven e.V.,Ausbildungspool (Schaffung von Ausbildungsplätzen),2008,2012,"740.181,43",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Ausbildungsverbund Bremerhaven gGmbH,Ausbildung und Qualifizierung im Verbund - Zukunft im Metallgewerbe; AuQuaM,2008,2010,"468.086,16",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
Aussiedler-Freizeit-Treff e. V. Blockdiek,Selbstbewußtsein und Chansenverbesserung für Berufseinstieg,2009,2009,"4.844,00",,ESF,EUR,http://www.esf-bremen.de/sixcms/media.php/13/reportS0602-0-0-36-100115.pdf
