ID,name_des_begunstigten,bezeichnung_des_vorhabens,jahr_der_bewilligung_restzahlung, gewahrte_betrage , bei_abschluss_des_vorhabens_gezahlte_gesamtbetrage 
1,Abwasserverband R�sselsheim-Raunheim,Biomasseheizung m. Stirling BHKW,2008,"235,900.00", -   
2,"Albert Koch GmbH Maschinen- und Vorrichtungsbau, Baunatal","Cluster ""DieMaschinenbauPartner"": Initiierungsphase",2008, -   ,"25,000.00"
3,"ANALYTICON Biotechnologies AG   - Gesch�ftsf�hrung -,
Lichtenfels",Einstellung eines Innovationsassistenten,2009,"29,200.00", -   
4,"Angewandte Kunst Hessen e.V., Kassel",Tendence Decorate Life,2008, -   ,"2,688.00"
5,"Berufsbildungswerk S�dhessen gGmbH, Karben",Erg�nzung der Ausstattung an den verschiedenen Standorten des BBW S�dhessen gGmbH,2009,"74,000.00", -   
6,"Bildungswerk BAU Hessen-Th�ringen e.V., Erfurt","Modernisierung des EBL Bildungszentrums Frankfurt am Main, erster und zweiter
Bauabschnitt",2008,"14,744,250.00", -   
7,"Bildungszentrum des Hessischen Handels gGmbH, Frankfurt
am Main",Beauftragter f�r Innovation und Technologietransfer im Handel (BIT),2008,"143,050.00", -   
8,"BioNatur GbR Iris & Dirk Rateike, Gilserberg","Errichtung einer Betriebsst�tte in 34630 Gilserberg, Bahnhofstra�e 57",2008,"446,300.00", -   
9,"BTQ Kassel, Kassel",Neue Technologien und Wettbewerbsf�higkeit,2008,"200,600.00", -   
10,"Buchbinderei Thomas Zinn, Wartenberg",Verlagerung einer Betriebsst�tte nach Kleinl�der,2009,"200,800.00", -   
11,"BZ Bildungszentrum Kassel GmbH, Kassel",Technologietransfer im Handwerk,2008, -   ,"5,500.00"
12,"BZH Bildungszentrum Handel und Dienstleistungen gGmbH,
Marburg",Technologietransfer im Handel,2008,"15,000.00", -   
13,"BZH Bildungszentrum Handel und Dienstleistungen gGmbH,
Marburg","""Beauftragter f�r Innovation und Technologie - BIT"" im Handel",2009,"30,000.00", -   
14,"cassel creative competence e.V., Kassel",Weiterentwicklung und Ausbau der Marken- und Netzwerkbildung,2008,"22,900.00", -   
15,"Cesah GmbH, Darmstadt",Innovation und Strukturentwicklung basierend auf GALILEO Anwendungen - Fortsetzung,2008,"21,500.00", -   
16,"Collinor Software GmbH, Birkenau",Einstellung eines Innovationsassistenten in 69488 Birkenau,2009,"29,800.00", -   
17,"Concentrator Optics GmbH, C�lbe","Erweiterung einer Betriebsst�tte in der Gemeinde C�lbe, Lahnstra�e 16",2008,"823,200.00", -   
18,"Daimler AG Mercedes- Benz Werk Kassel, Kassel","Betriebliche Kinderbetreuungseinrichtung, Mercedesplatz 1, 34112 Kassel",2009,"500,000.00", -   
19,deENet Kompetenznetzwerk Dezentrale Ener,"Organisation, Moderation und Energieberatung der 2. Phase des Modellvorhabens
""Energieeffizienztisch Nordhessen""",2008,"177,000.00", -   
