name_des_begunstigten,bezeichnung_des_vorhabens,"jahr_der_bewilligung
",jahr_der_abschliessenden_restzahlung,gewahrte_betrage,bei_abschluss_des_vorhabens_gezahlte_gesamtbetrage
Abwasserzweckverband Altes Land und Geestrand,"Abwasserentsorgung in der Gemeinde Hollern-Twielenfleth Bau
zentraler Abwasseranlage i.d. OT Bassenfleth u. Twielenfleth",2008,2009,,614295.67
AHG-Marhenke Automobil Handels GmbH Marhenke Dietrich,"Multimediale Darstellung des Unternehmens; Erstellung eines
Pflichtenheftes, Begleitung bei der Umsetzung",2008,2009,,10000
Autohaus Manikowski,"Marketingkonzept zur Revitalisierung ""ruhender"" Kundenbe-
ziehungen im Service",2008,2009,,4000
Bäckerei Krassmann GmbH,Ausbau und Stabilisierung der Marktposition,2008,2009,,10000
BenCon cad und consulting e.K.,Überarbeitung der Marketingstrategie,2008,2009,,4400
Bernd Löbl e. K.,"Gespräche und Verhandlungen mit potentiellen Nachfolgern sollen
vorbereitet und begeleitet werden; Unternehmensbewertung",2008,2009,,6400
Campingplatz Böhmeschlucht,Überarbeitung der Internetpräsentation,2008,2009,,2000
Deichverband Bosse,"Hochwasserschutz Bosse, Deichverstärkung von Station 0+000
bis 1+749",2008,2009,,449995.32
Deichverband Osterstader Marsch,"Deichnacherhöhung Rechtebe bis Wurthfleth - Abriss eines
Gebäude s in Rechtebe",2008,2009,,30376.36
Dr. Friedrich Terjung,Erstellung eines Marketingkonzeptes,2008,2009,,3250
FAC Frank Abels Consulting & Technology GmbH,Marketing und Werbung für Neukundengewinnung,2008,2009,,5925
feffa e.V.,"Koordinierungsstelle und KoordinierungsstellePlus Frau &
Wirtschaft Landkreis Harburg",2007,2009,,170494.32
feffa e.V.,"Koordinierungsstelle und KoordinierungsstellePlus Frau &
Wirtschaft Lüneburg.Uelzen",2007,2009,,169358.94
FTK Filter Technik Kausch e.K.,Erstellung eines Marketingkonzeptes,2008,2009,,2460
Gemeinde Schiffdorf,"Bau einer Druckrohrleitung von der KA Wehden zur ZKA Schiffdorf
u. Anschluss der OT Laven",2007,2009,,926004.92
H. Fettköter GmbH,Markenaufbau für eine Produktlinie,2008,2009,,10000
Hadler GmbH,Entwicklung von Marketingmaßnahmen zur Umsatzsteigerung,2008,2009,,5600
Herbert Peper & Sohn GmbH,Entwicklung von einem Marketingkonzept,2008,2009,,1500
Hotel Am Medemufer GmbH,"Entwicklung eines Markenzeichens und Names mit entsprechend
effektiver Kommunikationsstrategie",2008,2009,,10000
IBE AG,"Optimierung Kundenansprache durch gezielte
Marketingmaßnahmen",2008,2009,,10000
Landgasthof Martin,Optimierung des derzeitigen Marketing- und Vertriebskonzeptes,2008,2009,,4800
Landkreis Cuxhaven,KoordinierungsstellePlus Frauen und Wirtschaft,2007,2009,,134561.92
Landkreis Verden,"Koordinierungsstelle und KoordinierungsstellePlus Frau und
Wirtschaft Landkreis Verden",2007,2009,,164853.95
Löns-Apotheke,"Entwicklung von Vorgaben und Handlungsrahmen für das
Marketing in allen relevanten Bereichen der Apotheke",2008,2009,,6000
Löwen Autohaus Fischer GmbH,Marketingberatung mit Etablierung eines Business- kundencenters,2008,2009,,10000
M bit GmbH & Co. KG,Erweiterung der Betriebsstätte,2007,2009,,97900
Malereibetrieb Thorsten Holst,"Erstellung eines Marketingkonzeptes zur Unternehmensstabilisieru
kontoll. Umsatzausweitung & zusätzliche Kundengewinnung",2007,2009,,6000
Medizin Elektronik Lüneburg GmbH & Co. KG,"Integration und Aufbau eines Nachfolgers in das Unternehmen mit
der Perspektive, schrittweise Anteile zu übernehmen",2007,2009,,2042.88
Michael Pomplun GmbH,Marketingberatung für Projektmanagement und Konzeption,2008,2009,,910
NABU Uelzen e.V.,Wege in die Natur der Region Uelzen,2007,2009,,58448.04
NASSAU DOOR Vertriebs- und Montage GmbH,"Beratung in allgemeinen und besonderen Fragen der
Unternehmens- nachfolge",2008,2009,,5000
Niedersachsen Ports GmbH & Co. KG,Herstellung Offshore Basishafen Cuxhaven,2008,2009,,31945018.88
nordmedia Fonds GmbH,"Anträge aus der Entscheidung des Vergabeausschusses vom
22.02.2008  Konvergenz",2008,2009,,27862.31
RBP-PowerSystems GmbH,Coaching für Nachfolgeregelung; Unternehmensbewertung,2008,2009,,2000
ROBOT FOOD TECHNOLOGIES Germany GmbH,Erstellung eines neuen Marketing- und Vertriebskonzeptes,2008,2009,,10000
Samtgemeinde Harsefeld,"Zentrale Entsorgung d. Raumes Ahlerstedt
Hauptverbindungssammler OT Wangersen- ZKA Ahlerstedt-
Bockholt",2008,2009,,259827.78
Samtgemeinde Tostedt,"Erneuerung Ortsteilkläranlage Wümmepark, Wistedt",2007,2009,,154668.6
Serengeti-Park Hodenhagen GmbH,"Wettbewerbs- und Zielgruppenorientierte Bewertung geplanter
Reat traktivierungsmaßnahmen des Betriebes",2008,2009,,3281.25
Stadt Celle,Koordinierungsstelle Frauen und Wirtschaft,2007,2009,,81134.23
Stiftung Spiel,Spielmuseum -Filzwelt (Machbarkeitsstudie),2008,2009,,23000
Theater Metronom,Umbaumaßnahme Theater Metronom,2008,2009,,212500
Tischlerei Ernst-Otto Brammer,"Erarbeitung von Marketingmaßnahmen, Aufbau eines Marketing-
Controllings, Unterstützung bei der Umsetzung",2008,2009,,10000
Verein zur Förderung von Naturerlebnissen e.V,"a.Moore.mio - Die Liebe zum Moor entdecken / Erstellung eines
Flyers",2007,2009,,5653.4
