ID,name_des_begunstigten,bezeichnung_des_vorhabens,jahr_der_bewilligung,jahr_der_abschliessenden_restzahlung, gewahrte_betrage, bei_abschluss_des_vorhabens_gezahlte_gesamtbetrage ,
456,"""Haus der Küchen"" Waldschmidt","Ausbau und Stärkung der wirtschaftlichen Eigenkraft des
Unternehmens durch zielgruppenorientiertes Marketing",2008,,"4,800.00",,
808,"*NOKA"" Holzverarbeitungs GmbH","Neubau einer Lagerhalle, Maschinen- und Softwareinvestitionen",2008,,"32,700.00",,
1224,1. Motorsportclub Wolfsburg e.V.,"Yachthafen Wolfsburg - Förderung des Wassersporttourismus
durch Qualitätssteigerung des Hafens und des Hafengeländes",2009,,"69,000.00",,
1,A. Gerdes GmbH & Co. KG,Ausbau der Marktposition des Unternehmens,2008,2009,,"4,000.00",
2,A. Obenauf GmbH & Co. KG,Einwerbung von Eigenkapital ggf. ergänzendem Fremdkapital,2008,,"10,000.00",,   
3,ABG Allgemeine Baumaschinen- Gesellschaft mbH,"Grunderwerb, bauliche Investitionen, Maschinenerwerb",2008,,"3,031,200.00",,
4,ABR Metallguß GmbH,"Verbesserung der Marktposition, Marketing und Werbung für
Neukundengewinnung",2008,2009,,"4,400.00",
5,Abwasserentsorgung Helmstedt,Umstellung von Misch- auf Trennkanalisation in Helmstedt,2009,,"1,832,600.00",,
6,Abwasserverband Raum Katlenburg,"Ausbau der Kläranlage Elvershausen Erweiterung der Stickstoff-
und Phosphatelimination",2008,2009,,"250,000.00",
7,ACS International GmbH,Entwicklung eines Marketing-und Vertriebskonzeptes,2008,2009,,"3,790.00",
8,ACS-Vertrieb GmbH,"Strategische und umfassende Beratung zu den Designprozessen
im Status der Produktentwicklung",2008,2008,,"5,600.00",
9,Advanced Bionics European Research Center GmbH,"Verbesserunmg der Cochlea Implant Technologie als Hörhilfe für
schwer hörgeschädigte bis ertaubte Menschen",2008,,"1,132,100.00",,
10,AEROCON GmbH & Co. KG,"Beratung zur Unternehmensnachfolge, Istzustand feststellen, Dar-
stellung mgl. Nachfolgeszenarien...",2007,2008,,"8,000.00",
11,agostec GmbH & Co. KG,Einstellung eines Hochschulabsolventen,2009,,"6,000.00",,
12,AK Regeltechnik GmbH,Erweiterung einer Betriebsstätte,2007,,"375,800.00",,
13,AK System GmbH,"Entwicklung einer Dispergierturbine für die chargenweise
Verarbeitung von Fest-/Flüssigstoffen",2007,,"50,000.00",
14,Aktion Fischotterschutz e.V.,"Bau einer Naturerlebnis-Brücke und ökolgische Aufwertung des
Isenhagener Sees",2008,,"308,520.00",
15,Aktion Fischotterschutz e.V.,"Naturerlebnis Grünes Band - Ökologische Entwicklung der Oberen
Ohreaue für Fischotter, Biber und Mensch - Planungsphase",2009,,"43,760.00",
16,akzent Küchen GmbH,Planung und Gestaltung eines neuen Firmenlogos,2009,,"7,000.00",
17,Albers Logistik GmbH,"Strukturierung eines einheitlichen Erscheinungsbildes und
Marktauftrittes",2008,2008,,"4,000.00"
18,Albert Mackensen GmbH & Co. KG,"Vertriebsumstrukturierung, Neuausrichtung, Turnaround",2009,,"6,300.00",
19,Albrecht + Schumacher Oberflächentechnik GmbH,"Entwicklung von homogenen und harten
Verschleißschutzschichten mit Hilfe des Sputterverfahrens auf
temperaturempfindlichen Werk",2007,,"50,000.00",
20,aleo-solar Deutschland GmbH,Erweiterung einer Betriebsstätte,2007,,"23,700.00",
21,Alexander Jere,Errichtung einer Betriebsstätte,2007,,"52,500.00",
24,Alfelder Autobusbetrieb Gemke GmbH,"Erstellung eines Marketingkonzeptes zur Verbesserung der
Wettbew erbsfähigkeit",2009,,"5,600.00",
25,Alfred Galke GmbH,Optimmierung der Internetpräsentation,2009,,"10,000.00",
26,ALSA Hundewelt GmbH & co. KG,Erweiterung einer Betriebsstätte,2007,,"79,500.00",
27,Altes Forsthaus Braunlage Hotel Betriebs GmbH,Strategische Marketingberatung,2008,2009,,"2,800.00"
28,Alu Systems H. Schaar & K.Schaar GbR,Entwicklung einer zielgruppengerechten Kommunikationsstrategie,2008,,"9,700.00",
29,Ambulante Pflege Landdienste GmbH,Einstellung eines Hochschulabsolventen,2009,,"12,000.00",
30,Ambulante Pflege Landdienste GmbH,Einstellung eines Hochschulabsolventen,2009,,"12,000.00",
31,Ambulanter Pflegedienst - Friesische Pflege,Konzeption zur Erschließung neuer Marktbereiche,2009,,"4,000.00",
32,Amino GmbH,Entwicklung einer Marketing- und Vertriebsstrategie,2009,,"10,000.00",
33,Amino GmbH,Erweiterung einer Betriebsstätte,2008,2009,,"494,476.78"
34,Ampel Personalservice GmbH,Verbesserung der Außenwirkung der Zeitarbeitsagentur,2008,2009,,"2,800.00"
35,Anders Physiotherapie,"Erstellung eines Konzeptes mit dem Ziel, das Unternehmen klarer,
stärker und überregionaler im Markt zu positionieren",2008,2009,,"2,800.00"
36,Anderten Kälte + Klima GmbH,Erweiterung der Betriebsstätte,2007,2009,,"73,940.00"
37,Andreas H. Raßloff,"Erstellung einer komplexen Marketingkonzeption für alle Unterneh
mensbereiche",2009,,"10,000.00",
38,Andreas Schlüter Maschinenbau,Erweiterung der Betriebsstätte in Nienburg,2008,,"18,700.00",
39,Apfelschmiede GmbH & Co. KG,Grafischer Neuaufbau der gesamten Kommunikationselemente,2008,,"3,000.00",
40,Apfelschmiede GmbH & Co. KG,Neuaufbau des betrieblichen Markenauftritts,2008,,"8,200.00",
41,"APS Antriebs-, Prüf- und Steuertechnik GmbH","Verbreiterung der Kapitalbasis durch Eigen- (Beteiligungs-) und
Fremdkapital",2008,,"8,000.00",
42,Aptive Software Group GmbH,"Automatisiertes Contentware Engineering unter Berücksichtigung
kognitiver Aspekte",2007,,"110,700.00",
