"name_des_begunstigten","bezeichnung_des_vorhabens","jahr_der_bewilligung","jahr_der_abschliessenden_restzahlung","gewahrte_betrage","gezahlte_gesamtbetrage"
"Georg Schmidt GmbH","Fﾚrderung von Auszubildenden aus Insolvenzbetrieben - Kfz-
Mechatroniker",2008,2009,,3062.11
"A & J Aschemann & Jonack Elektroanlagen GmbH","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Elektroniker fﾟr Energie- und Gebﾊudetechnik",2007,2009,,2500
"A & M Catering GmbH - Hanse Catering","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Kﾚchin",2007,2009,,2500
"Abraham Industrie-Isolierungen GmbH","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
WKS-Isolierer",2007,2009,,2500
"ABV Verpackung GmbH","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Bﾟrokauffrau",2007,2009,,2500
"Adolf Jelges","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Kauffrau im Einzelhandel",2007,2008,,2500
"ADZ GbR Ausbildungs-Dienstleistungs-Zentrum","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Elektroniker",2007,2009,,2500
"AK-Bauunternehmen GmbH & Co. KG","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Maurer",2007,2009,,2500
"Albert Buhr","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Landwirt",2007,2008,,2500
"Albrecht Buﾧmeyer Cafe - Restaurant","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Koch",2007,2008,,2500
"Alois Theilmann und Sﾚhne OHG","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Fachverkﾊuferin im Lebensmittelhandwerk",2007,2009,,2500
"Alte Posthalterei GbR","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Restaurantfachfrau",2007,2009,,2500
"Alter Brunsel GmbH & Co KG","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Koch",2007,2009,,2500
"Alter Dorfkrug","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Hotelfachfrau",2007,2009,,2500
"Altes Forsthaus Braunlage Hotel Betriebs GmbH","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Hotelfachmann",2007,2009,,2500
"Altes Posthaus Joachim Leck","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Koch",2007,2008,,2500
"Amina GmbH","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Verkﾊufer",2007,2009,,2500
"Amina GmbH","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Verkﾊuferin",2007,2009,,2500
"Ammerlﾊnder Groﾧbﾊckerei GmbH & Co. KG Stﾚhr-Brot","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Maschinen- und Anlagenfﾟhrer",2007,2009,,2500
"Ammerlﾊnder Groﾧbﾊckerei GmbH & Co. KG Stﾚhr-Brot","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Maschinen- und Anlagenfﾟhrer",2007,2009,,2500
"Andreas Steinhauer balance Kosmetik","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Kosmetikerin",2007,2008,,2500
"Anton Eiken Bauunternehmen GmbH & Co. KG","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Hochbaufacharbeiter",2007,2009,,2500
"Antonio Quaceci","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Fliesen/Platten/Mosaikleger",2007,2009,,2500
"Anwaltskanzlei Ralf Nestler","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Rechtsanwaltfachangestellter",2007,2009,,2500
"ap extrusion AG","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Zerspanungsmechaniker, Fachrichtung Drehtechnik",2007,2009,,2500
"AQT-Transporte","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Servicefahrer",2007,2009,,2500
"Aral Center Einbeck Hamed Riazi","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Einzelhandelskaufmann",2007,2008,,2500
"Architektur- und Ingenieurbﾟro Manfred Besecke","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -Bauzeichnerin",2007,2009,,2500
"ARCUS Werbung GmbH","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Schilder- und Lichtreklamehersteller",2007,2008,,2500
"Art of Hairstyle","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Friseurin",2007,2009,,2500
"ASKO GmbH","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Metallbauer",2007,2009,,2500
"ASKO GmbH","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Metallbauer",2007,2009,,2500
"August Eilert","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Beton- und Stahlbetonbauer",2007,2008,,2500
"Auto plus GmbH & Co. KgaA","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Automobilkaufmann",2007,2009,,2500
"Auto Ricker","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
KfZ-Mechatroniker",2007,2008,,2500
"Auto-Design-Misburg GmbH","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -Bﾟrokauffrau",2007,2009,,2500
"Autohaus Bartels KG","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
Kraftfahrzeug Mechatroniker",2007,2008,,2500
"Autohaus Dobczyk","Fﾚrderung von zusﾊtzlichen betrieblichen Ausbildungsplﾊtzen -
KFZ-Mechatroniker",2007,2009,,2500
