jahr_der_bewilligung,name_des_begunstigten,wohnort_des_begunstigten,kurzbeschreibung_des_vorhabens,gewahrte_betrage,fund_type,currency,uri
2006,Zweckverband Bergische Volkshochschule Solingen- Wuppertal,Wuppertal,Sonderprogramm Ausbildung 2006,140000,ESF,EUR,http://www.arbeit.nrw.de/pdf/esf/operationelles_programm_beguenstigtenverzeichnis_barr.pdf
2006,Zentrum f. Ausbildung u. berufl. Qualifikation Oberhausen e.V.,Oberhausen,Sonderprogramm Ausbildung 2006,270000,ESF,EUR,http://www.arbeit.nrw.de/pdf/esf/operationelles_programm_beguenstigtenverzeichnis_barr.pdf
2006,Zentrum Aus- und Weiterbildung Ludwigsfelde GmbH,Ludwigsfelde,Sonderprogramm Ausbildung 2006,120000,ESF,EUR,http://www.arbeit.nrw.de/pdf/esf/operationelles_programm_beguenstigtenverzeichnis_barr.pdf
2006,Wuppermann Bildungswerk,Leverkusen,Sonderprogramm Ausbildung 2006,846589,ESF,EUR,http://www.arbeit.nrw.de/pdf/esf/operationelles_programm_beguenstigtenverzeichnis_barr.pdf
2006,WIPA Wirtschafts- und Sprachschule Kurt Paykowski GmbH,Velbert,Sonderprogramm Ausbildung 2006,90000,ESF,EUR,http://www.arbeit.nrw.de/pdf/esf/operationelles_programm_beguenstigtenverzeichnis_barr.pdf
2006,WIPA GmbH & Co.KG,Düsseldorf,Sonderprogramm Ausbildung 2006,200000,ESF,EUR,http://www.arbeit.nrw.de/pdf/esf/operationelles_programm_beguenstigtenverzeichnis_barr.pdf
2006,WIPA GmbH & Co.KG,Wuppertal,Sonderprogramm Ausbildung 2006,240000,ESF,EUR,http://www.arbeit.nrw.de/pdf/esf/operationelles_programm_beguenstigtenverzeichnis_barr.pdf
2006,Weststadt-Akademie GmbH,Essen,Sonderprogramm Ausbildung 2006,160000,ESF,EUR,http://www.arbeit.nrw.de/pdf/esf/operationelles_programm_beguenstigtenverzeichnis_barr.pdf
2006,Werkstatt Unna GmbH,Unna,Sonderprogramm Ausbildung 2006,130211,ESF,EUR,http://www.arbeit.nrw.de/pdf/esf/operationelles_programm_beguenstigtenverzeichnis_barr.pdf
2006,W.A.R. Wirtschaftsakademie Am Ring GmbH,Köln,Sonderprogramm Ausbildung 2006,20000,ESF,EUR,http://www.arbeit.nrw.de/pdf/esf/operationelles_programm_beguenstigtenverzeichnis_barr.pdf
2006,Volkshochschule Höxter-Marienmünster,Höxter,Sonderprogramm Ausbildung 2006,60000,ESF,EUR,http://www.arbeit.nrw.de/pdf/esf/operationelles_programm_beguenstigtenverzeichnis_barr.pdf
2006,ViA Bochum Verein für integr. Arbeit,Bochum,Sonderprogramm Ausbildung 2006,80000,ESF,EUR,http://www.arbeit.nrw.de/pdf/esf/operationelles_programm_beguenstigtenverzeichnis_barr.pdf
