REGIONALFONDEN:,,,
Journalnr,Projekttitel,Virksomhed,EU Tilsagn pr. 31.12.2009
Mål 2 Regionalfond Bornholm,,,
  1 Innovation og viden,,,
   1.1 Innovation og videndeling,,,
,Bornholm i Vækst - konsulentbistand,Bornholms Regionskommune,"        1.110.875,00 "
,WEB123 integreret til Microsoft ERP-systemet C5 i hosted miljø,JF Data Service ApS,"           749.594,89 "
,Optimering og videreudvikling af præstøbte centralrørselementer,Hasle Industries A/S,"           404.026,40 "
,Film og erhvervsturisme,Destination Bornholm ApS,"           519.010,00 "
,Karameller med Sjæl,KaramelKompagniet,"           600.000,00 "
,Bornholmske fødevarer - fremtidens innovative eksporterhverv,Væksthus Hovedstadsregionen,"           690.000,00 "
,Grøn energi i innovative netværk,Bornholms Regionskommune,"        1.865.672,25 "
,Den Bornholmske Diamant Spa,Hotel Griffen A/S,"        1.312.934,00 "
,Turismebarometer for Bornholm,Destination Bornholm ApS,"           480.000,00 "
,Udvikling af nye tema- eller eventbaserede turismeprodukter,Destination Bornholm ApS,"        1.245.942,70 "
   1.1 Innovation og videndeling,Antal:,10,"        8.978.055,24 "
   1.3 Anvendelse af ny teknologi,,,                          -   
,Anvendelse af ny teknologi i turistinformation,Destination Bornholm ApS,"           402.914,20 "
,Det borgerdrevne 2. generations bioethanol-anlæg,Biogasol ApS,"           750.000,00 "
,Østbornholms Kutterservice ApS,Østbornholms Kutterservice ApS,"           618.000,00 "
,Den Bornholmske Sennepsfabrik,Proprietær Hans Hansen,"           369.000,00 "
,Green Solution House,Business Center Bornholm,"           429.750,00 "
   1.3 Anvendelse af ny teknologi,Antal:,5,"        2.569.664,20 "
  I alt 1 Innovation og viden,Antal:,15,"      11.547.719,44 "
I alt Mål 2 Regionalfond Bornholm,Anta :,15,"      11.547.719,44 "
