REGIONALFONDEN:,,,
Journalnr,Projekttitel,Virksomhed,Tilsagn pr. 31.12.2009
Mål 2 Regionalfond Hovedstaden,,,
  1 Innovation og viden,,,
   1.1 Innovation og videndeling,,,
,Det Interaktive Hus,Producentforeningen,"           214.456,39 "
,VIKK - Vækst i Klynger og Kompetencer,Væksthus Hovedstadsregionen,"        2.385.789,00 "
,Innovation Center Copenhagen,Væksthus Hovedstadsregionen,"        7.528.492,50 "
,Innovation i Region Hovedstadens turismeindsats,Wonderful Copenhagen,"      21.576.357,99 "
,"Nordeuropas handels-, logistik- og transportklynge",Roskilde Universitetscenter,"        1.204.545,00 "
,SUND VÆKST,Roskilde Universitet,"        7.820.000,00 "
,Metropolis: Lys og Lyd Projekt,Københavns Internationale Teater,"        2.190.025,00 "
,Copenhagen Entertainment,"Copenhagen Capacity, fonden til markedsføring og erhvervsfremme i Hovedstaden","        6.716.299,33 "
,Knudepunkt for mobil og trådløs kommunikation,Aalborg Universitet,"        7.811.228,50 "
,Profilering af Design to Improve Lifes som nyt innovationsområde,Index Award A/S,"        2.908.219,56 "
,VIBE - Videncenter for begivenheder,Wonderful Copenhagen,"        8.504.870,00 "
,Copenhagen Finance IT Region,Finansrådet,"        1.229.716,34 "
,LysLyd - i Region Hovedstaden og Region Sjælland,Københavns Internationale Teater,"        8.845.000,00 "
   1.1 Innovation og videndeling,Antal :,13,"      78.934.999,61 "
   1.2 Etab. og udvikling af nye virksomh.,,,                          -   
,Accelerace,Symbion A/S,"        5.000.000,00 "
,Spin-off aktiviteter – Fremtidens vækstkilde i Region Hovedstaden,Væksthus Hovedstadsregionen,"        7.898.705,00 "
,"CIBIT ""Accelerace Invest""",Symbion A/S,"      20.000.000,00 "
   1.2 Etab. og udvikling af nye virksomh.,Antal :,3,"      32.898.705,00 "
   1.3 Anvendelse af ny teknologi,,,                          -   
,Ny viden til Byggefagene,Dansk Byggeri,"        8.000.000,00 "
   1.3 Anvendelse af ny teknologi,Antal :,1,"        8.000.000,00 "
  I alt 1 Innovation og viden,Antal :,17,"    119.833.704,61 "
I alt Mål 2 Regionalfond Hovedstaden,Antal :,17,"    119.833.704,61 "
