SOCIALFONDEN: ,,,
Journalnr,Projekttitel,Virksomhed,
Mål 2 Socialfond Midtjylland,,,
  1 En kvalificeret arbejdsstyrke,,,
   1.1 Udvikling af menneskelige ressourcer,,,
,KOMPETENCEmidt,Væksthus Midtjylland,"            30.000.000,00 "
   1.1 Udvikling af menneskelige ressourcer,Antal :,1,"            30.000.000,00 "
  I alt 1 En kvalificeret arbejdsstyrke,Antal :,1,"            30.000.000,00 "
  2 Udvidelse af arbejdsstyrken,,,                                -   
   2.1 Udvikling af menneskelige ressourcer,,,                                -   
,Senior Styrken,Århus Kommune,"                 400.000,00 "
,Kvinder omkring de 30 - på vingerne som ”hele mennesker”,Ringkøbing-Skjern Kommune,                                -   
,Huset Venture Ikast-Brande,Ikast-Brande Kommune,"                 890.400,00 "
,Beskæftigelsesfremme for ADHD-ramte i randersområdet,Randers Kommune,"              1.950.992,98 "
,Mestring af sygdom- på vej mod et arbejdsliv,Århus Kommune,"              1.000.000,00 "
,Udviklingsplatform i Region Midtjylland for virksomhedernes sociale engagement og et rummeligt arbejdsmarked,Herning Kommune,"                 365.024,83 "
,Jobsløjfen,Aarhus Tekniske Skole,"                 600.000,00 "
,fra udsat til ansat,Den Selvejende Institution Job-Banken,"              1.150.000,00 "
,Modtagelse og fastholdelse af udenlandsk arbejdskraft,Erhverv Århus,"              6.637.500,00 "
,Silkeborg Welcome,Erhverv Silkeborg,"                 800.000,00 "
,Modtagelse og fastholdelse af udenlandsk arbejdskraft,Foreningen Ringkøbing Fjord Erhvervsråd,"              5.539.029,00 "
,Midtjysk Dialogforum,Foreningen Ringkøbing Fjord Erhvervsråd,"                 999.985,98 "
,Velkomst og trivsel for udenlandsk arbejdskraft,Horsens Kommune,"              1.553.746,19 "
,Udenlandsk arbejdskraft Randers - én indgang,Randers Erhvervs- & Udviklingsråd,"              1.058.000,00 "
,Modtagelse og fastholdelse af udenlandsk arbejdskraft i Skive/Viborg,ViborgEgnens Erhvervsråd,"              2.986.691,49 "
,Modtagelse og Fastholdelse af udenlandsk arbejdskraft i Lemvig Kommune,Lemvig Kommune,"              1.341.834,84 "
,Fastholdelse af udenlandske studerende,Aarhus Universitet,"              1.900.000,00 "
,Fastholdelse af udenlandske studerende på professionsuddannelser,VIA University College,"              1.454.000,00 "
   2.1 Udvikling af menneskelige ressourcer,Antal :,18,"            30.627.205,31 "
   2.2 Etab. og udvikling af nye virksomh.,,,                                -   
,Fremtidens iværksætterkompetencer. Delprojekt A: Administration og projektledelse,Væksthus Midtjylland,"                 863.750,00 "
,En styrkelse og koordinering af indsatsen indenfor iværksætteri i uddannelsessystemet,Aarhus Universitet,"              1.990.000,00 "
,Fremtidens iværksætterkompetencer - delprojekt B Oprettelse og drift af vækstgrupper,Væksthus Midtjylland,"                 162.500,00 "
,Fremtidens iværksætterkompetencer. Delprojekt c: iværksætterkurser,Væksthus Midtjylland,"                 850.000,00 "
,Fremtidens iværksætterkompetencer. Delprojekt D: Kompetenceudvikling,Væksthus Midtjylland,"                 850.000,00 "
   2.2 Etab. og udvikling af nye virksomh.,Antal :,5,"              4.716.250,00 "
  I alt 2 Udvidelse af arbejdsstyrken,Antal :,23,"            35.343.455,31 "
I alt Mål 2 Socialfond Midtjylland,Antal :,24,"            65.343.455,31 "
