REGIONALFONDEN: ,,,
Journalnr,Projekttitel,Virksomhed,Tilsagn pr. 31.12.2009
Mål 2 Regionalfond Sjælland,,,
  1 Innovation og viden,,,
   1.1 Innovation og videndeling,,,
,I-techpartner Sjælland,Bahner.dk ApS,"               1.667.523,00 "
,Plant valley / Agro Valley Danmark,Grønt Center,"               1.070.000,00 "
,"Købstaden - en moderne by med sjæl. Et helårsturismeprojekt på Sjælland, Møn og Lolland-Falster",Fonden Østdansk Turisme,"               5.908.503,50 "
,Fra Clutter til Cluster – metodeudvikling for fremtidens virksomhedsklynger.,Grønt Center,"               1.715.000,00 "
,Cluster Biofuels Denmark - CBD Et Erhvervsklyngeinitiativ for bioraffinering og biofuels,Kalundborg Kommune,"               1.937.488,00 "
,Attraktive indkøbsmuligheder på Orø (AIPO),Orø Brugsforening,"               4.344.430,57 "
,Videns- og Teknologicenter for Vindmølledrift,International Wind Academy Lolland A/S,"               7.127.702,50 "
,Energiklynge Center Sjælland,Lolland Kommune,"               5.297.014,51 "
   1.1 Innovation og videndeling,Antal :,8,"             29.067.662,08 "
   1.3 Anvendelse af ny teknologi,,,                                 -   
,Vækstmuligheder i yderområderne,Guldborgsund Kommune,"               3.725.000,00 "
   1.3 Anvendelse af ny teknologi,Antal :,1,"               3.725.000,00 "
   1.2 Etab. og udvikling af nye virksomh.,,,                                 -   
,Dansk Solenergi på Lolland,Dansk Solenergi ApS,"               6.302.051,19 "
,Hvedeforædling Lolland,Nordic Seed a/s,"               3.286.138,80 "
   1.2 Etab. og udvikling af nye virksomh.,Antal :,2,"               9.588.189,99 "
  I alt 1 Innovation og viden,Antal :,11,"             42.380.852,07 "
I alt Mål 2 Regionalfond Sjælland,Antal :,11,"             42.380.852,07 "
