SOCIALFONDEN: ,,,
Journalnr,Projekttitel,Virksomhed,Tilsagn pr. 31.12.2009
Mål 2 Socialfond Sjælland,,,
  1 En kvalificeret arbejdsstyrke,,,
   1.3 Anvendelse af ny teknologi,,,
,OVERSKUD II - Innovationsledelse i SMV,Håndværksrådet,"                2.411.761,06 "
   1.3 Anvendelse af ny teknologi,Antal :,1,"                2.411.761,06 "
   1.1 Udvikling af menneskelige ressourcer,,,                                  -   
,Realkompetenceløft til vækst,"CELF, Center for Erhvervsrettede Uddannelse Lolland-Falster","                2.590.192,57 "
,KLAR - kompetent læring af regionen,Selandia Center for Erhvervsrettet Uddannelse,"              16.240.743,00 "
,Lollands bedste arbejdsplads: Nakskov Mill Foods A/S,Nakskov Mill Foods A/S,"                   430.596,00 "
,Kvalitetsopgradering,Ossi Connectors A/S,"                1.166.724,00 "
,Fremtidspiloterne,Sun Chemical A/S,"              12.985.720,00 "
,Attraktive Virksomheder,Væksthus Sjælland,"                4.906.417,41 "
,Udvikling af en brugerbåret ungdomsuddannelse - Brugerdreven innovation som aktivt redskab i forhold til frafaldsproblematik i ungdomsuddannelser i Region Sjælland,"CELF, Center for Erhvervsrettede Uddannelse Lolland-Falster","                2.864.779,60 "
,Det regionale tolkekorps – udvikling af en ny 1 årig tolkeuddannelse,HK Privat,"                2.751.990,00 "
,Vidensoverførsel i læringsnetværk,Den Selvejende Institution Køge Handelsskole og Handesgymnasium,"                1.000.450,00 "
,Nyskabende kompetencer for rådgivende ingeniører,Skude & Jacobsen A/S,                                  -   
,Generelt kompetenceløft af ufaglærte produktionsmedarbejdere,Saint-Gobain Ecophon Production A/S,                                  -   
   1.1 Udvikling af menneskelige ressourcer,Antal :,11,"              44.937.612,58 "
  I alt 1 En kvalificeret arbejdsstyrke,Antal :,12,"              47.349.373,64 "
  2 Udvidelse af arbejdsstyrken,,,                                  -   
   2.1 Udvikling af menneskelige ressourcer,,,                                  -   
,Lollandsprojektet,Lolland Kommune,"                9.965.062,50 "
,Iværksætter med E-business,PROVI ApS,"                2.653.713,00 "
,Mix i Match-grupper,Vordingborg Kommune,"                4.491.444,50 "
   2.1 Udvikling af menneskelige ressourcer,Antal :,3,"              17.110.220,00 "
   2.2 Etab. og udvikling af nye virksomh.,,,                                  -   
,Klar til ejerskifte - udvikling af ejerskiftemodeller for SMV,Væksthus Sjælland,"                2.638.000,00 "
   2.2 Etab. og udvikling af nye virksomh.,Antal :,1,"                2.638.000,00 "
  I alt 2 Udvidelse af arbejdsstyrken,Antal :,4,"              19.748.220,00 "
I alt Mål 2 Socialfond Sjælland,Antal :,16,"              67.097.593,64 "
