Toetuse saaja,,Juriidilise isiku vorm,Projekti nim,Toetuse suurus (EEK),Kestus,Maakond,Meede,Fond,RakendusŸksus,
YIT Emico AS,10010169,Aktsiaselts,AS YIT Emico hooldusdivisjoni kompetentside arendamine,40 432,06.02.2009 ... 16.12.2009,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Yes O†,11420797,OsaŸhing,Ettev›tluskoolitus ja Šriplaanide koostamine,14 970,17.12.2009 ... ,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
†Ÿrikas O†,11257015,OsaŸhing,RMP,11 760,01.10.2009 ... ,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
†lli Adamson ÍigusbŸroo O†,11439615,OsaŸhing,Koolitus vastavalt vajadusele,10 800,28.01.2010 ... ,Tartu maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
†lenurme Investeeringud O†,10665700,OsaŸhing,Saavutama›ppimine,15 000,20.11.2009 ... ,Tartu maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
†lemiste City AS,10348595,Aktsiaselts,†lemiste City pargiala opereerimise strateegia vŠljatšštamine ning projekti turu- ja tasuvusanalŸŸsi lŠbiviimine,35 100,11.08.2009 ... ,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
†le O†,10405442,OsaŸhing,Tasakaalustatud areng,59 500,16.12.2008 ... 19.05.2009,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
†hinenud P›llumehed O†,10554283,OsaŸhing,Koolitusprojekt,15 000,04.02.2010 ... ,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
†hinenud Depood AS,10786869,Aktsiaselts,Keskastmejuhtide ja spetsialistide arenguprogramm (koosneb 2 moodulist: 1. meeskonnatšš arendamine; 2. tootmisjuhtide arenguprogramm),47 675,01.09.2009 ... 04.02.2010,†leriiklikud/maakondade vahelised projektid,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
…sel Fish O†,10499472,OsaŸhing,…sel Fish O† turu-uuringu teostamine,47 200,17.11.2009 ... 08.02.2010,Saare maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
… Stuudio O†,11499132,OsaŸhing,Helitšštluse analogiseerimine,50 000,11.08.2009 ... ,Tartu maakond,1.4.2 Alustava ettev›tja stardi- ja kasvutoetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
€ritulemus O†,11269745,OsaŸhing,Eesti Vabariigi Seadusandluse - ja RT juhendite muudatused,15 000,05.11.2009 ... ,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Ínnelakeskus O†,11463909,OsaŸhing,Ínnelakeskus O† kŠivitamine,31 777,22.04.2008 ... ,PŠrnu maakond,1.4.2 Alustava ettev›tja stardi- ja kasvutoetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Íiguskantsleri Kantselei,74000464,RiiklikudŸksused,VŠŠrkohtlemise ennetusasutuse tegevusega seotud ›iguskantsleri n›unike kŸsitlemisoskuste arendamise koolitus,40 800,20.01.2010 ... ,Harju maakond,1.5.3 Avaliku sektori tšštajate ja mittetulundusŸhenduste tšštajate koolitus ja arendamine,ESF,Riigikantselei,2007-2013
Íiguskantsleri Kantselei,74000464,RiiklikudŸksused,Íiguskantsleri ja ›iguskantsleri n›unike ›ppereisid Euroopa Liidu ja liikmesriikide koostššinstitutsioonidesse.,293 739,21.11.2008 ... ,Harju maakond,1.5.3 Avaliku sektori tšštajate ja mittetulundusŸhenduste tšštajate koolitus ja arendamine,ESF,Riigikantselei,2007-2013
Íiguskantsleri Kantselei,74000464,RiiklikudŸksused,"Strateegilise juhtimise, personali hindamise ja motiveerimise alased koolitusedÍiguskantsleri Kantselei juhtkonnale",38 561,20.01.2010 ... ,Harju maakond,1.5.3 Avaliku sektori tšštajate ja mittetulundusŸhenduste tšštajate koolitus ja arendamine,ESF,Riigikantselei,2007-2013
ÍigusbŸroo KerikmŠe Junolainen O†,11356556,OsaŸhing,"EJL poolt lŠbiviidud ÍigusteabepŠev 2010 kevad- ja sŸgissemester, ›igusalased koolitusseminarid",13 880,08.02.2010 ... ,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
WR Controls AS,10791876,Aktsiaselts,WR CONTROLS AS kvaliteedijuhtimissŸsteemi vŠljatšštamine ja juurutamine,49 000,30.12.2009 ... ,Harju maakond,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Woodman O†,11087048,OsaŸhing,"O† Brainteami koolitus , kuidas lihtsate tegevustega t›sta ettev›tte efektiivsust ja suurendada tootlikkust.",15 000,29.12.2009 ... ,†leriiklikud/maakondade vahelised projektid,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
Wood Export Group O†,11712790,OsaŸhing,Siseaudit Tase 1 'Professionaalne siseaudiitor',9 800,11.02.2010 ... ,†leriiklikud/maakondade vahelised projektid,1.4.5 Teadmiste ja oskuste arendamise toetus,ESF,Ettev›tluse Arendamise Sihtasutus,2007-2013
