"BENEFICIARIO","TIPO DE OPERACION","GASTO PUBLICO"
"IMAGEN MIREIA MEJIAS, S.L.","Mejorar la empleabilidad de las personas desempleadas","1090,77"
"IMAGEN MONDEJAR, S.L.","Mejorar la empleabilidad de las personas desempleadas","2018,56"
"IMAGEN NUEVA SL","Mejorar la empleabilidad de las personas desempleadas","304,53"
"IMAGEN PERSONAL,SL","Mejorar la empleabilidad de las personas desempleadas","778,98"
"IMAGEN SALON PELUQUERIA SL","Mejorar la empleabilidad de las personas desempleadas","635,11"
"IMAGEN SERVICIOS Y DESPACHOS SL","Mejorar la empleabilidad de las personas desempleadas",1135
"IMAGEN TORNERO SL","Mejorar la empleabilidad de las personas desempleadas","613,84"
"IMAGEN Y COMUNICACION MULTIMEDIA ASESORES SL","Mejorar la empleabilidad de las personas desempleadas","1883,27"
"IMAGEN Y EDICION AUDIOVISUAL SLL","Mejorar la empleabilidad de las personas desempleadas","665,79"
"IMAGEN Y ESTILO TEYMA,SL","Mejorar la empleabilidad de las personas desempleadas","283,32"
"IMAGEN Y MADERA MADRID 2004 SL","Mejorar la empleabilidad de las personas desempleadas","509,94"
"IMAGEN Y SEMEJANZA, S.L.","Mejorar la empleabilidad de las personas desempleadas","2385,41"
"IMAGEN Y SONIDO TECNICOL SL","Mejorar la empleabilidad de las personas desempleadas","1897,24"
"IMAGENTES 2004 SL","Mejorar la empleabilidad de las personas desempleadas","708,24"
"IMAGER INFORMATICA SL","Mejorar la empleabilidad de las personas desempleadas","1644,6"
"IMAGIA 2000 TELEVISION SL","Mejorar la empleabilidad de las personas desempleadas","1126,2"
"IMAGIC VISION SL","Mejorar la empleabilidad de las personas desempleadas","70,83"
"IMAGID LAB ONE SRL","Mejorar la empleabilidad de las personas desempleadas","1057,7"
"IMAGINA ACCESOS CONTROLADOS, S.L.","Mejorar la empleabilidad de las personas desempleadas","2116,69"
"IMAGINA DESING S.L.","Mejorar la empleabilidad de las personas desempleadas","193,34"
"IMAGINA ESPACIOS INMOBILIARIOS S.L.","Mejorar la empleabilidad de las personas desempleadas","1496,57"
"IMAGINA ESTRATEGIA DE COMUNICACION, SL","Mejorar la empleabilidad de las personas desempleadas","1020,41"
"IMAGINA EXPERIENCIAS SL","Mejorar la empleabilidad de las personas desempleadas","890,59"
"IMAGINA INTERNATIONAL SALES,S.L.","Mejorar la empleabilidad de las personas desempleadas","1290,4"
"IMAGINA TRADE GROUP, SL","Mejorar la empleabilidad de las personas desempleadas","1187,53"
"IMAGINACION CREATIVA, S.L.UNIPERSONAL.","Mejorar la empleabilidad de las personas desempleadas","545,39"
"IMAGINACION DEL COMER SL","Mejorar la empleabilidad de las personas desempleadas","57,5"
"IMAGINACION FORMATIVA CAMPANILLA SLL","Mejorar la empleabilidad de las personas desempleadas","1074,76"
"IMAGINACION ORGANIZADA SL","Mejorar la empleabilidad de las personas desempleadas","862,48"
"IMAGINALIA, CONSULTORIA Y SERVICIOS, SL","Mejorar la empleabilidad de las personas desempleadas","627,2"
"IMAGINAMOS POR TI, S.L.L.","Mejorar la empleabilidad de las personas desempleadas","493,42"
"IMAGINANTE CREATIVOS EXTREMADURA S.L.L.","Mejorar la empleabilidad de las personas desempleadas","4586,95"
"IMAGINARQ ESTUDI D ARQUITECTURA SL","Mejorar la empleabilidad de las personas desempleadas","945,54"
"IMAGINASCENE EVENTOS Y COMUNICACINN,S.L.","Mejorar la empleabilidad de las personas desempleadas","448,55"
"IMAGINA-TWO 2006 IMATGE I REGAL SL","Mejorar la empleabilidad de las personas desempleadas",715
"IMAGINE 800, S.L.","Mejorar la empleabilidad de las personas desempleadas","866,71"
"IMAGINE ENGLISH SLL","Mejorar la empleabilidad de las personas desempleadas","531,2"
"IMAGINE GESTION Y RESTAURACION SL","Mejorar la empleabilidad de las personas desempleadas","915,01"
"IMAGINE SONORA SL","Mejorar la empleabilidad de las personas desempleadas","1156,89"
"IMAGINING GLOBAL 21, S.A.","Mejorar la empleabilidad de las personas desempleadas","666,7"
"IMAGINO CREATIVA STUDIOS, SL","Mejorar la empleabilidad de las personas desempleadas","1284,49"
"IMAGO DRACAENA SL","Mejorar la empleabilidad de las personas desempleadas","406,13"
"IMAGO MARKETING Y COMERCIALIZACION, SL","Mejorar la empleabilidad de las personas desempleadas","303,39"
"IMAGO SOLUCIONES GRAFICAS SL EN CONSTITUCION","Mejorar la empleabilidad de las personas desempleadas","673,16"
"IMAGO Y SONO SL","Mejorar la empleabilidad de las personas desempleadas","1567,56"
"IMAGORA CONSULTORES S.L.","Mejorar la empleabilidad de las personas desempleadas","527,64"
"IMAGOVET, S.L.","Mejorar la empleabilidad de las personas desempleadas","578,44"
"IMAGRIFOL SL","Mejorar la empleabilidad de las personas desempleadas","1266,73"
"IMAGUIR, SL","Mejorar la empleabilidad de las personas desempleadas","96,79"
"IMAIAN SA","Mejorar la empleabilidad de las personas desempleadas","231,37"
"IMAIDEA INTERACTIVA, S.L.","Mejorar la empleabilidad de las personas desempleadas",600
"IMAIN NAVARRA SL","Mejorar la empleabilidad de las personas desempleadas","2695,31"
"IMAISDE, ASESORAMENTO E XESTION INTEGRAL DE EMPRESAS, S","Mejorar la empleabilidad de las personas desempleadas","53,12"
"IMAJISA HOSTELERIA DE LEON, SL","Mejorar la empleabilidad de las personas desempleadas","1345,77"
"IMAJOL CONSULTING, SL","Mejorar la empleabilidad de las personas desempleadas",100
"IMAK ADVOCATS SL","Mejorar la empleabilidad de las personas desempleadas","341,69"
"IMAK G.M. SL","Mejorar la empleabilidad de las personas desempleadas","1345,77"
"IMALLINAMEDIOS, COM.B.","Mejorar la empleabilidad de las personas desempleadas","129,6"
"IMAM PROYECTOS E INSTALACIONES, SL","Mejorar la empleabilidad de las personas desempleadas","70,83"
"IMAN CORPORATION S.A.","Mejorar la empleabilidad de las personas desempleadas","715,53"
"IMAN PELUQUEROS SL","Mejorar la empleabilidad de las personas desempleadas","433,33"
"IMAN TEMPORING E.T.T. S.L.","Mejorar la empleabilidad de las personas desempleadas","3577,6"
"IMANES Y DESARROLLOS MAGNETICOS SL","Mejorar la empleabilidad de las personas desempleadas","417,86"
"IMANOL GASTON MARTIN-MIREN GASTON MARTIN","Mejorar la empleabilidad de las personas desempleadas","748,42"
"IMANOL HOSTELERIA Y ASADORES SL EN CONSTITUCION","Mejorar la empleabilidad de las personas desempleadas","241,56"
"IMANSER MANTENIMIENTO INTEGRAL, SL","Mejorar la empleabilidad de las personas desempleadas",1900
"IMAR ARQUITECTOS SL","Mejorar la empleabilidad de las personas desempleadas","849,92"
"IMAR BODY S.L.","Mejorar la empleabilidad de las personas desempleadas","141,66"
"IMAR DIGITAL CENTRO DE PRODUCCION INTEGRAL S.L.","Mejorar la empleabilidad de las personas desempleadas",900
"IMARA ASOC CIVIL","Mejorar la empleabilidad de las personas desempleadas",1900
