"BENEFICIARIO","TIPO DE OPERACION","GASTO PUBLICO"
"SAINT-GOBAIN MONTBLANC, SA","Mejorar la empleabilidad de las personas desempleadas","813,35"
"SAINT-GOBAIN PLACO IBERICA, S.A.","Mejorar la empleabilidad de las personas desempleadas","21.305,32"
"SAINZ & GIL SL","Mejorar la empleabilidad de las personas desempleadas","594,96"
"SAINZ ASESORES SL","Mejorar la empleabilidad de las personas desempleadas","70,83"
"SAINZ CONSULTORIA DE GESTION SL","Mejorar la empleabilidad de las personas desempleadas","6.470,10"
"SAINZ DE VICUNA CONSULTORES SL","Mejorar la empleabilidad de las personas desempleadas","1.345,74"
"SAINZ E HIJOS LOGISTICA SL","Mejorar la empleabilidad de las personas desempleadas","1.880,55"
"SAINZ EDUCADORES, S.L.","Mejorar la empleabilidad de las personas desempleadas","1.696,43"
"SAINZ EXPRESS, S.L.","Mejorar la empleabilidad de las personas desempleadas","1.023,33"
"SAINZ Y SOLANO SL","Mejorar la empleabilidad de las personas desempleadas","1.682,20"
"SAINZA PELUQUERIA, SL","Mejorar la empleabilidad de las personas desempleadas","269,13"
"SAIPER ASESORES SL","Mejorar la empleabilidad de las personas desempleadas","169,95"
"SAIREM IBERICA SL","Mejorar la empleabilidad de las personas desempleadas","600,00"
"SAITEC SA","Mejorar la empleabilidad de las personas desempleadas","2.862,93"
"SAITEF MADRID, SL","Mejorar la empleabilidad de las personas desempleadas","2.009,40"
"SAITRA COCINAS SL","Mejorar la empleabilidad de las personas desempleadas","650,00"
"SAITT SA","Mejorar la empleabilidad de las personas desempleadas","991,62"
"SAITZU SLL","Mejorar la empleabilidad de las personas desempleadas","241,77"
"SAIUL, SL","Mejorar la empleabilidad de las personas desempleadas","1.050,64"
"SAIVEX SA","Mejorar la empleabilidad de las personas desempleadas","280,96"
"SAIZ DE LA HOYA ZAMACOLA MIGUEL-000364556B SL N E","Mejorar la empleabilidad de las personas desempleadas","483,39"
"SAIZ GARRIDO SL","Mejorar la empleabilidad de las personas desempleadas","338,30"
"SAIZ LOPEZ CB","Mejorar la empleabilidad de las personas desempleadas","637,44"
"SAIZ SCHNEIDER,MIGUEL 002043868Z S.L.N.E.","Mejorar la empleabilidad de las personas desempleadas","687,50"
"SAIZ Y SECO, S.L.","Mejorar la empleabilidad de las personas desempleadas","515,55"
"SAIZ Y SUAREZ SERVICIOS HOSTELEROS, S.L.","Mejorar la empleabilidad de las personas desempleadas","153,46"
"SAIZ-SORIANO ABOGADOS SL","Mejorar la empleabilidad de las personas desempleadas","931,36"
"SAJA INDYNA. S.A.","Promocion del espiritu empresarial y de la adaptabilidad de las empresas y Refuerzo del nivel de competencia","41.701,21"
"SAJA-INDYNA. S.A.","Promocion del espiritu empresarial y de la adaptabilidad de las empresas y Refuerzo del nivel de competencia","6.533,35"
"SAJERBAF PROMOCIONES SL","Mejorar la empleabilidad de las personas desempleadas","1.302,59"
"SAJES 2006, S.L","Mejorar la empleabilidad de las personas desempleadas","1.215,78"
"SAJESA ANCIONES SL","Mejorar la empleabilidad de las personas desempleadas","2.315,47"
"SAJI AIRE ACONDICIONADO,SL","Mejorar la empleabilidad de las personas desempleadas","4.348,71"
"SAJLILA FUNDLANI, SL","Mejorar la empleabilidad de las personas desempleadas","188,90"
"SAJOCAS SL","Mejorar la empleabilidad de las personas desempleadas","2.133,42"
"SAJOCIR, S.L.","Mejorar la empleabilidad de las personas desempleadas","637,47"
"SAJON CAL MISSATGERS, SL","Mejorar la empleabilidad de las personas desempleadas","455,66"
"SAJONIA SL","Mejorar la empleabilidad de las personas desempleadas","1.262,74"
"SAJOPLAC,S.L.","Mejorar la empleabilidad de las personas desempleadas","195,43"
"SAJORIA, COM.B.","Mejorar la empleabilidad de las personas desempleadas","169,93"
"SAJUPENA,S.L.","Mejorar la empleabilidad de las personas desempleadas","106,22"
"SAF SEIS, S.L.","Mejorar la empleabilidad de las personas desempleadas","189,47"
"SAFA BASERRIA SL","Mejorar la empleabilidad de las personas desempleadas","1.275,00"
"SAFANA CATERING,S.L.","Mejorar la empleabilidad de las personas desempleadas","1.776,29"
"SAFAROMICES, S.L.","Mejorar la empleabilidad de las personas desempleadas","355,77"
"SAFATA MOTOS SL","Mejorar la empleabilidad de las personas desempleadas","212,49"
"SAFATA SEED IBERICA SL (UNIPERSONAL)","Mejorar la empleabilidad de las personas desempleadas","2.070,63"
"SAFCES & RAMOS, S.L.","Mejorar la empleabilidad de las personas desempleadas","344,71"
"SAFHRANI BRILLANT SL","Mejorar la empleabilidad de las personas desempleadas","217,21"
"SAFIRA MOLE S.L","Mejorar la empleabilidad de las personas desempleadas","290,76"
"SAFISTES,S.L.","Mejorar la empleabilidad de las personas desempleadas","3.094,58"
