BENEFICIARIO,TIPO DE OPERACION,GASTO PUBLICO
TASA DE PROMOTORES INMOBILIARIOS SA,Mejorar la empleabilidad de las personas desempleadas,"1,220.00"
"TASA IMA DOJO, S.L.",Mejorar la empleabilidad de las personas desempleadas,384.83
TASA SA,Mejorar la empleabilidad de las personas desempleadas,"1,294.80"
"TASACION TECNICA PERICIAL, SL",Mejorar la empleabilidad de las personas desempleadas,849.96
TASACION Y OBRAS SL,Mejorar la empleabilidad de las personas desempleadas,"1,700.00"
TASACIONES GUERRERO Y ASOC. SL,Mejorar la empleabilidad de las personas desempleadas,"1,493.24"
TASACIONES HIPOTECARIAS SA,Mejorar la empleabilidad de las personas desempleadas,967.99
TASACIONES Y CONSULTORIA SA,Mejorar la empleabilidad de las personas desempleadas,623.28
TASACIONES Y PERTACIONES JOSE MIGUEL E IGNACIO RODRIGUE,Mejorar la empleabilidad de las personas desempleadas,531.20
"TASACIONES Y VALORACIONES NAUTICAS, SL",Mejorar la empleabilidad de las personas desempleadas,717.50
TASAFUER SL,Mejorar la empleabilidad de las personas desempleadas,"1,088.42"
"TASAGLOBAL JS, S.L.",Mejorar la empleabilidad de las personas desempleadas,264.39
TASAI SA,Mejorar la empleabilidad de las personas desempleadas,483.98
"TASALUC, SL",Mejorar la empleabilidad de las personas desempleadas,"1,080.92"
TASCA EL PALEN SL,Mejorar la empleabilidad de las personas desempleadas,563.77
TASCA MALENA SL,Mejorar la empleabilidad de las personas desempleadas,385.39
TASCA MORAIRA SL,Mejorar la empleabilidad de las personas desempleadas,"1,906.26"
"TASCA QUIJOTE, SL",Mejorar la empleabilidad de las personas desempleadas,"1,238.56"
TASCA Y VINOS SL,Mejorar la empleabilidad de las personas desempleadas,"4,768.43"
"TASCON FRANQUICIAS, SL",Mejorar la empleabilidad de las personas desempleadas,"5,627.63"
"TASCON Y WANG, SL",Mejorar la empleabilidad de las personas desempleadas,443.19
TASEFY SL,Mejorar la empleabilidad de las personas desempleadas,"1,133.25"
TASELEC SA,Mejorar la empleabilidad de las personas desempleadas,"1,866.36"
"TASEMA CONSTRUCCION Y DECORACION, S.L.",Mejorar la empleabilidad de las personas desempleadas,"1,879.92"
TASFOR PROYECTA SL,Mejorar la empleabilidad de las personas desempleadas,926.15
"TASHI DELEY, S.L.",Mejorar la empleabilidad de las personas desempleadas,561.57
TASIAS SA,Mejorar la empleabilidad de las personas desempleadas,"1,784.34"
"TASICO PLANT, SL",Mejorar la empleabilidad de las personas desempleadas,"1,175.56"
TASIO ORFEBRE SA,Mejorar la empleabilidad de las personas desempleadas,659.94
"TASK MORAZA,S.L.",Mejorar la empleabilidad de las personas desempleadas,529.97
TASKA MIL SL,Mejorar la empleabilidad de las personas desempleadas,"1,274.96"
TASMANET SL,Mejorar la empleabilidad de las personas desempleadas,"1,612.45"
TASMAR LOGISTICA S.A.,Mejorar la empleabilidad de las personas desempleadas,"1,794.24"
TASO GESTION SL,Mejorar la empleabilidad de las personas desempleadas,"1,048.27"
"TASOVIL, SL",Mejorar la empleabilidad de las personas desempleadas,391.07
"TASS TELECOM, SL",Mejorar la empleabilidad de las personas desempleadas,130.87
"TASSO 2000, SL",Mejorar la empleabilidad de las personas desempleadas,324.33
"TASTALLETRES, SCP",Mejorar la empleabilidad de las personas desempleadas,160.75
"TASTE INDIA, S.L.",Mejorar la empleabilidad de las personas desempleadas,673.26
TASTE OF AMERICA SL,Mejorar la empleabilidad de las personas desempleadas,"3,586.81"
TASTONO SL,Mejorar la empleabilidad de las personas desempleadas,235.05
"TASVALOR MEDIO AMBIENTE, SL (EN CONSTITUCION)",Mejorar la empleabilidad de las personas desempleadas,847.60
