Beneficiary,Project description,Gasto publico
E-ONE LORENTE SA,Mejorar la empleabilidad de las personas desempleadas,"1,006.57"
EON INGENIEROS SL,Mejorar la empleabilidad de las personas desempleadas,"1,559.94"
EOLO SISTEMAS S.L.,Mejorar la empleabilidad de las personas desempleadas,629.97
EOLO GALICIA SL,Mejorar la empleabilidad de las personas desempleadas,96.81
"EOLICO VALDEPRAO, S.L.",Mejorar la empleabilidad de las personas desempleadas,277.39
"EOLICIA, S.L.",Mejorar la empleabilidad de las personas desempleadas,"1,089.91"
"EOLIA GESTION, SL",Mejorar la empleabilidad de las personas desempleadas,531.64
"EOILYCEN, S.L. UNIP",Mejorar la empleabilidad de las personas desempleadas,723.21
EOG CONTA MADRID S.L.,Mejorar la empleabilidad de las personas desempleadas,"1,466.66"
EOC DE OBRAS Y SERVICIOS SA,Mejorar la empleabilidad de las personas desempleadas,"1,751.94"
EO SOLUCIONES INFORMATICAS SL,Mejorar la empleabilidad de las personas desempleadas,"1,655.50"
"EO LECHE TARAMUNDI, S.L.",Mejorar la empleabilidad de las personas desempleadas,278.59
"ENZO SPORT, S.L.",Mejorar la empleabilidad de las personas desempleadas,"3,089.90"
ENZO FABRICCE SLL,Mejorar la empleabilidad de las personas desempleadas,132.15
"ENZIME, SL",Mejorar la empleabilidad de las personas desempleadas,"1,552.95"
"ENZIBRE, SL",Mejorar la empleabilidad de las personas desempleadas,689.41
"ENZA SOLUCIONES Y SERVICIOS, S.L.",Mejorar la empleabilidad de las personas desempleadas,679.92
ENYMA SL,Mejorar la empleabilidad de las personas desempleadas,"3,455.35"
"ENYIRIS, SL",Mejorar la empleabilidad de las personas desempleadas,733.37
ENYESADOS Y REBOCOS EL PORTUGUES SL,Mejorar la empleabilidad de las personas desempleadas,"1,443.23"
"ENYESADOS SANCHEZ, SL",Mejorar la empleabilidad de las personas desempleadas,508.83
"ENYESADOS SAC, S.L.",Mejorar la empleabilidad de las personas desempleadas,"5,367.07"
"ENYESADOS LIROLA, CB",Mejorar la empleabilidad de las personas desempleadas,"1,649.85"
"ENYESADOS LEMAC,S.L.",Mejorar la empleabilidad de las personas desempleadas,"1,039.96"
"ENYESADOS LA SERRETA,S.L.",Mejorar la empleabilidad de las personas desempleadas,"1,459.94"
ENYESADOS JUAN JOSE MARTINEZ SL,Mejorar la empleabilidad de las personas desempleadas,"1,890.00"
ENYEFERNANDEZ S L,Mejorar la empleabilidad de las personas desempleadas,58.75
"ENYA-RUMO, S.L.",Mejorar la empleabilidad de las personas desempleadas,412.46
"ENYAGAL, SL",Mejorar la empleabilidad de las personas desempleadas,"1,749.48"
ENXENIO SL,Mejorar la empleabilidad de las personas desempleadas,"1,233.67"
ENXENIA SL,Mejorar la empleabilidad de las personas desempleadas,368.31
"ENXENEIROS E ARQUITECTOS CONSULTORES IDOM, SA, UNIPERSO",Mejorar la empleabilidad de las personas desempleadas,"3,920.32"
ENVOYER SL,Mejorar la empleabilidad de las personas desempleadas,"12,745.77"
ENVOLTORIOS STOCK SL,Mejorar la empleabilidad de las personas desempleadas,"2,741.63"
"ENVOLTORIOS DECORATIVOS, SL",Mejorar la empleabilidad de las personas desempleadas,855.00
"ENVOL-GRAPHIC, SL",Mejorar la empleabilidad de las personas desempleadas,271.05
ENVIVAL SL,Mejorar la empleabilidad de las personas desempleadas,"1,266.73"
"ENVISOL,S.L.L",Mejorar la empleabilidad de las personas desempleadas,478.08
ENVISION TECHNOLOGIES SL,Mejorar la empleabilidad de las personas desempleadas,146.59
ENVISION NEW MEDIA SL,Mejorar la empleabilidad de las personas desempleadas,197.72
"ENVIROTECNICA, SL",Mejorar la empleabilidad de las personas desempleadas,959.28
ENVIRONMETAL QUALITY SSS,Mejorar la empleabilidad de las personas desempleadas,"2,173.26"
ENVIRONMENTAL RESOURCES MANAGEMENT IBERIA SA,Mejorar la empleabilidad de las personas desempleadas,"6,117.05"
"ENVIRON IBERIA, S.L.",Mejorar la empleabilidad de las personas desempleadas,125.11
"ENVIROCOMPOSTING COVER, S.L.",Mejorar la empleabilidad de las personas desempleadas,388.36
ENVIPAQUET SL,Mejorar la empleabilidad de las personas desempleadas,"1,222.26"
"ENVIOS Y SERVICIOS IRIS, SL",Mejorar la empleabilidad de las personas desempleadas,"1,199.90"
"ENVIOS Y REPARTOS LA GALAICA, S.L.L.",Mejorar la empleabilidad de las personas desempleadas,"3,789.91"
ENVIOS Y EXPEDICIONES DE LOGISTICA Y DESARROLLO SL,Mejorar la empleabilidad de las personas desempleadas,705.91
"ENVIOS Y DISTRIBUCIONES ARABA, SL",Mejorar la empleabilidad de las personas desempleadas,"3,088.16"
"ENVIOS Y DISENO NOVELDA, S.L.",Mejorar la empleabilidad de las personas desempleadas,444.42
ENVIOS Y ALGO MAS SL,Mejorar la empleabilidad de las personas desempleadas,727.17
ENVIOS MENSAJERIA EXTREMADURA S.L.,Mejorar la empleabilidad de las personas desempleadas,283.32
"ENVIOS MELGAREJO, SL",Mejorar la empleabilidad de las personas desempleadas,"1,279.10"
ENVIO EXPRESS SL,Mejorar la empleabilidad de las personas desempleadas,940.80
"ENVINYATAR, SL",Mejorar la empleabilidad de las personas desempleadas,335.50
"ENVIAME, S.L.N.E",Mejorar la empleabilidad de las personas desempleadas,233.74
ENVIALIA ASUA SL,Mejorar la empleabilidad de las personas desempleadas,37.76
"ENVIACART LOGISTICA, S.L.",Mejorar la empleabilidad de las personas desempleadas,800.34
ENVIA TELECOMUNICACIONES SA,Mejorar la empleabilidad de las personas desempleadas,"1,348.10"
ENVERNISSATS PERE RICARTE SL,Mejorar la empleabilidad de las personas desempleadas,"1,543.88"
"ENVERNISSATS JOAN FIGULS, S.R.L.",Mejorar la empleabilidad de las personas desempleadas,606.69
ENVERNISSATS COMENGE SL,Mejorar la empleabilidad de las personas desempleadas,165.28
"ENVERDE ALIMENTACION, S.L.",Mejorar la empleabilidad de las personas desempleadas,"2,284.20"
"ENVELOP PLASTIC, S.L.U.",Mejorar la empleabilidad de las personas desempleadas,"1,514.99"
ENVEL EUROPA SA,Mejorar la empleabilidad de las personas desempleadas,"1,343.29"
"ENVATEL, SL",Mejorar la empleabilidad de las personas desempleadas,"2,334.41"
"ENVASTRONIC, SL",Mejorar la empleabilidad de las personas desempleadas,533.36
ENVASHARO SL,Mejorar la empleabilidad de las personas desempleadas,193.34
ENVASES Y EMBALAJES MUGO SL                     ,Mejorar la empleabilidad de las personas desempleadas,"3,068.97"
ENVASES VASCONGADOS SA                       ,Mejorar la empleabilidad de las personas desempleadas,"1,863.32"
ENVASES VALERO SA                                      ,Mejorar la empleabilidad de las personas desempleadas,188.90
ENVASES TORREGROSA SL                            ,Mejorar la empleabilidad de las personas desempleadas,689.91
ENVASES TOMAS SL                                        ,Mejorar la empleabilidad de las personas desempleadas,213.22
ENVASES TENDERO SL                                    ,Mejorar la empleabilidad de las personas desempleadas,769.40
ENVASES SANZ BELDA S.L.                               ,Mejorar la empleabilidad de las personas desempleadas,136.63
ENVASES RIBARROJA SL                                  ,Mejorar la empleabilidad de las personas desempleadas,219.98
ENVASES PLASTICOS DEL TER SA                  ,Mejorar la empleabilidad de las personas desempleadas,"3,245.77"
"ENVASES PLASTICOS ALIMENTICIOS, SL           ",Mejorar la empleabilidad de las personas desempleadas,359.94
ENVASES PESQUEROS SL                                ,Mejorar la empleabilidad de las personas desempleadas,316.55
ENVASES PARTON SL                                      ,Mejorar la empleabilidad de las personas desempleadas,"2,031.64"
ENVASES NAVALON SL                                     ,Mejorar la empleabilidad de las personas desempleadas,333.30
ENVASES MUNOZ SL                                        ,Mejorar la empleabilidad de las personas desempleadas,137.71
ENVASES METALICOS SAN FRUTOS SL             ,Mejorar la empleabilidad de las personas desempleadas,"1,367.55"
"ENVASES METALICOS ICARIA, SA                   ",Mejorar la empleabilidad de las personas desempleadas,"1,836.43"
ENVASES METALICOS DEL SURESTE SL            ,Mejorar la empleabilidad de las personas desempleadas,626.54
ENVASES METALICOS BROQUETAS BERBES         SA,Mejorar la empleabilidad de las personas desempleadas,"4,598.25"
ENVASES MARRETO SLU                                  ,Mejorar la empleabilidad de las personas desempleadas,63.27
"ENVASES LLAMAS, S.L.                                     ",Mejorar la empleabilidad de las personas desempleadas,"5,556.51"
ENVASES LITOGRAFICOS SL                          ,Mejorar la empleabilidad de las personas desempleadas,"1,024.95"
ENVASES INDUSTRIALES CARTTO SL                 ,Mejorar la empleabilidad de las personas desempleadas,"1,139.91"
ENVASES HIJOS DE CASTELLO SL                  ,Mejorar la empleabilidad de las personas desempleadas,528.85
ENVASES GIRONA SL                                       ,Mejorar la empleabilidad de las personas desempleadas,"1,793.24"
ENVASES GARRIDO ALMODOVAR SL               ,Mejorar la empleabilidad de las personas desempleadas,499.90
ENVASES FRUYVER SL                                     ,Mejorar la empleabilidad de las personas desempleadas,"2,412.84"
ENVASES FLEXIBLES DEL SUR SLL                 ,Mejorar la empleabilidad de las personas desempleadas,"1,009.28"
ENVASES ESCRICHE SL                                    ,Mejorar la empleabilidad de las personas desempleadas,"1,556.51"
"ENVASES DEL VALLES, SA                                ",Mejorar la empleabilidad de las personas desempleadas,"4,323.24"
ENVASES DEL DELTA 2006 SL                            ,Mejorar la empleabilidad de las personas desempleadas,"7,615.76"
"ENVASES DE PLASTICOS VARGAS, SL              ",Mejorar la empleabilidad de las personas desempleadas,97.68
"ENVASES DE EUSKADI, SL                                ",Mejorar la empleabilidad de las personas desempleadas,252.58
ENVASES CUI SL                                             ,Mejorar la empleabilidad de las personas desempleadas,"1,293.24"
"ENVASES CORREDOIRA,S.L.                              ",Mejorar la empleabilidad de las personas desempleadas,123.21
ENVASES BENIAJAN SL                                    ,Mejorar la empleabilidad de las personas desempleadas,439.14
ENVASE GRAFICO INDUSTRIAL SA                     ,Mejorar la empleabilidad de las personas desempleadas,"2,827.31"
"ENVASE FITOSANITARIOS Y MADERAS, S.L.         ",Mejorar la empleabilidad de las personas desempleadas,197.72
"ENVASATS JATO,S.L.                                        ",Mejorar la empleabilidad de las personas desempleadas,5.31
ENVASATS CARNICS GIRONA SL                    ,Mejorar la empleabilidad de las personas desempleadas,257.33
"ENVASADOS Y MANIPULADOS OMNI PCG, SL      ",Mejorar la empleabilidad de las personas desempleadas,"1,469.93"
ENVASADOS SKINTER SL                                ,Mejorar la empleabilidad de las personas desempleadas,420.00
ENVASADOS SEGOVIA SL                                 ,Mejorar la empleabilidad de las personas desempleadas,236.57
"ENVASADOS ESPECIALES VALDEMORO, S.L.        ",Mejorar la empleabilidad de las personas desempleadas,93.24
"ENVASADORAS EGARVAC, SL                        ",Mejorar la empleabilidad de las personas desempleadas,"3,339.20"
ENVASADO BOLSKAN-CORREAS SL                 ,Mejorar la empleabilidad de las personas desempleadas,"1,206.73"
ENVAPLASTER SA                                           ,Mejorar la empleabilidad de las personas desempleadas,"1,093.24"
ENVAPACK SL                                                 ,Mejorar la empleabilidad de las personas desempleadas,"5,117.50"
ENVALISUR SL LABORAL                                  ,Mejorar la empleabilidad de las personas desempleadas,"1,133.39"
ENVALIMENT MEDITERRANEA SL                       ,Mejorar la empleabilidad de las personas desempleadas,"1,223.31"
"ENVALIA GROUP, SLL-EN CONST-                   ",Mejorar la empleabilidad de las personas desempleadas,"1,242.24"
ENVAL SA                                                      ,Mejorar la empleabilidad de las personas desempleadas,"1,266.56"
ENVAJARA SA                                                 ,Mejorar la empleabilidad de las personas desempleadas,540.32
ENVAC IBERIA SA                                            ,Mejorar la empleabilidad de las personas desempleadas,"6,038.37"
"ENUSA, COM. B.                                              ",Mejorar la empleabilidad de las personas desempleadas,"1,266.67"
ENUR COURIER SA                                          ,Mejorar la empleabilidad de las personas desempleadas,"5,783.20"
"ENUNAI PRODUCCIONS,S.L.                              ",Mejorar la empleabilidad de las personas desempleadas,455.01
ENTXUDI SL                                                    ,Mejorar la empleabilidad de las personas desempleadas,238.42
