nombre_beneficiario,nombre_operacion,montante_concedido,t_montante_concedido,montante_pagado_final_operacion,t_montante_pagado_final_operacion,ano_de_la_concesion_ano_del_pago,uri
DIRECCION GENERAL DE CARRETERAS (M.FOMENTO),Construcción y equipamiento de Centro de Control de Túneles. instalación de fibra óptica y otras obras complementarias.,"11.238.954,22",11238954.22,"9.347.467,78",9347467.78,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283620%29AN26.pdf
DIRECCION GENERAL DE CARRETERAS (M.FOMENTO),"Autovía del Mediterráneo, A-7 y Autovía GR-14. Tramo: Guadalfeo-La Gorgoracha y acceso Oeste al Puerto de Motril","41.987.863,52",41987863.52,"41.987.863,52",41987863.52,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283620%29AN26.pdf
DIRECCION GENERAL DE CARRETERAS (M.FOMENTO),Autovía del Mediterráneo. A-7. Tramo: Lobres-Guadalfeo,"18.916.637,23",18916637.23,"6.367.779,94",6367779.94,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283620%29AN26.pdf
DIRECCION GENERAL DE CARRETERAS (M.FOMENTO),Autovía de Málaga (A-45). Tramo: Benameji(Sur)-Antequera (A-92),"28.109.559,29",28109559.29,"28.109.559,29",28109559.29,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283620%29AN26.pdf
DIRECCION GENERAL DE CARRETERAS (M.FOMENTO),Autovía de Málaga (A-45). Tramo: Encinas Reales (S)-Benamejí(S),"36.684.301,42",36684301.42,"0,00",0.00,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283620%29AN26.pdf
DIRECCION GENERAL DE CARRETERAS (M.FOMENTO),Autovía A-44 de Sierra Nevada. Variante exterior de Granada. Tramo: Calicasas (enlace con la A-44)-Albolote (enlace con la A-92),"37.273.052,64",37273052.64,"6.075.798,31",6075798.31,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283620%29AN26.pdf
DIRECCION GENERAL DE CARRETERAS (M.FOMENTO),Enlace de la A-45 con la N-331. p.k. 99.724 y accesos a área de servicio.,"4.320.743,94",4320743.94,"1.753.205,03",1753205.03,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283620%29AN26.pdf
DIRECCION GENERAL DE CARRETERAS (M.FOMENTO),Prolongación de la ampliación a tercer carril en la ronda este de Málaga. Autovía A-7 del Mediterráneo. P.K. 243.5 al 246.60,"10.572.669,53",10572669.53,"1.802.503,98",1802503.98,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283620%29AN26.pdf
DIRECCION GENERAL DE CARRETERAS (M.FOMENTO),Autovía del Mediterráneo (A-7). Tramo: Motril (El Puntalón)-Carchuna,"44.720.474,67",44720474.67,"0,00",0.00,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283620%29AN26.pdf
DIRECCION GENERAL DE CARRETERAS (M.FOMENTO),Acceso al Puerto de Málaga 2ª Fase. MA-22. Tramo: MA-21 a Central Térmica.,"21.451.211,36",21451211.36,"11.601.167,86",11601167.86,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283620%29AN26.pdf
DIRECCION GENERAL DE CARRETERAS (M.FOMENTO),Acceso sur al Aeropuerto de Málaga,"35.765.020,90",35765020.90,"2.024.942,85",2024942.85,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283620%29AN26.pdf
DIRECCIÓN GENERAL DEL AGUA (MARM),TOMA EN EL EMBALSE DEL ANDÉVALO T. M. PUEBLA DE GUZMÁN (HUELVA),"15.435.563,66",15435563.66,"0,00",0.00,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283620%29AN26.pdf
DIRECCIÓN GENERAL DEL AGUA (MARM),"EDAR, COLECTORES INTERCEPTORES, ESTACIONES DE BOMBEO Y EMISARIO SUBMARINO DE TORROX Y COLECT. INTERCEPT. DE ALGARROBO. PLAN DE SANEAMIENTO INTEGRAL DE LA COSTA DEL SOL-AXARQUÍA. SECTOR TORROX-ALGARROB","14.795.334,58",14795334.58,"0,00",0.00,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283620%29AN26.pdf
D.G. de Sostenibilidad de la Costa y el Mar (MARM),ESTABILIZACIÓN DE LA PLAYA DE LA CALETA EN EL T.M. DE MÁLAGA,"5.959.299,00",5959299.00,"0,00",0.00,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283620%29AN26.pdf
D.G. de Sostenibilidad de la Costa y el Mar (MARM),OBRA DE REGENERACIÓN DEL SISTEMA DUNAR EN PLAYAS DE ROTA. T.M. DE ROTA (CÁDIZ),"1.525.610,00",1525610.00,"0,00",0.00,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283620%29AN26.pdf
D.G. de Sostenibilidad de la Costa y el Mar (MARM),ACTUACIONES PARA LA RESTITUCIÓN MEDIOAMBIENTAL DEL LITORAL DE CÁDIZ. FASE II. CAMPO DE GIBRALTAR (VARIOS TT.MM.)(PROVINCIA DE CÁDIZ),"1.483.721,00",1483721.00,"0,00",0.00,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283620%29AN26.pdf
D.G. de Sostenibilidad de la Costa y el Mar (MARM),"OBRA DE RECUPERACIÓN AMBIENTAL DE LA ZONA DESAFECTADA DEL MINISTERIO DE DEFENSA, PARAJE DE PUNTA CANDOR, EN EL T.M. DE ROTA (CÁDIZ)","975.345,00",975345.00,"0,00",0.00,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283620%29AN26.pdf
D.G. de Sostenibilidad de la Costa y el Mar (MARM),Defensa de la playa de Velilla y addenda de modificación del paseo marítimo en el T.M. de Almuñecar (Provincia de Granada),"1.257.070,56",1257070.56,"0,00",0.00,2010,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283620%29AN26.pdf
D.G. de Sostenibilidad de la Costa y el Mar (MARM),Reordenación del paseo marítimo de la mamola y remodelación de su sistema de defensas en el T.M. de Polopos en la provincia de Granada.,"2.396.235,00",2396235.00,"0,00",0.00,2010,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283620%29AN26.pdf
D.G. de Sostenibilidad de la Costa y el Mar (MARM),"Accesibilidad en las playas de la provincia de Almería , 4ª Fase (TT.MM. de Adra, Berja, El Ejido, Roquetas de Mar, Almería, Carboneras, Mojácar, Garrucha, Vera, Cuevas de Almanzora y Pulpí)¿ (Almeria","1.724.890,00",1724890.00,"0,00",0.00,2010,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283620%29AN26.pdf
D.G. de Sostenibilidad de la Costa y el Mar (MARM),"Restauración del sistema dunar y accesos a la playa de isla Canela, zona de punta del Moral en el T.M. de Ayamonte, en la provincia de Huelva.","1.224.496,00",1224496.00,"0,00",0.00,2010,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283620%29AN26.pdf
D.G. de Sostenibilidad de la Costa y el Mar (MARM),"Protección y estabilización del cordón dunar correspondiente a la flecha de El Rompido, en el T.M. de Lepe, en la provincia de Huelva.","943.511,00",943511.00,"0,00",0.00,2010,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283620%29AN26.pdf
D.G. de Sostenibilidad de la Costa y el Mar (MARM),"Aportación artificial de arena a la playa de Mazagón, en el T.M. de Palos de la Frontera en la provincia de Huelva","3.094.970,00",3094970.00,"0,00",0.00,2010,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283620%29AN26.pdf
D.G. de Sostenibilidad de la Costa y el Mar (MARM),Mejora de accesibilidad a la playa de El Portil en el T.M. de Punta Umbría en la provincia de Huelva.,"488.786,00",488786.00,"0,00",0.00,2010,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283620%29AN26.pdf
