"BENEFICIARIO","TIPO DE OPERACION","GASTO PUBLICO"
"2H BORBON SL","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","3.000,00"
"A PIERNA SUELTA SL","Mejorar la empleabilidad de las personas desempleadas","3.000,00"
"A REINA SL","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","9.000,00"
"A&A LEGAL ADVICE AND ACCOUNTAN","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","1.500,00"
"A.F.ENFERM.ALZHEIMER ESTRELLA","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","2.497,50"
"A.F.J. ASESORES & CONSULTORES","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.750,00"
"A.G. MAYORISTA DE ELECTRODOMES","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","3.000,00"
"A.M. SYSTEM, S.L.","Mejorar la empleabilidad de las personas desempleadas","3.000,00"
"A.M. SYSTEM, S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","3.000,00"
"AB EKOLOGIC SL","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","3.000,00"
"ABAQUE HOTELERA,S.A.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","2.700,00"
"ABATRON,S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","3.000,00"
"ABBANTIA ABOGADOS SLL","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","3.000,00"
"ABC OBRAS ASCENSORES SL","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","6.000,00"
"ABEBAY HOGAR SL","Mejorar la empleabilidad de las personas desempleadas","1.800,00"
"ABINAMAR SL","Mejorar la empleabilidad de las personas desempleadas","3.000,00"
"ABLARURAL S COOP AND","Promoción del espíritu empresarial y de la adaptabilidad de las empresas y Refuerzo del 
nivel de competencia","599,20"
"ABONOS Y CEREALES AVILA SL","Mejorar la empleabilidad de las personas desempleadas","3.000,00"
"ABRASIVOS BARROSO GOMEZ, SL","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","3.000,00"
"ABRASIVOS JURACOR SL","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","9.000,00"
"ABREFACIL SL EN CONSTITUCION","Mejorar la empleabilidad de las personas desempleadas","3.000,00"
"ABRIL CB","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","1.500,00"
"ABRIL HERRERA SL","Mejorar la empleabilidad de las personas desempleadas","3.000,00"
"ABRIL NOVIAS SC","Mejorar la empleabilidad de las personas desempleadas","3.000,00"
