nombre_beneficiario,nombre_operacion,montante_concedido,t_montante_concedido,montante_pagado_final_operacion,t_montante_pagado_final_operacion,ano_de_la_concesion_ano_del_pago,uri
ENTIDAD PUBLICA EMPRESARIAL RED.ES (MITC),Otras medidas destinadas a fomentar la investigación e innovación y el espíritu empresarial en las PYME,"2.456.494,00",2456494.00,"53.845,48",53845.48,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3028)AR11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),CAMPAÑA DE COMUNICACIÓN EN REINO UNIDO - PHE,"10.180,54",10180.54,"10.180,54",10180.54,2007,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3028)AR11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),CAMPAÑA DE COMUNICACIÓN EN FRANCIA - PHE,"4.651,90",4651.90,"4.651,90",4651.90,2007,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3028)AR11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),CAMPAÑA PROMO PUBLIRREPORTAJE TECHNOLOGY REVIEW,"5.994,58",5994.58,"5.994,58",5994.58,2007,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3028)AR11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),CPSM JAMÓN SERRANO FRANCIA 2007 (PC),"4.572,23",4572.23,"4.572,23",4572.23,2007,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3028)AR11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),CPROM JAMÓN SERRANO ALEMANIA 2007(PU),"5.157,59",5157.59,"5.157,59",5157.59,2007,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3028)AR11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),EXP3-REINVENTANDO EL CALZADO-TOKIO-2007,"6.206,70",6206.70,"6.206,70",6206.70,2007,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3028)AR11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),ACEITUNA RUSIA 2007,"2.406,76",2406.76,"2.406,76",2406.76,2007,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3028)AR11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),PSEC1-CLEMENTINAS - EEUU. 2007/2008 - INTERCITRUS,"571,47",571.47,"571,47",571.47,2007,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3028)AR11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),OAP3 CAMPAÑA COMUNICACIÓN-JAPÓN,"5.070,54",5070.54,"5.070,54",5070.54,2007,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3028)AR11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),FPO1 PRODEXPO 2008 - MOSCU (PI),"917,30",917.30,"917,30",917.30,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3028)AR11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),PGV RU 2007-FERIA IMPORT. Y BUSQ.DISTR. 2008 (PC),"4.955,69",4955.69,"4.955,69",4955.69,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3028)AR11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),PROVISION Y GESTION DE CONTENIDOS,"4.465,23",4465.23,"4.465,23",4465.23,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3028)AR11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),FPINF3 - SPIELWARENMESSE 2008 - NUREMBERG,"254,29",254.29,"254,29",254.29,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3028)AR11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),FPO2 - COLLECTION PREMIERE MOSCOW I - 2008,"39.101,02",39101.02,"39.101,02",39101.02,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3028)AR11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),ACTIVIDADES COMUNICACIÓN REINO UNIDO - FAMO 2008,"252,19",252.19,"252,19",252.19,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3028)AR11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),PGV SUIZA 2008-PRESENTACIÓN DIA DEL VINO 2008 (PI),"1.121,41",1121.41,"1.121,41",1121.41,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3028)AR11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),FPINF(2) - ALA 2008,"248,84",248.84,"248,84",248.84,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3028)AR11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),FPINF(2) - BEA 2008,"1.409,37",1409.37,"1.409,37",1409.37,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3028)AR11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),FPINF (2) MIPCOM'08 - CANNES,"243,64",243.64,"243,64",243.64,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3028)AR11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),PGV2 JAPON 2008 - AGENCIA DE VINOS 2008 (PU),"594,57",594.57,"594,57",594.57,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3028)AR11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),PGA EEUU PROGRAMA SPANISH PANTRY 2008 (PI),"1.307,37",1307.37,"1.307,37",1307.37,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3028)AR11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),MEDPRO REVISTA FOODS FROM SPAIN NEWS 2008 (PI),"1.530,36",1530.36,"1.530,36",1530.36,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3028)AR11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),FPO3 - COLLECTION PREMIERE MOSCOW I - 2008,"3.928,92",3928.92,"3.928,92",3928.92,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3028)AR11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),OAP- VIAJE FERIA BREAD&BUTTER - ENERO 08 - TOKIO,"142,65",142.65,"142,65",142.65,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3028)AR11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),CPROM-PCOM RUSIA - CALZADO - 2008,"3.477,86",3477.86,"3.477,86",3477.86,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3028)AR11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),CPROM-PCOM ESTADOS UNIDOS - CALZADO - 2008,"6.453,26",6453.26,"6.453,26",6453.26,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3028)AR11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),FPO6 FOODEX 2008-TOKIO (PC),"249,91",249.91,"249,91",249.91,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3028)AR11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),FPINF (2) BERLINALE (EFM) 2008 - BERLÍN - ALEMANIA,"208,52",208.52,"208,52",208.52,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3028)AR11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),"FPINF 3 FRUIT LOGISTICA 2008, BERLÍN (PC)","1.613,85",1613.85,"1.613,85",1613.85,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3028)AR11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),MPROM-PORTAL SPAINEDU 08 EEUU,"671,74",671.74,"671,74",671.74,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3028)AR11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),FPINF-AIEA 08-ASSOCIATION OF INT. EDU.,"950,14",950.14,"950,14",950.14,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3028)AR11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),MPROM-COMPRA STAN MÓVIL Y MAT.PROM. 08,"345,68",345.68,"345,68",345.68,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3028)AR11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),SSPP-JORNADAS(5)I.CULTURALES 08,"629,42",629.42,"629,42",629.42,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3028)AR11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),SSPP-PROGRAMA ASESORAMIENTO Y MARKETING,"1.415,09",1415.09,"1.415,09",1415.09,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3028)AR11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),SSPP-APLICACIÓN PROG. ASESORAMIENTO Y MARKETING,"2.594,34",2594.34,"2.594,34",2594.34,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3028)AR11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),ELAB.DIRECT.EQUIP.INSTALAC.Y SERV.ELECTRONICA,"167,73",167.73,"167,73",167.73,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3028)AR11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),"FPO 2 PROWEIN 2008, Düsseldorf (PC)","782,87",782.87,"782,87",782.87,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3028)AR11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),CPSM ALEMANIA 2008 - AZULEJO - ASCER,"2.941,67",2941.67,"2.941,67",2941.67,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3028)AR11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),CAMPAÑA DE COMUNICACIÓN ALEMANIA - PHE 2008,"5.022,67",5022.67,"5.022,67",5022.67,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3028)AR11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),CAMPAÑA DE COMUNICACIÓN ITALIA - PHE 2008,"914,20",914.20,"914,20",914.20,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3028)AR11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),CAMPAÑA DE COMUNICACIÓN FRANCIA - PHE 2008,"4.895,73",4895.73,"4.895,73",4895.73,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3028)AR11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),CAMPAÑA DE COMUNICACIÓN RUSIA - PHE 2008,"2.901,57",2901.57,"2.901,57",2901.57,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3028)AR11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),CPSM FRANCIA 2008 - AZULEJO - ASCER,"1.132,81",1132.81,"1.132,81",1132.81,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3028)AR11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),CAMPAÑA DE COMUNICACIÓN JAPÓN - PHE 2008,"2.868,93",2868.93,"2.868,93",2868.93,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3028)AR11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),CAMPAÑA DE COMUNICACIÓN REINO UNIDO - PHE 2008,"8.896,22",8896.22,"8.896,22",8896.22,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3028)AR11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),CAMPAÑA DE COMUNICACIÓN EE.UU. - PHE 2008,"6.039,03",6039.03,"6.039,03",6039.03,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3028)AR11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),CPSM RUSIA 2008 - AZULEJO - ASCER,"1.840,63",1840.63,"1.840,63",1840.63,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3028)AR11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),CPSM ESTADOS UNIDOS 2008 - AZULEJO - ASCER,"6.821,86",6821.86,"6.821,86",6821.86,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3028)AR11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),TRADUCCION CONTENIDOS PORTAL MODA AL JAPONES 2008,"850,91",850.91,"850,91",850.91,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3028)AR11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),MIVP2 CONGRESO MADRID-FUSIÓN'2008 (PC),"611,81",611.81,"611,81",611.81,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3028)AR11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),PGV SUECIA 2008 - ACTIVIDADES GENERALES 2008 (PU),"598,20",598.20,"598,20",598.20,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3028)AR11.pdf
