BENEFICIARIO,TIPO DE OPERACIÓN,"GASTO
PÚBLICO"
FUNDACION SECRETARIADO GITANO,Fomento de la cooperación transnacional e interregional,"21.200,21"
FUNDACION SECRETARIADO GITANO,Fomento de la cooperación transnacional e interregional,"41.229,51"
FUNDACION SECRETARIADO GITANO,Fomento de la cooperación transnacional e interregional,"22.415,32"
FUNDACIÓN SECRETARIADO GITANO,Fomento de la cooperación transnacional e interregional,"13.328,41"
FUNDACIÓN SECRETARIADO GITANO,Fomento de la cooperación transnacional e interregional,"94.136,27"
FUNDACIÓN SECRETARIADO GITANO,Fomento de la cooperación transnacional e interregional,"10.533,09"
MINISTERIO DE TRABAJO E INMIGRACIÓN,Apoyo a la gestión de los programas operativos,"6.829.425,53"
MINISTERIO DE TRABAJO E INMIGRACIÓN,"Evaluación, estudios, información y comunicación","209.259,46"
MINISTERIO DE TRABAJO E INMIGRACIÓN,"Evaluación, estudios, información y comunicación","41.860,00"
MINISTERIO DE TRABAJO E INMIGRACIÓN,"Evaluación, estudios, información y comunicación","65.117,90"
MINISTERIO DE TRABAJO E INMIGRACIÓN,Fomento de la cooperación transnacional e interregional,"13.136,80"
MINISTERIO DE TRABAJO E INMIGRACIÓN,Fomento de la cooperación transnacional e interregional,"3.045,25"
