nombre_beneficiario,nombre_operacion,montante_concedido,t_montante_concedido,montante_pagado_final_operacion,t_montante_pagado_final_operacion,ano_de_la_concesion_ano_del_pago,uri
D.G. FERROCARRILES (M. FOMENTO),Supresión del paso a nivel de FEVE en el p.k. 32/612 (La Moral) de la línea Gijón-Laviana en Langreo (Asturias),"1.397.796,18",1397796.18,"1.172.130,01",1172130.01,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283622%29AS26.pdf
D.G. FERROCARRILES (M. FOMENTO),Línea Ferrol-Gijón. Tramo Avilés-Gijón. Conexión en by-pass con el ramal Aboño-Sotiello.,"7.123.106,38",7123106.38,"6.289.681,15",6289681.15,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283622%29AS26.pdf
D.G. FERROCARRILES (M. FOMENTO),Supresión de la barrera ferroviaria de Gijón.,"1.897.547,22",1897547.22,"0,00",0.00,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283622%29AS26.pdf
D.G. FERROCARRILES (M. FOMENTO),Túnel de penetración del ferrocarril en Gijón.Estación de Plaza de Europa v otras obras complementarias.,"215.024,91",215024.91,"0,00",0.00,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283622%29AS26.pdf
D.G. FERROCARRILES (M. FOMENTO),Supresión de paso a nivel en Asturias. Red FEVE. Paso Nº 0051. Oviedo-LLanes P.K. 325.311,"1.406.295,56",1406295.56,"1.391.762,76",1391762.76,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283622%29AS26.pdf
D.G. FERROCARRILES (M. FOMENTO),Línea Oviedo-Pravia-San Esteban. Tramo: Oviedo-San Pedro de Nora. Duplicación de vía. Fase I. Supresión de pasos a nivel,"4.425.545,74",4425545.74,"1.025.505,46",1025505.46,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283622%29AS26.pdf
D.G. FERROCARRILES (M. FOMENTO),Línea Ferrol-Bilbao. Tramo: Pola de Siero-Nava. Duplicación de vía. Fase I. Supresión de pasos a nivel,"6.420.403,36",6420403.36,"274.355,85",274355.85,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283622%29AS26.pdf
D.G. FERROCARRILES (M. FOMENTO),Mejora de las cercanías en Gijón.Prolongación del nuevo túnel hasta Cabueñes (Infraestructura).,"855.100,00",855100.00,"0,00",0.00,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283622%29AS26.pdf
D.G. FERROCARRILES (M. FOMENTO),Mejora de las cercanías en Gijón.Arquitectura de las Estaciones del nuevo túnel,"1.261.563,71",1261563.71,"0,00",0.00,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283622%29AS26.pdf
CONFEDERACION HIDROGRAFICA DEL CANTÁBRICO (MARM),Restauración medioambiental y recuperación de enclaves naturales del río Turón. T.M. de Mieres,"8.100.000,00",8100000.00,"7.521.675,57",7521675.57,2010,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283622%29AS26.pdf
CONFEDERACION HIDROGRAFICA DEL CANTÁBRICO (MARM),Restauración medioambiental y recuperación de enclaves naturales del río Nonaya en Salas. T.M. de Salas,"8.100.000,00",8100000.00,"7.399.173,74",7399173.74,2010,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283622%29AS26.pdf
CONFEDERACION HIDROGRAFICA DEL CANTÁBRICO (MARM),"Restauración medioambiental y recuperación de enclaves del río Cuna en el Pedroso. T,M. de Mieres","2.900.000,00",2900000.00,"95.303,21",95303.21,2010,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283622%29AS26.pdf
CONFEDERACION HIDROGRAFICA DEL CANTÁBRICO (MARM),Recuperación ambiental del río Aranguín a su paso por la localidad de Pravia. T.M. de Pravia,"2.200.000,00",2200000.00,"530.684,91",530684.91,2010,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283622%29AS26.pdf
"FERROCARRILES DE VÍA ESTRECHA (MF)""FEVE""",Nuevo telemando de energía de El Berrón,"489.991,11",489991.11,"421.689,71",421689.71,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283622%29AS26.pdf
"FERROCARRILES DE VÍA ESTRECHA (MF)""FEVE""",Modificación instalaciones de cables de energía del trayecto Gijón- Laviana,"409.658,92",409658.92,"409.658,92",409658.92,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283622%29AS26.pdf
"FERROCARRILES DE VÍA ESTRECHA (MF)""FEVE""",Instalación del enclavamiento electrónico de Veriña,"803.159,12",803159.12,"788.321,36",788321.36,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283622%29AS26.pdf
"FERROCARRILES DE VÍA ESTRECHA (MF)""FEVE""",Tratamiento y colocación de malla en taludes.PK 4/800-18/900 Pravia- Gijón,"122.172,64",122172.64,"122.172,64",122172.64,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283622%29AS26.pdf
"FERROCARRILES DE VÍA ESTRECHA (MF)""FEVE""","Tendido e instalación de cable de energía de 2,2 Kv y centros de transformación de enclavamientos de Veriña-Avilés","300.019,16",300019.16,"300.019,16",300019.16,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283622%29AS26.pdf
"FERROCARRILES DE VÍA ESTRECHA (MF)""FEVE""",Automatización de PN San Ranón II,"306.149,58",306149.58,"306.149,58",306149.58,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283622%29AS26.pdf
"FERROCARRILES DE VÍA ESTRECHA (MF)""FEVE""",Renovación de vía 2ª en estación de Santa María de Grado. Tramo Pravia-Trubia,"179.315,75",179315.75,"179.315,75",179315.75,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283622%29AS26.pdf
"FERROCARRILES DE VÍA ESTRECHA (MF)""FEVE""","Automatización de los PP.NN. de Parteayer Apeadero Nº 32, Los torneros Nº 8 y Levinco Apeadero Nº 39","917.385,10",917385.10,"917.385,10",917385.10,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283622%29AS26.pdf
"FERROCARRILES DE VÍA ESTRECHA (MF)""FEVE""",Ampliación y equipo nave depósito de Figaredo,"734.303,00",734303.00,"77.611,62",77611.62,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283622%29AS26.pdf
"FERROCARRILES DE VÍA ESTRECHA (MF)""FEVE""","Automatización de los PPNN de Vega, Nº 268, PK 367/346 y de Palacio Sevares Nº 303, PK 372/310. Ferrol-Bilbao","385.787,78",385787.78,"385.787,78",385787.78,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283622%29AS26.pdf
