nombre_beneficiario,nombre_operacion,montante_concedido,t_montante_concedido,montante_pagado_final_operacion,t_montante_pagado_final_operacion,ano_de_la_concesion_ano_del_pago,uri
Instituto Español de Comercio Exterior (ICEX) (MITC),FPINF (4)- ASIA TV FORUM'08 - SINGAPUR,"60,87",60.87,"60,87",60.87,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283625%29CN26.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),FPINF1-THE BIG 5´08-DUBAI,"81,09",81.09,"81,09",81.09,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283625%29CN26.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),MINV GRUPO CÁRNICOS FILIPINAS 2008 (PU),"40,74",40.74,"40,74",40.74,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283625%29CN26.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),INSERC.PUBLIC.MAISON FRANÇAISE DICIE. 2008-FRANCIA,"85,90",85.90,"85,90",85.90,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283625%29CN26.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),TRADUCCION DE CONTENIDOS AL INGLES,"47,95",47.95,"47,95",47.95,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283625%29CN26.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),MIVP1 MULTIS.ALIMENT.VINOS - BRASIL (PI),"36,46",36.46,"36,46",36.46,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283625%29CN26.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),FPINF - BEA 2009,"184,39",184.39,"184,39",184.39,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283625%29CN26.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),INSERC.PUBLICIT. INTERIOR DESIGN DICI.2008-EEUU,"79,62",79.62,"79,62",79.62,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283625%29CN26.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),MIVP1 CONGRESO MADRID-FUSIÓN'2009 (PI),"133,95",133.95,"133,95",133.95,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283625%29CN26.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),PROMOCIÓN PORTAL HABITAT: RUSIA,"139,59",139.59,"139,59",139.59,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283625%29CN26.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),"PUBLICIDAD BUSCADORES: U.K, EE.UU Y E.A.U.","98,31",98.31,"98,31",98.31,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283625%29CN26.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),FPINF - TIBF 2009,"77,40",77.40,"77,40",77.40,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283625%29CN26.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),PUBLICIDAD PORTAL FASHIONFROMSPAIN,"79,33",79.33,"79,33",79.33,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283625%29CN26.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),"FPINF2 - SPIELWARENMESSE 2009, NÜREMBERG","32,29",32.29,"32,29",32.29,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283625%29CN26.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),FPINF1-ISH´09 - FRANKFURT,"236,15",236.15,"236,15",236.15,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283625%29CN26.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),FPO1 FOODEX 2009 - TOKYO (PI),"3.059,97",3059.97,"3.059,97",3059.97,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283625%29CN26.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),CPSM. ACEITE DE OLIVA EEUU PUBLICIDAD 2008 (PC),"48,28",48.28,"48,28",48.28,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283625%29CN26.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),FPINF2-AIA 2009-SAN FRANCISCO-EE.UU.,"28,76",28.76,"28,76",28.76,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283625%29CN26.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),OAP MEGAVINO BRUSELAS 2008,"10,57",10.57,"10,57",10.57,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283625%29CN26.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),PGV EEUU 2008-SOUTH BEACH FESTIVAL,"36,16",36.16,"36,16",36.16,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283625%29CN26.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),CAMPAÑA DE COMUNICACIÓN REINO UNIDO (3)- PHE 2008,"75,66",75.66,"75,66",75.66,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283625%29CN26.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),PLAN CHINA 2008 - PUBLICIDAD HONG KONG,"141,62",141.62,"141,62",141.62,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283625%29CN26.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),SSPP(2)APLICACIÓN PROG. ASESORAMIENTO Y MARKETING,"67,92",67.92,"67,92",67.92,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283625%29CN26.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),PINF - Fª INT. LIBRO PEKIN - BIBF 2009,"197,00",197.00,"197,00",197.00,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283625%29CN26.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),MIVP4 CONGRESO MADRID-FUSIÓN'2009 (PC),"33,14",33.14,"33,14",33.14,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283625%29CN26.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),PORTAL HÁBITAT: TRADUCCIÓN CONTENIDOS,"46,89",46.89,"46,89",46.89,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283625%29CN26.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),MIVP1 REV.FOOD&WINE - PLAN CHINA-4 (PI),"31,67",31.67,"31,67",31.67,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283625%29CN26.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),CAMPAÑA DE COMUNICACIÓN EN REINO UNIDO - PHE,"1.408,27",1408.27,"1.408,27",1408.27,2007,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283625%29CN26.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),CAMPAÑA DE COMUNICACIÓN EN FRANCIA - PHE,"641,55",641.55,"641,55",641.55,2007,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283625%29CN26.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),CAMPAÑA PROMO PUBLIRREPORTAJE TECHNOLOGY REVIEW,"1.577,71",1577.71,"1.577,71",1577.71,2007,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283625%29CN26.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),CPSM JAMÓN SERRANO FRANCIA 2007 (PC),"67,13",67.13,"67,13",67.13,2007,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283625%29CN26.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),CPROM JAMÓN SERRANO ALEMANIA 2007(PU),"69,51",69.51,"69,51",69.51,2007,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283625%29CN26.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),EXP3-REINVENTANDO EL CALZADO-TOKIO-2007,"1.041,07",1041.07,"1.041,07",1041.07,2007,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283625%29CN26.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),ACEITUNA RUSIA 2007,"218,79",218.79,"218,79",218.79,2007,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283625%29CN26.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),OAP3 CAMPAÑA COMUNICACIÓN-JAPÓN,"1.809,44",1809.44,"1.809,44",1809.44,2007,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283625%29CN26.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),PGV RU 2007-FERIA IMPORT. Y BUSQ.DISTR. 2008 (PC),"87,17",87.17,"87,17",87.17,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283625%29CN26.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),PROVISION Y GESTION DE CONTENIDOS,"757,08",757.08,"757,08",757.08,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283625%29CN26.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),FPINF3 - SPIELWARENMESSE 2008 - NUREMBERG,"39,12",39.12,"39,12",39.12,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283625%29CN26.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),ACTIVIDADES COMUNICACIÓN REINO UNIDO - FAMO 2008,"48,04",48.04,"48,04",48.04,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283625%29CN26.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),FPINF(2) - ALA 2008,"62,94",62.94,"62,94",62.94,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283625%29CN26.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),FPINF(2) - BEA 2008,"356,47",356.47,"356,47",356.47,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283625%29CN26.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),FPINF (2) MIPCOM'08 - CANNES,"64,92",64.92,"64,92",64.92,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283625%29CN26.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),PGA EEUU PROGRAMA SPANISH PANTRY 2008 (PI),"622,56",622.56,"622,56",622.56,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283625%29CN26.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),MEDPRO REVISTA FOODS FROM SPAIN NEWS 2008 (PI),"728,74",728.74,"728,74",728.74,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283625%29CN26.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),OAP- VIAJE FERIA BREAD&BUTTER - ENERO 08 - TOKIO,"33,97",33.97,"33,97",33.97,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283625%29CN26.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),CPROM-PCOM RUSIA - CALZADO - 2008,"581,27",581.27,"581,27",581.27,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283625%29CN26.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),CPROM-PCOM ESTADOS UNIDOS - CALZADO - 2008,"1.077,71",1077.71,"1.077,71",1077.71,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283625%29CN26.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),FPINF (2) BERLINALE (EFM) 2008 - BERLÍN - ALEMANIA,"42,93",42.93,"42,93",42.93,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283625%29CN26.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),MPROM-PORTAL SPAINEDU 08 EEUU,"134,35",134.35,"134,35",134.35,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283625%29CN26.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),FPINF-AIEA 08-ASSOCIATION OF INT. EDU.,"187,10",187.10,"187,10",187.10,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283625%29CN26.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),MPROM-COMPRA STAN MÓVIL Y MAT.PROM. 08,"69,14",69.14,"69,14",69.14,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283625%29CN26.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),FPO (4) SITL PARÍS 2008,"3.219,46",3219.46,"3.219,46",3219.46,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283625%29CN26.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),SSPP-JORNADAS(5)I.CULTURALES 08,"232,12",232.12,"232,12",232.12,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283625%29CN26.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),SSPP-PROGRAMA ASESORAMIENTO Y MARKETING,"283,02",283.02,"283,02",283.02,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283625%29CN26.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),SSPP-APLICACIÓN PROG. ASESORAMIENTO Y MARKETING,"518,87",518.87,"518,87",518.87,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283625%29CN26.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),ELAB.DIRECT.EQUIP.INSTALAC.Y SERV.ELECTRONICA,"50,58",50.58,"50,58",50.58,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283625%29CN26.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),CPSM ALEMANIA 2008 - AZULEJO - ASCER,"323,38",323.38,"323,38",323.38,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283625%29CN26.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),CAMPAÑA DE COMUNICACIÓN ALEMANIA - PHE 2008,"549,68",549.68,"549,68",549.68,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283625%29CN26.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),CAMPAÑA DE COMUNICACIÓN ITALIA - PHE 2008,"116,82",116.82,"116,82",116.82,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283625%29CN26.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),CAMPAÑA DE COMUNICACIÓN FRANCIA - PHE 2008,"677,22",677.22,"677,22",677.22,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283625%29CN26.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),CAMPAÑA DE COMUNICACIÓN RUSIA - PHE 2008,"401,36",401.36,"401,36",401.36,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283625%29CN26.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),CPSM FRANCIA 2008 - AZULEJO - ASCER,"131,30",131.30,"131,30",131.30,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283625%29CN26.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),CAMPAÑA DE COMUNICACIÓN JAPÓN - PHE 2008,"371,45",371.45,"371,45",371.45,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283625%29CN26.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),CAMPAÑA DE COMUNICACIÓN REINO UNIDO - PHE 2008,"1.230,59",1230.59,"1.230,59",1230.59,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283625%29CN26.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),CAMPAÑA DE COMUNICACIÓN EE.UU. - PHE 2008,"685,41",685.41,"685,41",685.41,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283625%29CN26.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),CPSM RUSIA 2008 - AZULEJO - ASCER,"214,21",214.21,"214,21",214.21,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283625%29CN26.pdf
