"BENEFICIARIO","TIPO DE OPERACION","GASTO PUBLICO"
"1 COMA DOS MIRANDA S.L.","Mejorar la empleabilidad de las personas desempleadas","61.432,23"
"1 COMA DOS MIRANDA S.L.","Promover reformas en los sistemas de educación y formación que fomenten la 
empleabilidad yaprendizaje","212,98"
"2A PROMOCIONES PUBLICITARIAS S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","2.400,00"
"2A PROMOCIONES PUBLICITARIAS S.L.","Promover reformas en los sistemas de educación y formación que fomenten la 
empleabilidad yaprendizaje","7.789,17"
"2B ARQUEOLOGIA Y GESTION PATRIMONIO","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","2.400,00"
"4C SERVICIOS PUBLICITARIOS S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","1.353,84"
"A.ALONSO S.L.","Promover reformas en los sistemas de educación y formación que fomenten la 
empleabilidad yaprendizaje","400,00"
"A.B.M.COMPUTER S.L.","Promover reformas en los sistemas de educación y formación que fomenten la 
empleabilidad yaprendizaje","300,00"
"A.G.E.SACIR C.B.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.300,00"
"A.LITMA S.L.","Promover reformas en los sistemas de educación y formación que fomenten la 
empleabilidad yaprendizaje","11.970,80"
"A7 MARTINEZ LLANOS S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.000,00"
"ABACO SORIA S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","2.250,00"
"ABAGON S.L.","Promover reformas en los sistemas de educación y formación que fomenten la 
empleabilidad yaprendizaje","604,55"
"ABARCADE LOGISTICA S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","2.500,00"
"ABARCADE LOGISTICA S.L.","Promover reformas en los sistemas de educación y formación que fomenten la 
empleabilidad yaprendizaje","464,00"
"ABEJON S.C.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","2.150,00"
"ABILIO SANCHEZ S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","2.100,00"
"AC HOTEL VALLADOLID S.L.","Apoyo a la gestión de los programas operativos","3.210,50"
"ACADEMIA DEL TRANSPORTISTA BIERZO S","Mejorar la empleabilidad de las personas desempleadas","22.964,47"
"ACADEMIA DEL TRANSPORTISTA S.L.","Mejorar la empleabilidad de las personas desempleadas","21.975,24"
"ACADEMIA LOGOS S.L.","Mejorar la empleabilidad de las personas desempleadas","17.591,41"
"ACADEMIA TECNICA UNIVERSITARIA S.L.","Mejorar la empleabilidad de las personas desempleadas","26.899,24"
"ACADEMIA TECNICA UNIVERSITARIA S.L.","Promover reformas en los sistemas de educación y formación que fomenten la 
empleabilidad yaprendizaje","5.498,00"
"ACEITUNAS Y ENCURTIDOS JOSANGO S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","2.400,00"
"ACEROS Y EQUIPOS S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","2.000,00"
"ACOR SOC.COOP.GRAL.AGROPECUARIA","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","25.500,00"
"ACRISTALAMIENTO GARROSA S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.000,00"
"ACUATORMES S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","2.100,00"
"AD ZARATAN MAQUINARIA S.L.","Promover reformas en los sistemas de educación y formación que fomenten la 
empleabilidad yaprendizaje","594,99"
"ADADE BURGOS S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.000,00"
"ADADE SORIA S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.500,00"
"AD-HOC COMUNICACION Y R.R.P.P.S.L.","Promover reformas en los sistemas de educación y formación que fomenten la 
empleabilidad yaprendizaje","37,79"
"ADINUR S.L.,SUMINISTROS INDUSTRIALE","Promover reformas en los sistemas de educación y formación que fomenten la 
empleabilidad yaprendizaje","936,64"
"ADM´S COSE COSE S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.000,00"
"ADMIPLANOR S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","6.400,00"
"ADVENTA SOLUCIONES AVANZADAS S.A.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","10.000,00"
"AENOR","Promover reformas en los sistemas de educación y formación que fomenten la 
empleabilidad yaprendizaje","25.981,80"
"AFANUS,S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.140,00"
"AFEVALL S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","2.100,00"
"AGENCIA DE COMUNICACION MIRON S.L","Promover reformas en los sistemas de educación y formación que fomenten la 
empleabilidad yaprendizaje","1.160,00"
"AGENCIA DE SEGUROS AVENIDA DE","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.000,00"
"AGENCIA DE TRANSPORTES RANITRANS S.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","6.000,00"
"AGENDA COMUNICACION S.L.","Promover reformas en los sistemas de educación y formación que fomenten la 
empleabilidad yaprendizaje","27.931,08"
"AGLOBEM S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.500,00"
"AGOTE GUERRERO,I. RUIZ GUTIERREZ,E.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.800,00"
"AGR.COMERC.Y EMPR.CUELLAR Y COMARCA","Promoción del espíritu empresarial y de la adaptabilidad de las empresas y Refuerzo del 
nivel de competencia","13.857,68"
"AGRICOLA GANADERA SANTA MARINA S.A.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.300,00"
"AGRO REGIONAL S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","2.600,00"
"AGROBARCENILLA S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","6.700,00"
"AGROCINEGETICA MODELO S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","2.100,00"
"AGROLOPEZ ARANDA S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","2.400,00"
"AGROPECUARIA CARMELDO S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.000,00"
"AGROPECUARIA HERRAN S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","2.400,00"
