nombre_beneficiario,nombre_operacion,montante_concedido,t_montante_concedido,montante_pagado_final_operacion,t_montante_pagado_final_operacion,ano_de_la_concesion_ano_del_pago,uri
D.G. POLITICA COMERCIAL (MITC),"REMODELACIÓN DE LA ZONA CENTRO DE CEUTA FASE 2 C/BEATRIZ DE SILVA (DESDE PLAZA DE LOS REYES) Y C/CERVANTES. ADECENTAMIENTO DE ZONA COMERCIAL, PRINCIPAL VÍA ARTERIAL SUR.","250.000,00",250000.00,"0,00",0.00,2007,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3035)CE11.pdf
D.G. POLITICA COMERCIAL (MITC),PUESTA EN MARCHA DEL CENTRO COMERCIAL ABIERTO DE CEUTA.,"90.400,00",90400.00,"0,00",0.00,2007,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3035)CE11.pdf
AUTORIDAD PORTUARIA DE CEUTA,DEMOLICIÓN ESPALDÓN Y SOTERRAMIENTO EN PONIENTE,"2.018.611,96",2018611.96,"2.018.611,96",2018611.96,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3035)CE11.pdf
AUTORIDAD PORTUARIA DE CEUTA,OBRAS PUNTO DE ATENCIÓN AL TRANSPORTE TERRESTRE,"1.178.505,16",1178505.16,"0,00",0.00,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3035)CE11.pdf
AUTORIDAD PORTUARIA DE CEUTA,REPARACIÓN DÁRSENA DEPORTIVA,"745.895,31",745895.31,"677.062,18",677062.18,2007,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3035)CE11.pdf
AUTORIDAD PORTUARIA DE CEUTA,REPARACIÓN EN DIQUES DE PONIENTE Y LEVANTE,"2.817.654,99",2817654.99,"2.671.288,21",2671288.21,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3035)CE11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),CPSM ACEITE DE OLIVA RUSIA 8008 (PU),"25,38",25.38,"0,00",0.00,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3035)CE11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),FPO (7) TRANSPORT LOGISTIC CHINA 2008,"1.217,16",1217.16,"0,00",0.00,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3035)CE11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),CPSM ACEITE DE OLIVA INDIA 2008 (PU),"11,52",11.52,"0,00",0.00,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3035)CE11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),CPSM ACEITE DE OLIVA FRANCIA 2008 (PU),"12,05",12.05,"0,00",0.00,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3035)CE11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),OAP - IMAGEN FOODS FROM SPAIN,"28,50",28.50,"0,00",0.00,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3035)CE11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),CPSM PUBLICIDAD ACEITE DE OLIVA EEUU 2008,"216,04",216.04,"0,00",0.00,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3035)CE11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),ESTUDIO IMAGEN OFERTA ESPAÑOLA -FRANCIA 2008,"13,68",13.68,"0,00",0.00,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3035)CE11.pdf
