nombre_beneficiario,nombre_operacion,montante_concedido,t_montante_concedido,montante_pagado_final_operacion,t_montante_pagado_final_operacion,ano_de_la_concesion_ano_del_pago,uri
DIRECCION GENERAL DE CARRETERAS (M.FOMENTO),Autovía Trujillo-Cáceres (A-58). Tramo: Trujillo-Plasenzuela,"30.306.848,08",30306848.08,"28.916.289,05",28916289.05,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283630%29EX26.pdf
DIRECCION GENERAL DE CARRETERAS (M.FOMENTO),Autovía Trujillo-Cáceres (A-58). Tramo: Plasenzuela-Santa Marta de Magasca.,"31.641.095,54",31641095.54,"0,00",0.00,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283630%29EX26.pdf
DIRECCION GENERAL DE CARRETERAS (M.FOMENTO),Conservación del firme. Rehabilitación del firme en la Autovía A-5. pp.kk. 295.000 al 314.000. Tramo: Miajadas (Oeste)-Torrefresneda.,"6.054.595,98",6054595.98,"5.597.614,11",5597614.11,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283630%29EX26.pdf
DIRECCION GENERAL DE CARRETERAS (M.FOMENTO),Conservación del firme. Rehabilitación estructural del firme en Autovía del Suroeste (A-5). pp.kk. 190.000 y 232.500. Tramo: Almaraz (Este)- Jaraicejo (Sur).,"20.408.085,27",20408085.27,"6.992.650,54",6992650.54,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283630%29EX26.pdf
DIRECCION GENERAL DE CARRETERAS (M.FOMENTO),Variante de Santa Marta. Carretera N-432. de Badajoz a Granada. p.k. 40.5 al 46.5,"5.296.400,99",5296400.99,"0,00",0.00,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283630%29EX26.pdf
DIRECCION GENERAL DE CARRETERAS (M.FOMENTO),Variante de población. Carretera N-432. de Badajoz a Granada. p.k. 20.0-25.0. Tramo: La Albuera,"6.731.539,23",6731539.23,"6.344.542,92",6344542.92,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283630%29EX26.pdf
DIRECCION GENERAL DE CARRETERAS (M.FOMENTO),Acondicionamiento de la carretera N-110. Tramo: Navaconcejo- Tornavacas.,"11.341.354,98",11341354.98,"31.102,88",31102.88,2007,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283630%29EX26.pdf
DIRECCION GENERAL DE CARRETERAS (M.FOMENTO),Seguridad vial. Reordenación de accesos y acondicionamiento de intersecciones en la N-630. de Gijón al Puerto de Sevilla. mediante glorietas entre el p.k. 474.5 y el 475.6. Tramo: Plasencia.,"1.735.560,57",1735560.57,"1.034.465,40",1034465.40,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283630%29EX26.pdf
DIRECCIÓN GENERAL DEL AGUA (MARM),PROYECTO DE REHABILITACION GENERAL DEL CANAL SECUNDARIO SEGUNDO DE LA MARGEN DERECHA DE LOS RIEGOS DEL ALAGON EN TTMM DE MONTEHERMOSO Y GUIJO DE GALISTEO (CACERES),"1.857.146,00",1857146.00,"0,00",0.00,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283630%29EX26.pdf
DIRECCIÓN GENERAL DEL AGUA (MARM),PRESA DE VILLALBA DE LOS BARROS Y OTROS (BADAJOZ),"36.343.061,00",36343061.00,"0,00",0.00,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283630%29EX26.pdf
DIRECCIÓN GENERAL DEL AGUA (MARM),"REPARACIÓN DEL CANAL DE ORELLANA EN LAS SECCIONES C y D-E ENTRE LOS PK. 28,000 Y 47,00.TT.MM.MADRIGALEJO Y CAMPOLUGAR.","1.601.037,29",1601037.29,"0,00",0.00,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283630%29EX26.pdf
DIRECCIÓN GENERAL DEL AGUA (MARM),"REPARACIÓN DEL CANAL DE ORELLANA SECCIÓN ""A"" EN EL TRAMO ENTRE LOS PK. 0,200 Y 2,600.TM.ORELLANA LA VIEJA(BADAJOZ)","925.258,57",925258.57,"0,00",0.00,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283630%29EX26.pdf
DIRECCIÓN GENERAL DEL AGUA (MARM),"REPARACIÓN DEL CANAL DE ORELLANA SECCIÓN D-E, EN TRAMO ENTRE LOS PK. 67,500 y 71,500. TM. MIAJADAS (CACERES)","1.330.988,29",1330988.29,"0,00",0.00,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283630%29EX26.pdf
DIRECCIÓN GENERAL DEL AGUA (MARM),"SUSTITUCIÓN TOMAS ACEQUIAS A-XXI-B, A-XXI-B-2 y AXXI-D-1 DESDE EL CANAL SECUNDARIO Nº 3 POR TOMAS DESDE TUBERÍA DE LA Z.R. DE ORELLANA. TM. MIAJADAS (CACERES)","355.502,81",355502.81,"0,00",0.00,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283630%29EX26.pdf
DIRECCIÓN GENERAL DEL AGUA (MARM),SUSTITUCIÓN DE TUBERÍA DE LA ACEQUIA A-VIII-A DE LA Z.R. DE ORELLANA.TM. ACEDERA Y D.BENITO (BADAJOZ),"514.395,18",514395.18,"0,00",0.00,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283630%29EX26.pdf
DIRECCIÓN GENERAL DEL AGUA (MARM),CUBRICIÓN DE TRAMO DE LA ACEQUIA A-X-C DE LA Z. R. DE ORELLANA. CASCO URBANO ZURBARÁN.TTMM. VILLANUEVA DE LA SERENA (BADAJOZ),"247.992,22",247992.22,"0,00",0.00,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283630%29EX26.pdf
DIRECCIÓN GENERAL DEL AGUA (MARM),"IMPERMEABILIZACIÓN DEL CANAL GENERAL DE ORELLANA, DESDE EL PK. 32,000 AL 67,510.TT.MM. DE MIAJADAS Y OTROS (CACERES)","6.262.702,24",6262702.24,"0,00",0.00,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283630%29EX26.pdf
DIRECCIÓN GENERAL DEL AGUA (MARM),REPARACIÓN DE DIVERSOS TRAMOS DE LA ACEQUIA G-I-2 DEL SECTOR G-I DE LA ZONA REGABLE DE MONTIJO (BA/MONTIJO Y OTROS),"707.153,70",707153.70,"0,00",0.00,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283630%29EX26.pdf
DIRECCIÓN GENERAL DEL AGUA (MARM),OBRAS DE SANEAMIENTO Y DEPURACION DE JARAIZ DE LA VERA Y GUIJO DE SANTA BARBARA (CACERES),"8.905.161,66",8905161.66,"0,00",0.00,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283630%29EX26.pdf
DIRECCIÓN GENERAL DEL AGUA (MARM),"ACONDICIONAMIENTO DE ACEQUIAS DE LA ZONA REGABLE DE MONTIJO SECTORES J, L, M-I M-II N, O, P Y Q (BADAJOZ)","636.563,01",636563.01,"0,00",0.00,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283630%29EX26.pdf
DIRECCIÓN GENERAL DEL AGUA (MARM),"PROYECTO 07/00 DE CORRECCION DE FUGAS EN LAS ACEQUIAS DE LA ZONA REGABLE LOBON SECTORES ""F"" AL ""H"" EN TTMM DE MERIDA Y OTROS (BADAJOZ)","539.519,03",539519.03,"0,00",0.00,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283630%29EX26.pdf
DIRECCIÓN GENERAL DEL AGUA (MARM),OBRAS DEL PROYECTO DE MEJORA DEL ABASTECIMIENTO EN EL ENTORNO DE LA PRESA DE ALANGE 1ª FASE. DEPOSITOS EN ALMENDRALEJO. TT/MM ALMENDRALEJO (BADAJOZ),"6.250.860,74",6250860.74,"0,00",0.00,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283630%29EX26.pdf
DIRECCIÓN GENERAL DEL AGUA (MARM),OBRAS DEL PROYECTO DE MEJORA DEL ABASTECIMIENTO A LA MANCOMUNIDAD DE VEGAS ALTAS. TT.MM. VARIOS (CACERES Y BADAJOZ),"14.903.749,85",14903749.85,"0,00",0.00,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283630%29EX26.pdf
DIRECCIÓN GENERAL DEL AGUA (MARM),ESTACION DEPURADORA DE AGUAS RESIDUALES DE AZUAGA (BADAJOZ),"2.516.074,76",2516074.76,"0,00",0.00,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283630%29EX26.pdf
DIRECCIÓN GENERAL DEL AGUA (MARM),REPARACIÓN DEL CANAL SECUNDARIO Nº 2 DE LA Z. R. DE ORELLANA (BA-CC/DON BENITO Y OTROS),"1.204.363,00",1204363.00,"0,00",0.00,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283630%29EX26.pdf
DIRECCIÓN GENERAL DEL AGUA (MARM),"ADAPTACIÓN DEL CANAL DEL ZÚJAR PARA LA GESTIÓN INTEGRAL DE SUS TRES PRIMERAS BALSAS DE REGULACIÓN, EN TT. MM. DE LA CORONADA Y VILLANUEVA DE LA SERENA (BADAJÓZ).","1.566.968,50",1566968.50,"0,00",0.00,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283630%29EX26.pdf
DIRECCIÓN GENERAL DEL AGUA (MARM),ACONDICIONAMIENTO DE LAS ACEQUIAS DE LOS SECTORES G-I Y G-II DE LA ZONA REGABLE DE MONTIJO .(BA/MONTIJO Y OTROS),"549.528,36",549528.36,"0,00",0.00,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283630%29EX26.pdf
DIRECCIÓN GENERAL DEL AGUA (MARM),"REPARACIÓN DE LAS ACEQUIAS DE LOS SECTORES ""G-I"" Y ""G-I- 2"" DE LA Z. R. DE MONTIJO","637.949,30",637949.30,"0,00",0.00,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283630%29EX26.pdf
DIRECCIÓN GENERAL DEL AGUA (MARM),EDAR DE ALMENDRALEJO,"15.256.525,11",15256525.11,"0,00",0.00,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283630%29EX26.pdf
