"BENEFICIARIO","TIPO DE OPERACION","GASTO PUBLICO"
"06 BADAJOZ 000, S.L.","Mejorar la empleabilidad de las personas desempleadas","11.000,00"
"3G GABINETE GESTION GLOBAL DE LA 
INGENIERIA Y EDIFICACION, S","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
"5ARTOP S.L.","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
"7TECNICAS CROMATICAS DEL SUR, S.L.","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
"A & M EXTREMADURA MUEBLES, S.L.","Mejorar la empleabilidad de las personas desempleadas","6.000,00"
"ABELLANES RESIDENCIA DE MAYORES S.L.L.","Mejorar la empleabilidad de las personas desempleadas","6.000,00"
"ACEITUNAS CASTAÑO, S.L.","Mejorar la empleabilidad de las personas desempleadas","12.535,00"
"ACEITUNAS JOPE S.L.","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
"ACEITUNERA DEL GUADIANA S.A.","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
"ACEITUNERA DEL GUADIANA S.L.","Mejorar la empleabilidad de las personas desempleadas","6.000,00"
"ACEITUNERA DEL NORTE DE CACERES,S.C.L. 
""ACENORCA""","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
"ACEREX CB","Mejorar la empleabilidad de las personas desempleadas","13.250,00"
"ACHILA SOCIEDAD CIVIL","Mejorar la empleabilidad de las personas desempleadas","6.000,00"
"ACOSIERRA S.A.","Mejorar la empleabilidad de las personas desempleadas","51.000,00"
"ACQUALEMA, S.L.","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
"ACTIVOS MISCELANEA S.L.","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
"ADARVE LIMPIEZAS, S.L.","Mejorar la empleabilidad de las personas desempleadas","10.247,50"
"ADMINISTRACION DE FINCAS CASARES, S.L.","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
"ADMINISTRACION EUROPEA DE 
COMUNIDADES, S.L.","Mejorar la empleabilidad de las personas desempleadas","6.125,00"
"ADOMI-SACOR S.L.","Mejorar la empleabilidad de las personas desempleadas","15.000,00"
"AFEX ASESORIA DE EMPRESAS, S.L.U.","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
"AGRICOLA LA ALBARIZA, S.L.","Mejorar la empleabilidad de las personas desempleadas","6.000,00"
"AGROFINCAS LA VERA, C.B.","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
"AGROSUMINISTROS CAMPOS S.L","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
"AGROVERA FORESTAL, S.L.","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
"AGRUPACION DEPORTIVA NATACION DON 
BENITO ACUARUN","Mejorar la empleabilidad de las personas desempleadas","6.000,00"
"AGRUPACION PROMOTORA RIVAS LEGANES 
SA","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
"AISLASER, C.B.","Mejorar la empleabilidad de las personas desempleadas","4.250,00"
"AJ Y FALCAR S.L.","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
"AL RICO CORDERO, S.L.","Mejorar la empleabilidad de las personas desempleadas","19.250,00"
"ALBE 42 SEGUROS, S.L.","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
"ALBERO EXTREMADURA, S.L.","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
"ALCAESAR FUNER HERVAS SL","Mejorar la empleabilidad de las personas desempleadas","3.500,00"
"ALCAESAR FUNERTRUJILLO, S.L.","Mejorar la empleabilidad de las personas desempleadas","10.250,00"
"ALCER ASOCIACION","Mejorar la empleabilidad de las personas desempleadas","6.125,00"
"ALCODEL SERVICIOS, C.B.","Mejorar la empleabilidad de las personas desempleadas","10.000,00"
"ALCOHOLES BIOCARBURANTES DE 
EXTREMADURA, S.A.","Mejorar la empleabilidad de las personas desempleadas","6.000,00"
"ALEXA SOC. COOP.","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
"ALFONSO REBATE E HIJOS, S.L.","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
"ALIMENTACION F. PRIETO GARROVILLAS, S.L.","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
"ALIMENTACION HERMANOS DOMINGUEZ 
TEJADA, S.L.","Mejorar la empleabilidad de las personas desempleadas","20.625,00"
"ALIMENTACION HNOS. ABRIL S.L.","Mejorar la empleabilidad de las personas desempleadas","6.187,50"
"ALIMENTACION MORENO SALGADO S.L.L.","Fomentar el apoyo al trabajo por cuenta propia y la creación de empresas","28.100,00"
"ALIMENTACION Y BEBIDAS 2000, S.L.","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
"ALKICAR EXTREMADURA SL","Mejorar la empleabilidad de las personas desempleadas","15.000,00"
"ALMACEN DE MUEBLES F. LOPEZ S.L.","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
"ALMACENES GIL","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
"ALMACENES GONZALEZ, C.B.","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
"ALMARAZ, S. COOP.","Fomentar el apoyo al trabajo por cuenta propia y la creación de empresas","10.000,00"
"ALMEIDA Y MERCHAN SL","Mejorar la empleabilidad de las personas desempleadas","4.250,00"
"ALMENDRALEJO CIRTRNSF, S.L.","Mejorar la empleabilidad de las personas desempleadas","22.500,00"
"ALQUILER DE PLATAFORMAS EXTREMEÑAS, 
S.L.","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
"ALSIME ALMENDRALEJO, S.L.","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
"ALTAIR COMUNICACIONES E INTERNET, S.L.L.","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
"ALUMINIO DURAN, S.L.","Mejorar la empleabilidad de las personas desempleadas","4.250,00"
"ALUMINIOS DEL MAESTRE, S.A.","Mejorar la empleabilidad de las personas desempleadas","15.000,00"
"ALUMINIOS Y VIDRIOS HNOS. PEDRERO, C.B.","Mejorar la empleabilidad de las personas desempleadas","17.500,00"
"ALVI, S. COOP. ESPECIAL","Fomentar el apoyo al trabajo por cuenta propia y la creación de empresas","10.000,00"
"AMBAR-VIAL, S.L.","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
"AMBULANCIAS AMCOEX, S.L.","Mejorar la empleabilidad de las personas desempleadas","67.500,00"
"AMMS 26, S.L.","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
"ANAS ASESORIA S.L.","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
"ANCEPABE, S.L.L","Fomentar el apoyo al trabajo por cuenta propia y la creación de empresas","23.050,38"
"ANESMO DID, S.L.","Mejorar la empleabilidad de las personas desempleadas","22.500,00"
"ANSA TOURS, S.L.","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
"ANSOLA Y DONOSO, S.L.","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
"ANTONIO BRAVO AGRO, S.A.","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
"ANTONIO BRAVO, S.A.","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
"ANTONIO HAUT, S.L.","Mejorar la empleabilidad de las personas desempleadas","15.000,00"
"ANTUNEZ ESTACION DE SERVICIOS, S.L.","Mejorar la empleabilidad de las personas desempleadas","6.000,00"
"APARATOS Y COSMETICA MARYFA, S.L.","Mejorar la empleabilidad de las personas desempleadas","15.000,00"
"APLIMOEX SL","Mejorar la empleabilidad de las personas desempleadas","6.000,00"
"APROSUBA 1","Mejorar la empleabilidad de las personas desempleadas","37.500,00"
"APROSUBA 3","Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","207.287,52"
"APROSUBA 5","Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","141.097,44"
"APROSUBA 8 C.E.E. PONCE DE LEON","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
"ARAUJO CORCHADO CONSTRUCCIONES, S.L.","Mejorar la empleabilidad de las personas desempleadas","15.000,00"
"ARCADIE EXTREMADURA S.A.","Mejorar la empleabilidad de las personas desempleadas","73.500,00"
"ARCO GERIATRICO,S.L.","Mejorar la empleabilidad de las personas desempleadas","6.000,00"
"AREX, C.B.","Mejorar la empleabilidad de las personas desempleadas","10.000,00"
"ARGON LUX S.L.","Mejorar la empleabilidad de las personas desempleadas","6.000,00"
"ARIDOS LA DEHESA DE QUINTANA, S.A.","Mejorar la empleabilidad de las personas desempleadas","6.000,00"
"ARMERÍA CARRIL GARCÍA, S.L.","Mejorar la empleabilidad de las personas desempleadas","4.250,00"
"ARO CONSULTORES Y PROYECTOS, S.L.","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
"ARQUEPEC, S.L.","Mejorar la empleabilidad de las personas desempleadas","5.660,00"
"ARRIMOBEL, S.L.","Mejorar la empleabilidad de las personas desempleadas","6.000,00"
"ARTURO GIRALT SL","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
"ARTURO Y RAIMUNDO SC","Mejorar la empleabilidad de las personas desempleadas","10.000,00"
"ASADOR EXTREMEÑO S.L.U.","Mejorar la empleabilidad de las personas desempleadas","4.250,00"
"ASADORES DOAVE, S.L.","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
"ASAMBLEA PROV.CRUZ ROJA ESPAÑOLA","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
"ASERREXSA","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
"ASESORA DE ELECTRONICA Y 
TELECOMUNICACIONES, S.A.L","Mejorar la empleabilidad de las personas desempleadas","6.000,00"
"ASESORAMIENTO TRIBUTARIO Y LABORAL 
DOLMEN, S.L.","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
"ASESORIA CACEREÑA GRUPO 4, S.L.","Mejorar la empleabilidad de las personas desempleadas","5.187,50"
"ASESORIA DON BENITO, S.L.L","Fomentar el apoyo al trabajo por cuenta propia y la creación de empresas","18.100,00"
"ASESORIA EXTREMEÑA GABEX S.L.","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
