nombre_beneficiario,nombre_operacion,montante_concedido,t_montante_concedido,montante_pagado_final_operacion,t_montante_pagado_final_operacion,ano_de_la_concesion_ano_del_pago,uri
Instituto de la mujer (CM),Asesoramiento técnico para la celebración de la I Reunión de la Red de Políticas de Igualdad entre mujeres y hombres,"2.750,49",2750.49,"0,00",0.00,2010,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3047)PO_AT11.pdf
Instituto de la mujer (CM),Asesoramiento técnico para la celebración de la I Reunión de la Red de Políticas de Igualdad entre mujeres y hombres,"102,88",102.88,"0,00",0.00,2010,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3047)PO_AT11.pdf
Instituto de la mujer (CM),Asesoramiento técnico para la celebración de la I Reunión de la Red de Políticas de Igualdad entre mujeres y hombres,"746,77",746.77,"0,00",0.00,2010,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3047)PO_AT11.pdf
Instituto de la mujer (CM),I Reunión de la Red de Políticas de Igualdad entre Mujeres y Hombres,"1.087,90",1087.90,"0,00",0.00,2010,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3047)PO_AT11.pdf
Instituto de la mujer (CM),I Reunión de la Red de Políticas de Igualdad entre Mujeres y Hombres.,"1.826,09",1826.09,"0,00",0.00,2010,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3047)PO_AT11.pdf
Instituto de la mujer (CM),I Reunión de la Red de Políticas de Igualdad entre Mujeres y Hombres,"68,30",68.30,"0,00",0.00,2010,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3047)PO_AT11.pdf
Instituto de la mujer (CM),I Reunión de la Red de Políticas de Igualdad entre Mujeres y Hombres,"495,80",495.80,"0,00",0.00,2010,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3047)PO_AT11.pdf
Instituto de la mujer (CM),Asesoramiento técnico para la celebración de la I Reunión de la Red de Políticas de Igualdad entre mujeres y hombres,"1.638,61",1638.61,"0,00",0.00,2010,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3047)PO_AT11.pdf
MINISTERIO DE ECONOMIA Y HACIENDA. (Dirección General de Fondos Comunitarios),"RED2RED ""Apoyo a la elaboración de descripción de sistemas de gestion y control de los OI de URBAN 2007-2013""","11.545,29",11545.29,"0,00",0.00,2010,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3047)PO_AT11.pdf
MINISTERIO DE ECONOMIA Y HACIENDA. (Dirección General de Fondos Comunitarios),"RED2RED ""Apoyo a la elaboración de descripción de sistemas de gestion y control de los OI de URBAN 2007-2013""","989,57",989.57,"0,00",0.00,2010,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3047)PO_AT11.pdf
MINISTERIO DE ECONOMIA Y HACIENDA. (Dirección General de Fondos Comunitarios),"RED2RED ""Apoyo a la elaboración de descripción de sistemas de gestion y control de los OI de URBAN 2007-2013""","2.516,37",2516.37,"0,00",0.00,2010,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3047)PO_AT11.pdf
MINISTERIO DE ECONOMIA Y HACIENDA. (Dirección General de Fondos Comunitarios),"RED2RED ""Apoyo a la elaboración de descripción de sistemas de gestion y control de los OI de URBAN 2007-2013""","5.828,76",5828.76,"0,00",0.00,2010,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3047)PO_AT11.pdf
MINISTERIO DE ECONOMIA Y HACIENDA. (Dirección General de Fondos Comunitarios),"CPC .- ""Elaboración de documentos de presentación de los PO Plurirregionales en los que participa FEDER y FC""","11.192,52",11192.52,"0,00",0.00,2010,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3047)PO_AT11.pdf
MINISTERIO DE ECONOMIA Y HACIENDA. (Dirección General de Fondos Comunitarios),"CPC .- ""Elaboración de documentos de presentación de los PO Plurirregionales en los que participa FEDER y FC""","959,34",959.34,"0,00",0.00,2010,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3047)PO_AT11.pdf
MINISTERIO DE ECONOMIA Y HACIENDA. (Dirección General de Fondos Comunitarios),"CPC .- ""Elaboración de documentos de presentación de los PO Plurirregionales en los que participa FEDER y FC""","2.439,48",2439.48,"0,00",0.00,2010,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3047)PO_AT11.pdf
MINISTERIO DE ECONOMIA Y HACIENDA. (Dirección General de Fondos Comunitarios),"CPC .- ""Elaboración de documentos de presentación de los PO Plurirregionales en los que participa FEDER y FC""","5.650,66",5650.66,"0,00",0.00,2010,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3047)PO_AT11.pdf
MINISTERIO DE ECONOMIA Y HACIENDA. (Dirección General de Fondos Comunitarios),"REGIO PLUS CONSULTING ""Realización del estudio de la estrategia de comunicación de los planes de comunicación de los PO de investigación e innvoación por y para el beneficio de las Empresas""","3.848,43",3848.43,"0,00",0.00,2010,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3047)PO_AT11.pdf
MINISTERIO DE ECONOMIA Y HACIENDA. (Dirección General de Fondos Comunitarios),"REGIO PLUS CONSULTING ""Realización del estudio de la estrategia de comunicación de los planes de comunicación de los PO de investigación e innvoación por y para el beneficio de las Empresas""","329,86",329.86,"0,00",0.00,2010,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3047)PO_AT11.pdf
MINISTERIO DE ECONOMIA Y HACIENDA. (Dirección General de Fondos Comunitarios),"REGIO PLUS CONSULTING ""Realización del estudio de la estrategia de comunicación de los planes de comunicación de los PO de investigación e innvoación por y para el beneficio de las Empresas""","838,79",838.79,"0,00",0.00,2010,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3047)PO_AT11.pdf
MINISTERIO DE ECONOMIA Y HACIENDA. (Dirección General de Fondos Comunitarios),"REGIO PLUS CONSULTING ""Realización del estudio de la estrategia de comunicación de los planes de comunicación de los PO de investigación e innvoación por y para el beneficio de las Empresas""","1.942,92",1942.92,"0,00",0.00,2010,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3047)PO_AT11.pdf
MINISTERIO DE ECONOMIA Y HACIENDA. (Dirección General de Fondos Comunitarios),IGAE GASTOS DESARROLLO .- AT y Contrato de servicios,"425.140,25",425140.25,"425.140,25",425140.25,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3047)PO_AT11.pdf
MINISTERIO DE ECONOMIA Y HACIENDA. (Dirección General de Fondos Comunitarios),IGAE GASTOS DESARROLLO .- AT y Contrato de servicios,"36.439,78",36439.78,"36.439,78",36439.78,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3047)PO_AT11.pdf
MINISTERIO DE ECONOMIA Y HACIENDA. (Dirección General de Fondos Comunitarios),IGAE GASTOS DESARROLLO .- AT y Contrato de servicios,"92.662,01",92662.01,"92.662,01",92662.01,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3047)PO_AT11.pdf
MINISTERIO DE ECONOMIA Y HACIENDA. (Dirección General de Fondos Comunitarios),IGAE GASTOS DESARROLLO .- AT y Contrato de servicios,"214.636,45",214636.45,"214.636,45",214636.45,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3047)PO_AT11.pdf
MINISTERIO DE ECONOMIA Y HACIENDA. (Dirección General de Fondos Comunitarios),IGAE Mantenimiento Informático 2009 (Licencias Adabas y Oracle y Unix),"64.977,69",64977.69,"64.977,69",64977.69,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3047)PO_AT11.pdf
MINISTERIO DE ECONOMIA Y HACIENDA. (Dirección General de Fondos Comunitarios),IGAE Mantenimiento Informático 2009 (Licencias Adabas y Oracle y Unix),"5.569,39",5569.39,"5.569,39",5569.39,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3047)PO_AT11.pdf
MINISTERIO DE ECONOMIA Y HACIENDA. (Dirección General de Fondos Comunitarios),IGAE Mantenimiento Informático 2009 (Licencias Adabas y Oracle y Unix),"14.162,30",14162.30,"14.162,30",14162.30,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3047)PO_AT11.pdf
MINISTERIO DE ECONOMIA Y HACIENDA. (Dirección General de Fondos Comunitarios),IGAE Mantenimiento Informático 2009 (Licencias Adabas y Oracle y Unix),"32.804,66",32804.66,"32.804,66",32804.66,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3047)PO_AT11.pdf
MINISTERIO DE ECONOMIA Y HACIENDA. (Dirección General de Fondos Comunitarios),IGAE SOPORTE TÉCNICO 2009 (Oracle y Adabas),"27.046,68",27046.68,"27.046,68",27046.68,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3047)PO_AT11.pdf
MINISTERIO DE ECONOMIA Y HACIENDA. (Dirección General de Fondos Comunitarios),IGAE SOPORTE TÉCNICO 2009 (Oracle y Adabas),"2.318,24",2318.24,"2.318,24",2318.24,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3047)PO_AT11.pdf
MINISTERIO DE ECONOMIA Y HACIENDA. (Dirección General de Fondos Comunitarios),IGAE SOPORTE TÉCNICO 2009 (Oracle y Adabas),"5.895,00",5895.00,"5.895,00",5895.00,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3047)PO_AT11.pdf
MINISTERIO DE ECONOMIA Y HACIENDA. (Dirección General de Fondos Comunitarios),IGAE SOPORTE TÉCNICO 2009 (Oracle y Adabas),"13.654,80",13654.80,"13.654,80",13654.80,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3047)PO_AT11.pdf
MINISTERIO DE ECONOMIA Y HACIENDA. (Dirección General de Fondos Comunitarios),IGAE 2008 Gastos de Desarrollo .- dispositivo de usuario y desplazamiento,"10.232,30",10232.30,"10.232,30",10232.30,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3047)PO_AT11.pdf
MINISTERIO DE ECONOMIA Y HACIENDA. (Dirección General de Fondos Comunitarios),IGAE 2008 Gastos de Desarrollo .- dispositivo de usuario y desplazamiento,"877,03",877.03,"877,03",877.03,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3047)PO_AT11.pdf
MINISTERIO DE ECONOMIA Y HACIENDA. (Dirección General de Fondos Comunitarios),IGAE 2008 Gastos de Desarrollo .- dispositivo de usuario y desplazamiento,"2.230,19",2230.19,"2.230,19",2230.19,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3047)PO_AT11.pdf
MINISTERIO DE ECONOMIA Y HACIENDA. (Dirección General de Fondos Comunitarios),IGAE 2008 Gastos de Desarrollo .- dispositivo de usuario y desplazamiento,"5.165,88",5165.88,"5.165,88",5165.88,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3047)PO_AT11.pdf
