nombre_beneficiario,nombre_operacion,montante_concedido,t_montante_concedido,montante_pagado_final_operacion,t_montante_pagado_final_operacion,ano_de_la_concesion_ano_del_pago,uri
D.G. PARA EL DESARROLLO DE LA SOCIEDAD DE LA INFORMACIÓN (MITC),IFeC: Infraestructura de Firma Electrónica Cualificada,"45.020,50",45020.50,"45.020,50",45020.50,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283639%29PO_FT26.pdf
INSTITUTO NACIONAL DE INVESTIGACIÓN Y TECNOLOGÍA AGRARIA. INIA (MICINN),CENTRO DE AGRICULTURA ECOLÓGICA Y DE MONTAÑA EN PLASENCIA,"1.500.000,00",1500000.00,"1.498.185,17",1498185.17,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283639%29PO_FT26.pdf
INSTITUTO NACIONAL DE INVESTIGACIÓN Y TECNOLOGÍA AGRARIA. INIA (MICINN),CENTRO NACIONAL DE I+D EN CERDO IBÉRICO EN ZAFRA (BADAJOZ),"1.800.000,00",1800000.00,"1.188.764,21",1188764.21,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283639%29PO_FT26.pdf
INSTITUTO NACIONAL DE INVESTIGACIÓN Y TECNOLOGÍA AGRARIA. INIA (MICINN),CONSTRUCCIÓN Y EQUIPAMIENTO DEL CENTRO PARA LA CALIDAD DE LOS ALIMENTOS EN SORIA,"1.000.000,00",1000000.00,"0,00",0.00,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283639%29PO_FT26.pdf
INSTITUTO DE CREDITO OFICIAL (ICO),Fondo JEREMIE del PO Fondo Tecnológico en Castilla-La Mancha,"6.588.462,00",6588462.00,"3.843.270,00",3843270.00,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283639%29PO_FT26.pdf
INSTITUTO DE CREDITO OFICIAL (ICO),Fondo JEREMIE del PO Fondo Tecnológico en CANTABRIA,"161.538,00",161538.00,"94.232,00",94232.00,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283639%29PO_FT26.pdf
INSTITUTO DE CREDITO OFICIAL (ICO),Fondo JEREMIE del PO Fondo Tecnológico en CATALUÑA,"5.734.616,00",5734616.00,"3.345.192,00",3345192.00,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283639%29PO_FT26.pdf
INSTITUTO DE CREDITO OFICIAL (ICO),Fondo JEREMIE del PO Fondo Tecnológico en ANDALUCÍA,"50.123.076,00",50123076.00,"29.238.461,00",29238461.00,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283639%29PO_FT26.pdf
INSTITUTO DE CREDITO OFICIAL (ICO),Fondo JEREMIE del PO Fondo Tecnológico en PAÍS VASCO,"2.100.000,00",2100000.00,"1.225.000,00",1225000.00,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283639%29PO_FT26.pdf
INSTITUTO DE CREDITO OFICIAL (ICO),Fondo JEREMIE del PO Fondo Tecnológico en EXTREMADURA,"3.242.308,00",3242308.00,"1.891.346,00",1891346.00,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283639%29PO_FT26.pdf
