nombre_beneficiario,nombre_operacion,montante_concedido,t_montante_concedido,montante_pagado_final_operacion,t_montante_pagado_final_operacion,ano_de_la_concesion_ano_del_pago,uri
DIRECCION GENERAL DE CARRETERAS (M.FOMENTO),Autovía A-40. Tramo: Noblejas-Villarrubia de Santiago ( E ),"24.007.645,27",24007645.27,"24.007.645,26",24007645.26,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283626%29CM26.pdf
DIRECCION GENERAL DE CARRETERAS (M.FOMENTO),Autovia A-40. Tramo: Villarrubia de Santiago (E) - Santa Cruz de la Zarza (E),"24.424.764,24",24424764.24,"0,00",0.00,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283626%29CM26.pdf
DIRECCION GENERAL DE CARRETERAS (M.FOMENTO),Autovía A-40. Tramo: A-4 - Noblejas,"36.929.441,63",36929441.63,"0,00",0.00,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283626%29CM26.pdf
DIRECCION GENERAL DE CARRETERAS (M.FOMENTO),Autovía de Extremadura-Comunidad Valenciana (A-43). Tramo: Ciudad Real (N-430)- Atalaya del Cañavate (A-31). Subtramo: Manzanares Noroeste (N-IV) - Manzanares Este (N-310),"13.900.761,10",13900761.10,"12.442.813,22",12442813.22,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283626%29CM26.pdf
DIRECCION GENERAL DE CARRETERAS (M.FOMENTO),Autovia Extremadura- Comunidad Valenciana (A-43). Tramo: Ciudad Real (N-430) - Atayala de Cañavate (A-31). Subtramo: Herrera de la Mancha (N-310) - Argamasilla de Alba,"15.219.575,63",15219575.63,"0,00",0.00,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283626%29CM26.pdf
DIRECCION GENERAL DE CARRETERAS (M.FOMENTO),Autovía Extremadura - Comunidad Valenciana (A-43). Tramo: Ciudad Real (N-430) - Atalaya del Cañavete (A-31). Subtramo: Tomelloso- Límite provincia de Albacete.,"21.533.889,70",21533889.70,"9.103.704,38",9103704.38,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283626%29CM26.pdf
DIRECCION GENERAL DE CARRETERAS (M.FOMENTO),Refuerzo estructural del firme. Rehabilitación y refuerzo del firme en la N-400. entre los puntos kilométricos 0.000 y 88.400. Tramo: Toledo- Límite provincia de Cuenca,"20.680.833,36",20680833.36,"16.818.660,83",16818660.83,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283626%29CM26.pdf
DIRECCION GENERAL DE CARRETERAS (M.FOMENTO),Variante Suroeste de Talavera de la Reina. Tramo: Enlace actual con la N-V hasta p.k. 122.500 (aprox.) de la N-502,"22.377.949,60",22377949.60,"799.198,42",799198.42,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283626%29CM26.pdf
PARQUES NACIONALES (MARM),Mejora de infraestructuras cinegéticas en la Encomienda de Mudela,"137.152,04",137152.04,"0,00",0.00,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283626%29CM26.pdf
PARQUES NACIONALES (MARM),Arreglo de la casa principal del Centro Quintos de Mora,"59.600,00",59600.00,"57.901,57",57901.57,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283626%29CM26.pdf
PARQUES NACIONALES (MARM),Poda de pinos en el centro Quintos de Mora,"30.021,54",30021.54,"29.165,58",29165.58,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283626%29CM26.pdf
PARQUES NACIONALES (MARM),Instalaciones de torretas de vigilancia en el Centro Quintos de Mora,"26.053,60",26053.60,"25.311,12",25311.12,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283626%29CM26.pdf
PARQUES NACIONALES (MARM),Limpieza de cortafuegos en la finca Quintos de Mora (Los Yebenes- Toledo),"87.312,65",87312.65,"87.312,65",87312.65,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283626%29CM26.pdf
PARQUES NACIONALES (MARM),Reforma de una casa de la guardería de la finca Quintos de Mora,"49.789,09",49789.09,"48.370,19",48370.19,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283626%29CM26.pdf
PARQUES NACIONALES (MARM),"Arreglo de caminos en la finca ""Quintos de Mora"".","581.843,74",581843.74,"578.356,47",578356.47,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283626%29CM26.pdf
PARQUES NACIONALES (MARM),Instalación de Cerramiento Perimetral Paecial en la finca Quintos de Mora,"49.913,84",49913.84,"48.491,39",48491.39,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283626%29CM26.pdf
PARQUES NACIONALES (MARM),"Tratamiento servicolas en la finca""Quintos de Mora""","116.538,06",116538.06,"115.384,23",115384.23,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283626%29CM26.pdf
PARQUES NACIONALES (MARM),Limpieza de la red de cortafuegos en la finca de Quintos de Mora,"49.770,05",49770.05,"49.770,05",49770.05,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283626%29CM26.pdf
PARQUES NACIONALES (MARM),Ejecución de un centro de visitantes en Horcajo de los Montes.,"7.586.942,07",7586942.07,"3.692.436,52",3692436.52,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283626%29CM26.pdf
PARQUES NACIONALES (MARM),Adecuación viales en el Parque Nacional de Cabañeros,"268.917,25",268917.25,"227.122,84",227122.84,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283626%29CM26.pdf
PARQUES NACIONALES (MARM),"Manejo de fauna, de poblaciones de conejo y fauna piscícola","115.373,77",115373.77,"96.145,65",96145.65,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283626%29CM26.pdf
PARQUES NACIONALES (MARM),Actuaciones en el entorno del Centro de Visitantes,"239.304,12",239304.12,"239.304,12",239304.12,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283626%29CM26.pdf
PARQUES NACIONALES (MARM),Arreglo de caminos,"66.820,87",66820.87,"66.820,87",66820.87,2007,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283626%29CM26.pdf
PARQUES NACIONALES (MARM),Cerramiento de la carretera de Santa Quiteria con el Parque Nacional de Cabañeros,"55.284,15",55284.15,"53.708,66",53708.66,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283626%29CM26.pdf
PARQUES NACIONALES (MARM),Recuperación de vegetación autóctona en el P.N. De Cabañeros.,"89.642,22",89642.22,"87.087,60",87087.60,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283626%29CM26.pdf
PARQUES NACIONALES (MARM),Habilitación de infraestructura de control y de ungulados en el P.N de Cabañeros,"47.171,97",47171.97,"45.827,66",45827.66,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283626%29CM26.pdf
PARQUES NACIONALES (MARM),Control del Tarayal,"192.296,63",192296.63,"192.296,62",192296.62,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283626%29CM26.pdf
PARQUES NACIONALES (MARM),Infraestructuras de uso público,"202.287,63",202287.63,"202.287,52",202287.52,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283626%29CM26.pdf
PARQUES NACIONALES (MARM),Repoblación forestal de las parcelas: 21/polígono 58 y 134/ polígono 74. Parque Nacional Tablas de Daimiel,"93.520,00",93520.00,"68.422,58",68422.58,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283626%29CM26.pdf
PARQUES NACIONALES (MARM),Instalación de centros transformadores de luz en el P.N las Tablas de Daimiel,"128.781,80",128781.80,"125.111,76",125111.76,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283626%29CM26.pdf
PARQUES NACIONALES (MARM),"Adquisición de la finca ""Daniel Cortés"" situada en el ámbito del P.N. De Tablas de Daimiel","333.460,10",333460.10,"333.460,10",333460.10,2007,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283626%29CM26.pdf
PARQUES NACIONALES (MARM),"Adquisición de la finca ""Francisco Lozano García"" situada en el T.M. De Daimiel (Ciudad Real) en el ámbito del P.N. De Tablas de Daimiel.","286.077,52",286077.52,"286.077,52",286077.52,2007,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283626%29CM26.pdf
PARQUES NACIONALES (MARM),"Adquisición de la finca ""Ramón Lozano Hernández"" situada en el T.M. de Daimiel (Ciudad Real) en el ámbito del P.N. de Tablas de Daimiel","238.832,10",238832.10,"238.832,10",238832.10,2007,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283626%29CM26.pdf
PARQUES NACIONALES (MARM),"Adquisición de la finca ""Jesús Lozano Hernández"" situada en el T.M. De Daimiel (Ciudad Real) en el ámbito del P.N. De Tablas de Daimiel.","243.134,30",243134.30,"243.134,30",243134.30,2007,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283626%29CM26.pdf
PARQUES NACIONALES (MARM),Restauración ambiental de predios,"154.758,20",154758.20,"154.758,20",154758.20,2007,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283626%29CM26.pdf
PARQUES NACIONALES (MARM),"Adquisición de la finca ""La Duquesa"" - propiedad de la SAT 3757 Obregón","14.000.000,00",14000000.00,"14.000.000,00",14000000.00,2007,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283626%29CM26.pdf
PARQUES NACIONALES (MARM),Restauración de puentes de acceso al Molino de Molemocho en el P.N. Tablas de Daimiel,"658.464,04",658464.04,"423.440,31",423440.31,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283626%29CM26.pdf
PARQUES NACIONALES (MARM),Gestión de recursos naturales en el P.N las Tablas de Daimiel,"1.139.625,96",1139625.96,"582.707,48",582707.48,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283626%29CM26.pdf
PARQUES NACIONALES (MARM),Ejecución de capturaderos de jabalí y cerramientos de sondeos en el P.N. Tablas de Daimiel,"49.726,16",49726.16,"0,00",0.00,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283626%29CM26.pdf
PARQUES NACIONALES (MARM),Amojonamiento de predios de reciente adquisición en el P.N. Tablas,"49.553,88",49553.88,"0,00",0.00,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283626%29CM26.pdf
PARQUES NACIONALES (MARM),Servicio de conservación y mejora de hábitats de especies cinegéticas en la Encomienda de Mudela,"460.692,84",460692.84,"311.227,11",311227.11,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283626%29CM26.pdf
PARQUES NACIONALES (MARM),Adecuación estética y medioambiental del entorno de las edificaciones de Encomienda de Mudela,"314.902,07",314902.07,"298.742,34",298742.34,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283626%29CM26.pdf
CONFEDERACIÓN HIDROGRAFICA DEL GUADIANA (MARM),Actuaciones de mejora ambiental y social en el entorno natural de diversas lagunas en el T.M. De Villafranca de los Caballeros,"171.814,18",171814.18,"138.680,77",138680.77,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283626%29CM26.pdf
CONFEDERACIÓN HIDROGRAFICA DEL GUADIANA (MARM),Adecuación de infraestructuras de vigilancia y prevención frente a los incendios forestales en el t.m. de Fuentelespino de Haro,"220.406,15",220406.15,"39.818,47",39818.47,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283626%29CM26.pdf
C.H. DEL JUCAR (MARM),Adecuación socioambiental y acondicionamiento de cauces en los TT.MM. Altarejos y Cervera del Llano (Cuenca),"194.666,78",194666.78,"176.223,78",176223.78,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283626%29CM26.pdf
