nombre_beneficiario,nombre_operacion,montante_concedido,t_montante_concedido,montante_pagado_final_operacion,t_montante_pagado_final_operacion,ano_de_la_concesion_ano_del_pago,uri
Instituto Español de Comercio Exterior (ICEX) (MITC),MIVP1 MULTIS.VINOS MONOP.SAQ-CANADÁ (PI),"1.763,79",1763.79,"1.763,79",1763.79,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3040)LR11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),CAMPAÑA IMAGEN SECTOR BAÑO,"77,82",77.82,"77,82",77.82,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3040)LR11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),ACUERDO MIT/ICEX 2007/2010 EE.UU.,"2.797,57",2797.57,"2.797,57",2797.57,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3040)LR11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),"FPO4 FOOD AND HOTEL CHINA 2008, SHANGHAI","174,86",174.86,"174,86",174.86,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3040)LR11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),INSERC.PUBLICIT.ELLE DECO OCT. 2008-UK,"118,14",118.14,"118,14",118.14,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3040)LR11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),JTEC-ARQUITECTURA SUSTAINABLE BUILDING-MELBURNE'08,"74,00",74.00,"74,00",74.00,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3040)LR11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),JTEC-ARQUITECTURA SUSTAINABLE BUILDING-MELBURNE'08,"76,64",76.64,"76,64",76.64,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3040)LR11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),PGV2 SINGAPUR Y MALASIA 2008- EXP. MALASIA,"803,64",803.64,"803,64",803.64,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3040)LR11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),CPROM FLAVORS OF SPAIN - FILIPINAS 2008,"315,89",315.89,"315,89",315.89,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3040)LR11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),PGV SUIZA DIA DEL VINO Y KLEIN & FEIN 2009 (PU),"1.693,38",1693.38,"1.693,38",1693.38,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3040)LR11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),INSERC.PUBLICIT.ELLE DÉCO FRANCIA-OCTUBRE 2008,"195,80",195.80,"195,80",195.80,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3040)LR11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),INSERC.PUBLICIT.AIT OCTUBRE-ALEMANIA 2008,"137,10",137.10,"137,10",137.10,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3040)LR11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),FPINF (4) AFM '08 - SANTA MÓNICA - EEUU,"29,08",29.08,"29,08",29.08,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3040)LR11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),RRPP(3)(I)- MIPCOM - PAIS INVITADO 2008 CANNES,"194,15",194.15,"194,15",194.15,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3040)LR11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),TDW 2008(10)SEMINARIO DDI-AGENCIA,"92,32",92.32,"92,32",92.32,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3040)LR11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),FPINF-POPKOMM 2008 - BERLIN (ALEMANIA),"118,42",118.42,"118,42",118.42,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3040)LR11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),FPINF(1) - WOMEX 2008 - SEVILLA (ESPAÑA),"63,59",63.59,"63,59",63.59,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3040)LR11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),MIV - LIBER - EE.UU. 2008,"116,98",116.98,"116,98",116.98,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3040)LR11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),PGV ALEMANIA 2007-ESPECIALES VINOS DE ESPAÑA,"1.132,14",1132.14,"1.132,14",1132.14,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3040)LR11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),PGV2 JAPON 2008- ACTO PUBLICIDAD CON PAVONE,"1.036,91",1036.91,"1.036,91",1036.91,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3040)LR11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),PGV SUECIA 2008-CONCURSO DE VINOS,"891,41",891.41,"891,41",891.41,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3040)LR11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),PGV SUECIA 2008-FERIA DE IMPORTADORES,"3.273,24",3273.24,"3.273,24",3273.24,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3040)LR11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),CPSM ACEITE DE OLIVA PUBLICIDAD EEUU 2008 (PC),"2.838,79",2838.79,"2.838,79",2838.79,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3040)LR11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),"EXP ""SPAIN GOURMET TRADE FAIR"" TOKIO 2008 (PC)","78,27",78.27,"78,27",78.27,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3040)LR11.pdf
