nombre_beneficiario,nombre_operacion,montante_concedido,t_montante_concedido,montante_pagado_final_operacion,t_montante_pagado_final_operacion,ano_de_la_concesion_ano_del_pago,uri
D.G. POLITICA COMERCIAL (MITC),"EXPANSIÓN DEL PROYECTO DE CENTRO COMERCIAL ABIERTO EN MELILLA , A LA VISTA DE LOS RESULTADOS Y OBJETIVOS ALCANZADOS EN UNA PRIMERA FASE PARA LA COMPLETA IMPLANTACIÓN DE REVITALIZ .DE REVITALIZACIÓN.","250.000,00",250000.00,"0,00",0.00,2010,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3042)ME11.pdf
AUTORIDAD PORTUARIA DE MELILLA,Implantación Instalaciones de Protección del Puerto,"2.482.594,57",2482594.57,"687.837,94",687837.94,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3042)ME11.pdf
AUTORIDAD PORTUARIA DE MELILLA,Mejora de calado de Muelle Ribera II,"6.193.136,28",6193136.28,"2.587.336,82",2587336.82,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3042)ME11.pdf
AUTORIDAD PORTUARIA DE MELILLA,Urbanización explanada NE III Fase II,"253.698,78",253698.78,"152.326,86",152326.86,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3042)ME11.pdf
AUTORIDAD PORTUARIA DE MELILLA,Depósito de Bateas y Contol de Vehiculos,"324.343,54",324343.54,"300.589,10",300589.10,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3042)ME11.pdf
AUTORIDAD PORTUARIA DE MELILLA,Refuerzo estructura cargadero,"226.915,56",226915.56,"210.107,00",210107.00,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3042)ME11.pdf
AUTORIDAD PORTUARIA DE MELILLA,Conexión Red del Puerto a Subestación Eléctrica,"696.270,75",696270.75,"448.096,82",448096.82,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3042)ME11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),CAMPAÑA DE COMUNICACIÓN EN REINO UNIDO - PHE,"459,50",459.50,"459,50",459.50,2007,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3042)ME11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),CAMPAÑA DE COMUNICACIÓN EN FRANCIA - PHE,"199,26",199.26,"199,26",199.26,2007,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3042)ME11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),CAMPAÑA PROMO PUBLIRREPORTAJE TECHNOLOGY REVIEW,"16,52",16.52,"16,52",16.52,2007,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3042)ME11.pdf
