"BENEFICIARIO","TIPO DE OPERACION","GASTO PUBLICO"
"AMURRIO BIDEAN","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","545,13"
"AMURRIO BIDEAN","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","1.959,52"
"AMURRIO BIDEAN","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","10.848,14"
"AMURRIO BIDEAN","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","8.151,73"
"AMURRIO BIDEAN","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","15.730,30"
"AROGI","Favorecer la integración social y laboral de las personas inmigrantes","15.950,00"
"AROGI","Favorecer la integración social y laboral de las personas inmigrantes","18.512,25"
"ASOC. ERROAK","Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","12.061,94"
"ASOC. ERROAK","Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","52.620,71"
"ASOC. GAZTAROA","Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","15.436,58"
"ASOC. GAZTAROA","Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","55.545,81"
"ASOC. SENDOTU","Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","5.365,43"
"ASOC. ZABALTZEN","Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","10.970,34"
"ASOC. ZABALTZEN","Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","13.569,35"
"ASOC. ZABALTZEN","Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","23.258,43"
"ASOC. ZABALTZEN","Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","18.490,77"
"ASOCIACIÓN DE JÓVENES EMPRESARIOS DE 
ALAVA","Promoción del espíritu empresarial y de la adaptabilidad de las empresas y Refuerzo del 
nivel de competencia","43.000,00"
"ASPEGI","Promoción del espíritu empresarial y de la adaptabilidad de las empresas y Refuerzo del 
nivel de competencia","54.987,40"
"AYUNTAMIENTO DE GETXO","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","208,02"
"AYUNTAMIENTO DE GETXO","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","2.851,37"
"AYUNTAMIENTO DE GETXO","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","6.748,09"
"AYUNTAMIENTO DE LASARTE-ORIA","Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","90.205,10"
"AYUNTAMIENTO DE LLODIO","Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","76.776,27"
"AYUNTAMIENTO DE SANTURTZI","Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","351.155,48"
"AYUNTAMIENTO DE SESTAO - BEHARGINTZA","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","9.772,29"
"AYUNTAMIENTO DE SESTAO - BEHARGINTZA","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.951,99"
"AYUNTAMIENTO DE SESTAO - BEHARGINTZA","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","3.584,09"
"AYUNTAMIENTO DE SESTAO - BEHARGINTZA","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","9.793,80"
"AYUNTAMIENTO DE SESTAO - BEHARGINTZA","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","8.575,16"
"AYUNTAMIENTO DE VITORIA-GASTEIZ","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","26.638,95"
"AYUNTAMIENTO DE VITORIA-GASTEIZ","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","76.954,87"
"AYUNTAMIENTO DE VITORIA-GASTEIZ","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.133,68"
"AYUNTAMIENTO DE VITORIA-GASTEIZ","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","10.065,29"
"AYUNTAMIENTO DE VITORIA-GASTEIZ","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","6.214,78"
"AYUNTAMIENTO DE VITORIA-GASTEIZ","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","176.251,33"
