"Koodi","Rahasto","Projektin nimi","Ohjelma / osio","Tl","Viranomainen","Toiminnan tila","Aloituspvm","Päättymispvm","Toteuttajan nimi","Myönnetty,EU-rahoitus","Toteutunut,EU-rahoitus","Myönnetty,valtion,rahoitus","Toteutunut,valtion,rahoitus","Suunniteltu,julkinen,rahoitus,yhteensä","Toteutunut,julkinen,rahoitus,yhteensä"
"S11278","ESF","Nanotech North-Karelia","Itä-Suomen suuralueosio",3,"Pohjois-Karjalan elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",11/09/09,31/12/10,"Joensuun Tiedepuisto Oy",74612,0,0,0,84529,0
"S11279","ESF","Nanotech South-Savo","Itä-Suomen suuralueosio",4,"Etelä-Savon elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",07/09/09,31/12/10,"Miktech Oy",74611,0,0,0,84528,0
"S11280","ESF","Kompassi, työvoimapoliittiset toimenpiteet","Pohjois-Suomen suuralueosio",2,"Lapin elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/08/09,31/12/12,"Lapin elinkeino-,liikenne- ja ympäristökeskus",123000,0,0,0,802600,0
"S11281","ESF","Innovaatioassistentti - korkeakoulupohjaista osaamista yrityksiin ja työorganisaatioihin / työvoimapoliittiset toimet","Itä-Suomen suuralueosio",2,"Pohjois-Karjalan elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/11/09,31/07/12,"Pohjois-Karjalan TE-keskus",82000,0,0,0,209000,0
"S11282","ESF","Kerttu ja Kauko","Pohjois-Suomen suuralueosio",2,"Pohjois-Pohjanmaan elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/04/10,31/03/13,"Pudasjärven kaupunki",126574,0,0,0,476552,0
"S11283","ESF","VALO- projekti (välityömarkkinoilla olevien ammattitaidon lisääminen opetuksella)","Länsi-Suomen suuralueosio",2,"Satakunnan elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/04/10,31/08/13,"Rauman Seudun Katulähetys ry",430350,0,0,0,971750,0
"S11284","ESF","Upeeta 3 - Uutta palveluliiketoimintaa ennalta ehkäisyn ja työhyvinvoinnin avuksi","Etelä-Suomen suuralueosio",1,"Hämeen elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/01/10,31/12/11,"Lahden Alueen Kehittämisyhtiö Oy",95667,0,0,0,202589,0
"S11285","ESF","Ammattikorkeakoulujen neloskierre","Valtakunnallinen osio",3,"Pohjois-Pohjanmaan elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/09/09,31/08/12,"HAAGA-HELIA ammattikorkeakoulu",405013,0,0,0,1291013,0
"S11286","ESF","Nuorten ammatinvalintaan ohjaava toiminta Kainuussa","Itä-Suomen suuralueosio",2,"Kainuun elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/02/10,31/12/12,"Spartak Kajaani Ry",181885,0,0,0,669549,0
"S11287","ESF","SITEB - Structures for International Technology Education Business","Länsi-Suomen suuralueosio",3,"Keski-Suomen elinkeino-, liikenne- ja ympäristökeskus","Toiminnassa",01/04/10,31/12/12,"Jyväskylän Ammattikorkeakoulu Oy",194455,0,0,0,415250,0
