,Rahasto,Projektin nimi,Ohjelma / osio,Tl,Viranomainen,Toiminnan tila,Aloituspvm,Päättymispvm,Toteuttajan nimi,Myönnetty EU-rahoitus,Toteutunut EU-rahoitus,Myönnetty valtion rahoitus,Toteutunut valtion rahoitus,Suunniteltu julkinen rahoitus yhteensä,Toteutunut julkinen rahoitus yhteensä
A536495,EAKR,Lifestylemalliston markkinaedellytysten kartoitus Aasian markkinoille,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Mellersta Finland, företagsstöd",Verksamheten har upphört,11.9.2007,31.12.2008,PENAUDIO OY,4 500,1 606,4 500,1 606,9 000,3 212
A536496,EAKR,Seudullinen yrityspalvelupiste -jatkohanke,Västra Finland,2,"Närings-, trafik- och miljöcentralen i Mellersta Finland, företagsstöd",Verksamheten har upphört,12.9.2007,28.2.2008,KEHITTÄMISYHTIÖ WITAS OY,4 750,4 262,4 750,4 262,19 000,17 048
A536514,EAKR,Investointeja.,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Satakunta, företagsstöd",Verksamheten har upphört,12.6.2007,31.7.2009,KONEISTUS J. SALMINEN OY,73 020,69 353,109 530,104 029,182 550,173 382
A536525,EAKR,Toiminnan kehittäminen,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Birkaland, företagsstöd",Verksamheten har upphört,21.9.2007,31.12.2008,DELTAREC OYSAPPEENVUOREN HIIHTOKESKUS,9 000,9 000,9 000,9 000,18 000,18 000
A536543,EAKR,Kansainvälistymishanke,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Mellersta Finland, företagsstöd",Verksamheten har upphört,20.9.2007,31.10.2008,LARGOS OY,9 000,8 004,9 000,8 002,18 000,16 006
A536547,EAKR,MISU-projekti,Västra Finland,2,"Närings-, trafik- och miljöcentralen i Mellersta Finland, företagsstöd",Verksamheten har upphört,20.9.2007,31.3.2009,INS.TSTO PEURA OY,8 435,7 589,8 435,7 588,16 870,15 177
A536548,EAKR,Polttopulverimaalaamo,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Mellersta Finland, företagsstöd",Verksamheten har upphört,20.9.2007,31.8.2008,JYVÄSSEUDUN PULVERIMAALAAMO OY,9 000,8 729,9 000,8 728,18 000,17 457
A536551,EAKR,Pinnoituskapsiteetin kasvattaminen,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Mellersta Finland, företagsstöd",Verksamheten har upphört,21.9.2007,31.1.2009,JR-TOOLS OY,73 875,73 875,73 875,73 875,147 750,147 750
A536552,EAKR,Tuotekehitys- ja toiminnan tehostamisprojekti,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Södra Österbotten, företagsstöd",Verksamhet pågår,25.9.2007,30.9.2009,TRAYPACK ENGINEERING OY,39 263,0,59 887,0,99 150,0
A536574,EAKR,Projekti viennin lisäämiseksi Ruotsiin,Västra Finland,1,"Närings-, trafik- och miljöcentralen i Södra Österbotten, företagsstöd",Verksamheten har upphört,27.9.2007,30.4.2008,KAUHAJOEN KALUSTE TEAM OY,8 292,8 292,12 648,12 648,20 940,20 940
