Koodi,Rahasto,Projektin nimi,Ohjelma / osio,Tl,Viranomainen,Toiminnan tila,Aloituspvm,P‰‰ttymispvm,Toteuttajan nimi,Myˆnnetty EU-rahoitus,Toteutunut EU-rahoitus,Myˆnnetty valtion rahoitus,Toteutunut valtion rahoitus,Suunniteltu julkinen rahoitus yhteens‰,Toteutunut julkinen rahoitus yhteens‰
A536484,EAKR,Puupohjaisen kissanhiekan ja muiden puupohjaisten lemmikkiel‰intuotteiden valmistus.,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Sˆdra Savolax, fˆretagsstˆd",Verksamheten har upphˆrt,18.9.2007,31.12.2015,NORDIC GRANULE LTD OY,0,0,0,0,0,0
A536485,EAKR,Tuotantoteknologian kehitt‰minen,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Sˆdra Savolax, fˆretagsstˆd",Verksamheten har upphˆrt,18.9.2007,31.12.2008,ROTOMON  OY,49 329,49 329,31 671,31 671,81 000,81 000
A536486,EAKR,P‰‰tˆksenteon tukeminen ja johtamisprosessin kehitt‰minen,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Norra Savolax, fˆretagsstˆd",Verksamheten har upphˆrt,18.9.2007,31.12.2008,KULJETUS WELIN OY,14 586,14 277,9 364,9 166,23 950,23 443
A536488,EAKR,RTG Active Oy tulee toimimaan t‰rke‰ss‰ roolissa Vuokatin alueen matkailullisessa kehitt‰misess‰. Yritys rakentaa omaa uutta ohjelmapalvelutuotantoa uuden Sokos Hotel Vuokatin toimintaymp‰ristˆˆn hyˆtyk‰ytt‰en hotellin tiloja ja l‰hiymp‰ristˆ‰ sek‰ valmiita reittej‰.,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Kajanaland, fˆretagsstˆd",Verksamhet pÂgÂr,1.11.2007,30.10.2009,RTG ACTIVE OY,62 862,37 536,61 618,36 792,124 480,74 328
A536539,EAKR,Yrityksen johtamis- ja hallintaj‰rjestelmien kehitt‰minen.,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Norra Karelen, fˆretagsstˆd",Verksamhet pÂgÂr,1.10.2007,30.9.2009,ITƒ-SUOMEN METALLI KY,16 248,11 663,10 432,7 488,26 680,19 151
A536540,EAKR,Avainhenkilˆtuki Puunalle Oy:lle palkattavalle vientip‰‰llikˆlle.,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Norra Karelen, fˆretagsstˆd",Verksamhet pÂgÂr,1.1.2008,31.12.2008,PUUNALLE OY,18 118,0,11 632,0,29 750,0
A536549,EAKR,Kalustekomponenttitehdas.,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Norra Savolax, fˆretagsstˆd",Verksamhet pÂgÂr,25.9.2007,31.12.2010,KUOPION JR-KEITTI÷KALUSTE RYYNƒNEN KY,131 544,72 139,84 456,46 315,221 783,118 887
A536557,EAKR,Omien toimitilojen rakentaminen,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Sˆdra Savolax, fˆretagsstˆd",Verksamheten har upphˆrt,25.9.2007,31.7.2009,RELLA VINUR OY,50 425,46 698,32 375,29 980,82 800,80 318
A536563,EAKR,Leipomon tuotantolinjan kehitt‰minen.,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Kajanaland, fˆretagsstˆd",Verksamhet pÂgÂr,3.10.2007,31.5.2010,HYVƒRISEN LEIPOMO OY,24 240,13 972,23 760,13 696,48 000,27 668
A536577,EAKR,ƒ‰nenetoistolaitteisto investoinnit.,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Kajanaland, fˆretagsstˆd",Verksamhet pÂgÂr,1.10.2007,1.10.2009,PHANTOM AUDIO OY,5 489,3 842,5 381,3 766,10 870,7 608
A536583,EAKR,Kuvantamisyksikˆn perustaminen,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Norra Savolax, fˆretagsstˆd",Verksamhet pÂgÂr,27.9.2007,30.9.2009,CEREBRICON OY,151 641,130 082,97 359,83 518,249 000,213 600
A536598,EAKR,Virtuaalisen toimiston infran rakentaminen,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Sˆdra Savolax, fˆretagsstˆd",Verksamhet pÂgÂr,28.9.2007,31.12.2009,SIHTEERIPALVELU NIKSI,3 264,2 526,2 096,1 621,5 360,4 147
A536606,EAKR,Yrityksen aloitusinvestoinnit,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Norra Karelen, fˆretagsstˆd",Verksamheten har upphˆrt,27.9.2007,31.12.2008,E-GLOBE INNOVATIONS OY,30 888,25 263,19 832,16 219,50 720,41 482
A536623,EAKR,Ovi- ja komponenttituotannon k‰ynnist‰minen,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Sˆdra Savolax, fˆretagsstˆd",Verksamhet pÂgÂr,2.10.2007,30.6.2010,VIREPUU OY,121 800,88 144,78 200,56 592,228 506,152 888
A536625,EAKR,"Metallin erikoispintak‰sittelyprojekti, Varkaus.",÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Norra Savolax, fˆretagsstˆd",Verksamhet pÂgÂr,2.10.2007,31.12.2009,CRTE-PLATING OY,142 506,124 832,91 494,80 147,249 469,220 448
A536345,EAKR,Kaavoituksen automatisointi,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Norra Karelen, fˆretagsstˆd",Verksamheten har upphˆrt,3.9.2007,30.6.2008,HOUSUHUONE SOILI KURIKKA-MONONEN  TMI,3 745,2 152,2 405,1 383,6 150,3 535
A536350,EAKR,Keski-Karjalan seudun matkailun Master Plan 2007 - 2013.,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Norra Karelen, fˆretagsstˆd",Verksamheten har upphˆrt,3.9.2007,30.6.2008,KESKI-KARJALAN KEHITYSYHTI÷ OY,26 948,19 351,17 302,12 424,44 250,31 775
A536364,EAKR,Kaivostoiminnan infra-investoinnit,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Norra Karelen, fˆretagsstˆd",Verksamhet pÂgÂr,4.9.2007,31.7.2010,ENDOMINES OY,1 562 400,0,957 600,0,2 520 000,0
A536378,EAKR,Liimauslinjaston investointi.,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Norra Savolax, fˆretagsstˆd",Verksamheten har upphˆrt,4.9.2007,31.12.2009,LAMIFORMING OY,23 751,20 932,15 249,13 438,41 474,36 979
A536401,EAKR,S‰hkˆisen liiketooiminnan ratkaisu hoitotyˆhˆn,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Norra Savolax, fˆretagsstˆd",Verksamhet pÂgÂr,6.9.2007,30.9.2009,KOTIPALVELU VERENPISARA AVOIN YHTI÷,5 202,4 420,3 338,2 838,8 540,7 258
A536423,EAKR,Konepajan laajennus ja tuotantomenetelmien kehitt‰minen,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Sˆdra Savolax, fˆretagsstˆd",Verksamhet pÂgÂr,10.9.2007,31.1.2009,TEEMASTEK OY,25 158,18 383,16 152,11 803,41 310,30 186
A536434,EAKR,Avarruskone,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Sˆdra Savolax, fˆretagsstˆd",Verksamheten har upphˆrt,11.9.2007,30.6.2008,MARAKO-METALL OY,60 291,60 291,38 709,38 709,99 000,99 000
A536435,EAKR,Tuotannon kehitt‰minen,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Sˆdra Savolax, fˆretagsstˆd",Verksamhet pÂgÂr,11.9.2007,28.2.2009,HAAPAKOSKEN TEHDAS OY,46 406,0,29 794,0,76 200,0
A536440,EAKR,Uusien tuotteiden kehitt‰minen,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Norra Karelen, fˆretagsstˆd",Verksamhet pÂgÂr,11.9.2007,31.12.2009,EK-TIIMI OY,5 329,0,3 421,0,8 750,0
A536446,EAKR,Kivenjalostuskoneiden hankinta,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Norra Karelen, fˆretagsstˆd",Verksamhet pÂgÂr,12.9.2007,30.6.2009,VUOLERI OY,64 859,55 957,41 641,35 926,106 500,91 883
A536448,EAKR,Tuotannon kehitt‰minen,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Sˆdra Savolax, fˆretagsstˆd",Verksamheten har upphˆrt,12.9.2007,30.4.2009,TAKE-PAJA,13 114,13 114,10 686,10 686,23 800,23 800
A536455,EAKR,"Suonenjoen Sementtituote Oy:n varastoinnin, logistiikan ja korkealuokkaisten raaka-aineiden valmistuksen investointi.",÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Norra Savolax, fˆretagsstˆd",Verksamhet pÂgÂr,13.9.2007,31.12.2010,SUONENJOEN SEMENTTITUOTE OY,60 648,0,44 352,0,105 000,0
A536457,EAKR,Pystykaraisen tyˆstˆkeskuksen hankinta,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Norra Savolax, fˆretagsstˆd",Verksamheten har upphˆrt,14.9.2007,30.9.2008,PALFIN OY,30 401,30 388,20 599,20 590,51 000,50 978
A536032,EAKR,Toiminnan laajentamisen edellytt‰m‰t investoinnit,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Norra Karelen, fˆretagsstˆd",Verksamheten har upphˆrt,14.8.2007,31.12.2008,LIEKSAN LAATUHERKUT OY,55 419,52 561,35 581,33 746,91 000,86 307
A536043,EAKR,Konepajatoiminnan palvelusegmentin laajentaminen,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Sˆdra Savolax, fˆretagsstˆd",Verksamhet pÂgÂr,16.8.2007,31.12.2008,ARKTOS GROUP LTD OY,45 127,18 095,28 973,11 617,74 100,29 712
A536125,EAKR,Ohjelmapalvelujen kehitt‰minen,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Sˆdra Savolax, fˆretagsstˆd",Verksamheten har upphˆrt,22.8.2007,31.12.2007,KERIMAAN LOMAKESKUS OY,6 991,6 778,4 489,4 351,11 480,11 129
A536163,EAKR,Laitehuonetuotannon k‰ynnist‰minen,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Sˆdra Savolax, fˆretagsstˆd",Verksamhet pÂgÂr,23.8.2007,31.3.2009,SAVON SILMƒ OY / CONTECOR,19 391,11 906,12 449,7 644,31 840,19 550
A536191,EAKR,HTec 2010,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Norra Savolax, fˆretagsstˆd",Verksamhet pÂgÂr,27.8.2007,31.12.2010,HT LASER OY,339 213,0,217 787,0,557 000,0
A536274,EAKR,Energiapuulogistiikan kehitt‰minen,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Sˆdra Savolax, fˆretagsstˆd",Verksamheten har upphˆrt,1.9.2007,30.9.2008,BIO-ESME OY,9 500,8 804,6 100,5 652,15 600,14 456
A536279,EAKR,Toiminnan k‰ynnist‰minen,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Norra Savolax, fˆretagsstˆd",Verksamhet pÂgÂr,30.8.2007,31.8.2010,BIOSAFE - SPECIAL LABORATORY SERVICES LTD,94 213,38 499,60 487,24 716,154 700,63 215
A536316,EAKR,Laatuj‰rjestelm‰n ja tuotannon kehitt‰mishanke.,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Kajanaland, fˆretagsstˆd",Verksamhet pÂgÂr,31.8.2007,31.12.2008,KIANTAMA OY,41 935,41 935,41 103,41 103,83 038,83 038
A536639,EAKR,Tuotannon laajentaminen,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Sˆdra Savolax, fˆretagsstˆd",Verksamheten har upphˆrt,4.10.2007,30.5.2008,JUVAN LASIPALVELU KY,4 951,4 945,3 179,3 175,8 130,8 120
A536651,EAKR,Tehokkuusinvestointi.,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Kajanaland, fˆretagsstˆd",Verksamheten har upphˆrt,5.10.2007,31.12.2009,KUHMO KEITTI÷T OY,7 460,7 460,4 790,4 790,12 250,12 250
A536664,EAKR,Kaiuttimien valmistustoiminnan aloittaminen,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Norra Karelen, fˆretagsstˆd",Verksamhet pÂgÂr,8.10.2007,30.6.2009,A+AUDIO OY,43 988,0,28 242,0,72 230,0
A536669,EAKR,Betoniraudoitetehtaan perustaminen Vaalaan,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Kajanaland, fˆretagsstˆd",Verksamhet pÂgÂr,1.11.2007,31.3.2009,MAR-RAUDOITE OY,57 743,57 743,37 072,37 072,94 815,94 815
A536686,EAKR,perhekuntoutusarvioinnin ja intervention kehitt‰minen huostaanottojen ehk‰isemiseksi,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Norra Savolax, fˆretagsstˆd",Verksamheten har upphˆrt,15.10.2007,30.12.2008,KAREKUNTOUTUS OY,11 571,1 964,7 429,1 261,19 000,3 225
A536692,EAKR,Energiatalouden kehitt‰minen.,÷stra Finland,1,"N‰rings-, trafik- och miljˆcentralen i Norra Karelen, fˆretagsstˆd",Verksamhet pÂgÂr,11.10.2007,31.12.2009,ENERS-SEURANTA OY,27 283,17 261,17 517,11 083,44 800,28 344
