Liste des organismes bénéficiaires du Volet national du Fonds social européen en France,,,,,,,,,
"Nota bene : ces données concernent les projets pour lesquels le concours des Fonds européens a été approuvé en comité de programmation
Données actualisées au 18/10/2009",,,,,,,,,
Nom ou raison sociale du bénéficiaire,Intitulé du dossier,Montant du projet en coût total,Montant du cofinanceur européen,Fonds européen concerné,Région de localisation du dossier,Localisation,Programme,Catégorisation,Libellé catégorisation
ADISES ACTIVE,"Développement et intégration dans l'économie locale des entreprenariats d'insertion, d'utilité sociale et de solidarité","220,530 €","55,000 €",FONDS SOCIAL EUROPEEN,RHONE-ALPES,,Programme opérationnel national Fonds social européen,68,Aide au travail indépendant et à la création d'entreprise
AETE - ASSOCIATION EUROPEDITERRANEENNE POUR LE TRAVAIL ET LES ECHANGES,ENTREPRENDRE QUAND MEME,"44,750 €","14,750 €",FONDS SOCIAL EUROPEEN,999,,Programme opérationnel national Fonds social européen,68,Aide au travail indépendant et à la création d'entreprise
AETE - ASSOCIATION EUROPEDITERRANEENNE POUR LE TRAVAIL ET LES ECHANGES,ENTREPRENDRE QUAND MEME,"44,750 €","14,750 €",FONDS SOCIAL EUROPEEN,999,,Programme opérationnel national Fonds social européen,70,Actions spécifiques pour renforcer la participation des migrants sur le marché du travail...
AETE - ASSOCIATION EUROPEDITERRANEENNE POUR LE TRAVAIL ET LES ECHANGES,ENTREPRENDRE QUAND MEME,"44,750 €","14,750 €",FONDS SOCIAL EUROPEEN,999,,Programme opérationnel national Fonds social européen,80,"Promouvoir les partenariats, les pactes et les initiatives par la mise en réseau des acteurs concernés"
AFILE 77,"Développement et intégration dans l'économie locale des entreprenariats d'insertion, d'utilité sociale et de solidarité","230,158 €","38,219 €",FONDS SOCIAL EUROPEEN,ILE-DE-FRANCE,,Programme opérationnel national Fonds social européen,68,Aide au travail indépendant et à la création d'entreprise
AFPA Direction de l'Ingénierie Département Industrie,Industrie citoyenne,"148,413 €","81,620 €",FONDS SOCIAL EUROPEEN,999,,Programme opérationnel national Fonds social européen,73,Mesures pour renforcer la participation dans l'éducation et la formation tout au long de la vie...
AFPA Direction de l'Ingénierie Département Industrie,Industrie citoyenne,"148,413 €","81,620 €",FONDS SOCIAL EUROPEEN,999,,Programme opérationnel national Fonds social européen,80,"Promouvoir les partenariats, les pactes et les initiatives par la mise en réseau des acteurs concernés"
AGEFOS PME,Appui technique au réseau AGEFOS PME dans la mise en oeuvre de la nouvelle programmation 2007-2013,"554,510 €","210,000 €",FONDS SOCIAL EUROPEEN,999,,Programme opérationnel national Fonds social européen,86,Evaluation et études; information et communication
AGEFOS PME,Extension de l'expérimentation du CTP sur 25 bassins d'emploi,"10,700,000 €","5,700,000 €",FONDS SOCIAL EUROPEEN,999,,Programme opérationnel national Fonds social européen,64,"Développement de services spécifiques d'emploi, de formation et de soutien dans le contexte de restructuration sectorielle..."
Agence de valorisation des initiatives socio-économiques (AVISE),Appui aux acteurs de l'économie sociale sur l'accès au FSE,"142,000 €","80,000 €",FONDS SOCIAL EUROPEEN,999,,Programme opérationnel national Fonds social européen,80,"Promouvoir les partenariats, les pactes et les initiatives par la mise en réseau des acteurs concernés"
Agence de valorisation des initiatives socio-économiques (AVISE),Assistance Technique,"80,000 €","56,000 €",FONDS SOCIAL EUROPEEN,999,,Programme opérationnel national Fonds social européen,85,"Préparation, mise en oeuvre, suivi et inspection "
Agence de valorisation des initiatives socio-économiques (AVISE),Programme Centre ressources pour l'appui aux collectivités territoriales dans leur politique en faveur de l'ESS,"155,000 €","35,000 €",FONDS SOCIAL EUROPEEN,999,,Programme opérationnel national Fonds social européen,80,"Promouvoir les partenariats, les pactes et les initiatives par la mise en réseau des acteurs concernés"
Agence de valorisation des initiatives socio-économiques (AVISE),Programme Dispositif d'accompagnement DLA-C2RA-CNAR,"1,000,000 €","450,000 €",FONDS SOCIAL EUROPEEN,999,,Programme opérationnel national Fonds social européen,80,"Promouvoir les partenariats, les pactes et les initiatives par la mise en réseau des acteurs concernés"
