"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégorisation","Libellé catégorisation"
"ACIDD","Internet, nouvelles technologies et développement durable: programme TIC 21 ",407000,200000,"FEDER ",999,,"EUROP'ACT",86,"Evaluation et études; information et communication"
"ASP","Accompagnement à la mise en uvre du dispositif de suivi du CRSN (groupe de suivi et groupes thématiques)",141760,77684.48,"FEDER ",999,,"EUROP'ACT",86,"Evaluation et études; information et communication"
"ASP","Accompagnement des manifestations organisées en régions",75000,41100,"FEDER ",999,,"EUROP'ACT",86,"Evaluation et études; information et communication"
"ASP","Accord-cadre pour un accompagnement, de type assistance à maîtrise d'ouvrage, sur l'évaluation des programmes opérationnels européens et des contrats de projets Etat-Régions pour la période 2008-2012",438200,240133.6,"FEDER ",,,"EUROP'ACT",86,"Evaluation et études; information et communication"
"ASP","Achat d'un outil de réalisation de newsletter électronique pour le programme Europ'Act",5980,3277.04,"FEDER ",999,,"EUROP'ACT",86,"Evaluation et études; information et communication"
"ASP","Actions d'accompagnement du séminaire  Objectif Com' 2009 ",36000,19728,"FEDER ",999,,"EUROP'ACT",86,"Evaluation et études; information et communication"
"ASP","Actions d'animation et de communication 2009",35000,19180,"FEDER ",999,,"EUROP'ACT",85,"Préparation, mise en oeuvre, suivi et inspection "
"ASP","Appui à l'organisation du séminaire franco-espagnol sur l'innovation soutenue par les fonds européens les 18 & 19 mai 2009",43900,24057.2,"FEDER ",99,"HORS FRANCE / HORS FRANCE / HORS FRANCE / HORS FRANCE","EUROP'ACT",86,"Evaluation et études; information et communication"
"ASP","Assistance à Maîtrise d'Ouvrage (AMO) pour la refonte du site Internet www.projetsdeurope.gouv.fr ",135000,73980,"FEDER ",999,,"EUROP'ACT",86,"Evaluation et études; information et communication"
"ASP","Clubs animateurs 2009 ",16800,9206.4,"FEDER ",999,,"EUROP'ACT",85,"Préparation, mise en oeuvre, suivi et inspection "
"ASP","Conception, développement, maintenance et assistance technique infocentre 2008-2010",596250,326745,"FEDER ",999,,"EUROP'ACT",85,"Préparation, mise en oeuvre, suivi et inspection "
"ASP","Conception, Impression et Routage de documents pour le programme Europ'Act",234000,128232,"FEDER ",999,,"EUROP'ACT",86,"Evaluation et études; information et communication"
"ASP","Conception, réalisation et diffusion des kits de publicité 2007-2013.",278096,152396.6,"FEDER ",999,,"EUROP'ACT",86,"Evaluation et études; information et communication"
"ASP","Coûts de fonctionnement des équipes opérationnelles Europ'Act de l'ASP et de la Diact",75000,41100,"FEDER ",999,,"EUROP'ACT",86,"Evaluation et études; information et communication"
"ASP","Création d'une plate-forme juridique nationale temporaire des politiques régionales européennes",14399.84,7891.11,"FEDER ",999,,"EUROP'ACT",86,"Evaluation et études; information et communication"
"ASP","Cycle de formation liée à la communication",139000,76172,"FEDER ",999,,"EUROP'ACT",86,"Evaluation et études; information et communication"
"ASP","Cycle de formations liées à l'évaluation",390000,213720,"FEDER ",999,,"EUROP'ACT",86,"Evaluation et études; information et communication"
"ASP","Equipe du maître d'ouvrage délégué 2009-2011 ",2450000,1342600,"FEDER ",999,,"EUROP'ACT",85,"Préparation, mise en oeuvre, suivi et inspection "
"ASP","Equipements informatiques 2009-2011",21000,11508,"FEDER ",999,,"EUROP'ACT",85,"Préparation, mise en oeuvre, suivi et inspection "
"ASP","Etats d'avancements des programmes européens 2007-2013",131600,72116.8,"FEDER ",999,,"EUROP'ACT",86,"Evaluation et études; information et communication"
"ASP","Etudes et évaluations spécifiques aux thématiques communication 2008-2010",100000,54800,"FEDER ",999,,"EUROP'ACT",86,"Evaluation et études; information et communication"
