"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégo- -risation","Libellé catégorisation"
"Action immobilière de Sélestat et environs","Réhabilitation de 20 logements locatifs en efficacité énergétique élevée ","288,694 €","105,000 €","FEDER ","ALSACE","ALSACE",,"43","Efficacité énergétique, cogénération, gestion de l'énergie"
"AERIAL","Mise en place de l'Unité Mixte Technologique  Méthodes analytiques et nutrimarqueurs  - Année 2007","142,000 €","69,981 €","FEDER ","ALSACE","ALSACE",,"1","Activités R&DT dans centres de recherche"
"AERIAL","Mise en place de l'Unité Mixte Technologique  Méthodes analytiques et nutrimarqueurs  - Année 2008","166,325 €","49,898 €","FEDER ","ALSACE","ALSACE",,"1","Activités R&DT dans centres de recherche"
"AERIAL","Mise en place de l'unité Mixte Technologique  Méthodes analytiques et nutrimarqueurs  - Année 2009","200,000 €","60,000 €","FEDER ","ALSACE","ALSACE",,"1","Activités R&DT dans centres de recherche"
"AFPA Direction régionale","Rénovation et équipement du centre AFPA Strasbourg","489,000 €","175,000 €","FEDER ","ALSACE","ALSACE",,"71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Agence Régionale de l'Innovation","Accompagnement et soutien des initiatives Cluster - 2007","60,588 €","30,294 €","FEDER ","ALSACE","ALSACE",,"3","Transfert de technologie et amélioration des réseaux de coopération..."
"Agence Régionale de l'Innovation","Accompagnement et soutien des initiatives Clusters (2008)","139,034 €","46,345 €","FEDER ","ALSACE","ALSACE",,"3","Transfert de technologie et amélioration des réseaux de coopération..."
"Agence Régionale de l'Innovation","Accompagnement et soutien des initiatives Clusters - 2009","144,000 €","48,000 €","FEDER ","ALSACE","ALSACE",,"3","Transfert de technologie et amélioration des réseaux de coopération..."
"Agence Régionale de l'Innovation","Assises de l'Innovation en Alsace (2008)","49,088 €","12,272 €","FEDER ","ALSACE","ALSACE",,"3","Transfert de technologie et amélioration des réseaux de coopération..."
"Agence Régionale de l'Innovation","Diagnostic Régional de l'Innovation","201,982 €","100,679 €","FEDER ","ALSACE","ALSACE",,"5","Services de soutien avancé aux sociétés et groupes de sociétés"
"Agence Régionale de l'Innovation","Mission Europe 2008","96,591 €","31,048 €","FEDER ","ALSACE","ALSACE",,"5","Services de soutien avancé aux sociétés et groupes de sociétés"
"Agence Régionale de l'Innovation","Mission Europe 2009","114,380 €","36,793 €","FEDER ","ALSACE","ALSACE",,"5","Services de soutien avancé aux sociétés et groupes de sociétés"
"Agence Régionale de l'Innovation","Promotion et fédération des 6 CRITT d'Alsace - 2009","81,220 €","40,610 €","FEDER ","ALSACE","ALSACE",,"3","Transfert de technologie et amélioration des réseaux de coopération..."
"Agence Régionale de l'Innovation","Promotion et fédération des 6 CRITTs - 2007","47,455 €","23,727 €","FEDER ","ALSACE","ALSACE",,"3","Transfert de technologie et amélioration des réseaux de coopération..."
"Agence Régionale de l'Innovation","Promotion et fédération des 6 CRITTs d'Alsace - 2008","89,500 €","44,750 €","FEDER ","ALSACE","ALSACE",,"3","Transfert de technologie et amélioration des réseaux de coopération..."
"Agence Régionale de l'Innovation","Semaine de l'Innovation en Alsace du 22 au 26 juin 2009","99,895 €","24,974 €","FEDER ","ALSACE","ALSACE",,"3","Transfert de technologie et amélioration des réseaux de coopération..."
"Agrivalor énergie","Création d'une unité de méthanisation sur l'exploitation agricole SCEA Ferme de l'Hirondelle ","7,676,957 €","500,000 €","FEDER ","ALSACE","ALSACE",,"41","Energie renouvelable: biomasse"
"Alsabail Alsacienne de crédit bail immobilier","Construction de locaux d'activité pour les entreprises Marwo et Isola","1,700,000 €","200,000 €","FEDER ","ALSACE","ALSACE",,"8","Autres investissements en entreprises"
"Alsace International","Démarche de dynamique collective du cluster Energivie","57,408 €","17,223 €","FEDER ","ALSACE","ALSACE",,"3","Transfert de technologie et amélioration des réseaux de coopération..."
"ARIA Alsace - Association Régionale des Industries Agro-alimentaires d'Alsace","Structuration de la filière agro-alimentaire","138,900 €","41,670 €","FEDER ","ALSACE","ALSACE",,"3","Transfert de technologie et amélioration des réseaux de coopération..."
"Association ALEOS","Réhabilitation de logements sociaux basse consommation énergétique à Saint-Louis","642,161 €","105,000 €","FEDER ","ALSACE","ALSACE",,"43","Efficacité énergétique, cogénération, gestion de l'énergie"
"Association Catholique d'Education et d'Enseignement Matzenheim-Mulhouse (ACEEMM)","Construction d'une chaufferie centrale au bois au Collège St-Joseph à Matzenheim","811,950 €","162,390 €","FEDER ","ALSACE","ALSACE",,"41","Energie renouvelable: biomasse"
"Association de promotion et de développement de la chimie","Structuration de la filière chimie en Alsace","268,300 €","79,300 €","FEDER ","ALSACE","ALSACE",,"3","Transfert de technologie et amélioration des réseaux de coopération..."
"Association des Régions Françaises du Grand Est (ARFGE)","Start Est 2008 - Rencontres du Capital et de l'Innovation du Grand Est les 27 et 28 novembre 2008 à Strasbourg","106,209 €","19,430 €","FEDER ","ALSACE","ALSACE",,"5","Services de soutien avancé aux sociétés et groupes de sociétés"
"Association du Pays Bruche Mossig Piémont","Plan climat territoriall Bruche-Mossig-Piémont - Animation","185,000 €","55,500 €","FEDER ",,,,"49","Atténuation et adaptation au changement climatique"
"Association  Oeuvre Schyrr ","Création d'un EHPAD Bâtiment Basse Consommation","796,550 €","300,000 €","FEDER ","ALSACE","ALSACE",,"43","Efficacité énergétique, cogénération, gestion de l'énergie"
"Association pour le développement de la filière sciences de la vie-santé en Alsace","Structuration du cluster Alsace Biovalley","617,928 €","185,378 €","FEDER ","ALSACE","ALSACE",,"3","Transfert de technologie et amélioration des réseaux de coopération..."
"Association pour le développement de la filière sciences de la vie-santé en Alsace","Structuration du cluster Alsace Biovalley - 2009","550,000 €","165,000 €","FEDER ","ALSACE","ALSACE",,"3","Transfert de technologie et amélioration des réseaux de coopération..."
"Association pour le Développement de l'Alsace du Nord (ADEAN)","Plan Climat Territorial de l'Alsace du Nord (volet animation)","185,000 €","55,500 €","FEDER ","ALSACE","ALSACE",,"49","Atténuation et adaptation au changement climatique"
"BIO67-CUS","Transfert et aménagement d'un laboratoire d'analyses médicales","145,000 €","21,750 €","FEDER ","ALSACE","ALSACE",,"76","Infrastructures pour la santé"
"CEEI - Centre Européen Entreprise et Innovation","2ème saison de l'Innovation: Concours Alsace Innovation et Festival des Entrepreneurs innovants","236,895 €","55,000 €","FEDER ","ALSACE","ALSACE",,"3","Transfert de technologie et amélioration des réseaux de coopération..."
"CEEI - Centre Européen Entreprise et Innovation","6ème édition du Concours Alsace Innovation et Festival des Entrepreneurs innovants","167,893 €","40,900 €","FEDER ","ALSACE","ALSACE",,"3","Transfert de technologie et amélioration des réseaux de coopération..."
"CEEI - Centre Européen Entreprise et Innovation","Détection et accompagnement des porteurs de projet de création d'activité innovante","530,521 €","145,000 €","FEDER ","ALSACE","ALSACE",,"5","Services de soutien avancé aux sociétés et groupes de sociétés"
"CEEI - Centre Européen Entreprise et Innovation","Détection et accompagnement des porteurs de projet de création d'activité innovante - 2009","480,705 €","144,000 €","FEDER ","ALSACE","ALSACE",,"5","Services de soutien avancé aux sociétés et groupes de sociétés"
"Cetim Cermat","Aquisition d'équipements pour le développement d'une plateforme d'Analyse santé et environnement","191,000 €","74,000 €","FEDER ","ALSACE","ALSACE",,"2","Infrastructure R&DT et centres de compétence pour des technologies spécifiques"
"Cetim Cermat","Mise en place de nouveaux moyens pour tester des canalisations, raccords et filtres permettant de véhiculer des fluides de refroidissement et de lubrification dans un véhicule","220,150 €","65,000 €","FEDER ","ALSACE","ALSACE",,"3","Transfert de technologie et amélioration des réseaux de coopération..."
"Chambre de Commerce et d'Industrie de Colmar et du Centre Alsace","Organisation du 4ème forum du Réseau des Eco-Entreprises d'Alsace","12,527 €","3,132 €","FEDER ","ALSACE","ALSACE",,"6","Soutien aux PME pour la promotion de produits et processus de fabrication écologiques (...)"
"Chambre de Commerce et d'Industrie de Colmar et du Centre Alsace","Renforcement de l'identité visuelle du réseau des éco-entreprises d'Alsace","27,926 €","6,982 €","FEDER ","ALSACE","ALSACE",,"6","Soutien aux PME pour la promotion de produits et processus de fabrication écologiques (...)"
"CM-CIC BAIL","Achat de matériel pour le développement de l'entreprise d'insertion EDS","160,000 €","16,000 €","FEDER ","ALSACE","ALSACE",,"8","Autres investissements en entreprises"
"COLMARIENNE DU LOGEMENT","Réhabilitation de 267 logements sociaux basse consommation énergétique à Colmar","1,694,511 €","105,000 €","FEDER ","ALSACE","ALSACE",,"43","Efficacité énergétique, cogénération, gestion de l'énergie"
"Communauté de Communes de la Région de Guebwiller","Acquisition du 1er équipement pour la pépinière du Florival","59,127 €","23,651 €","FEDER ","ALSACE","ALSACE",,"9","Autres mesures pour stimuler la recherche, l'innovation et l'esprit d'entreprise dans les PME"
"Communauté de Communes de la Région de Guebwiller","Acquisition d'une friche industrielle en vue de sa reconversion en pépinière d'activités.","850,000 €","170,000 €","FEDER ","ALSACE","ALSACE",,"50","Réhabilitation de sites industriels et de sols contaminés"
"Communauté de Communes de la Région de Guebwiller","Transformation d'une friche industrielle en pépinière d'entreprises","1,992,507 €","398,501 €","FEDER ","ALSACE","ALSACE",,"9","Autres mesures pour stimuler la recherche, l'innovation et l'esprit d'entreprise dans les PME"
"Communauté de Communes de la Région de Haguenau","Construction d'un multi-accueil en efficacité énergétique élevée à Batzendorf","517,248 €","151,368 €","FEDER ","ALSACE","ALSACE",,"43","Efficacité énergétique, cogénération, gestion de l'énergie"
"Communauté de communes de la Vallée de SAINT-AMARIN","Acquisition de la friche industrielle SAIC Velcorex Concord en vue de créer une structure d'accueil d'entreprises","1,500,000 €","200,000 €","FEDER ","ALSACE","ALSACE",,"9","Autres mesures pour stimuler la recherche, l'innovation et l'esprit d'entreprise dans les PME"
"Communauté de Communes du Pays d'Erstein","Aménagement écologique du parc d'activités du Pays d'Erstein","205,364 €","61,609 €","FEDER ","ALSACE","ALSACE",,"51","Promotion de la biodiversité et protection de la nature (y compris Natura 2000)"
"Communauté de Communes du Pays de Sarre-Union","Aménagement du port de Harskirchen/Bissert","381,084 €","66,137 €","FEDER ","ALSACE","ALSACE",,"57","Autres outils d'amélioration des services touristiques"
"Communauté de communes Essor du Rhin","Pépinière d'entreprises à Fessenheim - surcoût BBC","164,010 €","46,894 €","FEDER ","ALSACE","ALSACE",,"43","Efficacité énergétique, cogénération, gestion de l'énergie"
