"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégo- -risation","Libellé catégorisation"
"Aide aux Parents d'Enfants Handicapés","Développement et adaptation de l'offre de services à domicile pour le droit au répit des familles ayant un ou des enfants en situation de handicap","23,000 €","17,250 €","FONDS SOCIAL EUROPEEN","ALSACE","BAS-RHIN","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"AISP / ASSOCIATION D'INSERTION SOCIALE ET PROFESSIONNELLE","ACCOMPAGNEMENT SOCIAL INDIVIDUALISE","25,762 €","7,007 €","FONDS SOCIAL EUROPEEN","ALSACE","BAS-RHIN","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Allojob","Création d'un service SAP  Allojob 2012 ","22,000 €","16,500 €","FONDS SOCIAL EUROPEEN","ALSACE","BAS-RHIN","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"CDMIJ"," Animateur-jeune : plus qu'un métier, une profession ! ","22,893 €","11,446 €","FONDS SOCIAL EUROPEEN","ALSACE","BAS-RHIN","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"CFPPA Obernai","PLAN DE PROFESSIONNALISATION PERSONNALISE","47,739 €","21,482 €","FONDS SOCIAL EUROPEEN","ALSACE","BAS-RHIN","Programme opérationnel national Fonds social européen","68","Aide au travail indépendant et à la création d'entreprise"
"Chambre d'agriculture du Bas-Rhin","plan de professionnalisation personnalisé pour les ca ndidats à l'installation en agriculture","76,489 €","31,689 €","FONDS SOCIAL EUROPEEN","ALSACE","BAS-RHIN","Programme opérationnel national Fonds social européen","68","Aide au travail indépendant et à la création d'entreprise"
"CHAMBRE DE COMMERCE ET D'INDUSTRIE / POLE FORMATION ","PASS'EMPLOI","47,670 €","15,413 €","FONDS SOCIAL EUROPEEN","ALSACE","BAS-RHIN","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"CHAMBRE DE COMMERCE ET D'INDUSTRIE / POLE FORMATION ","PASS'EMPLOI : classe de préparation à l'entrée dans la vie professionnelle ","48,376 €","24,188 €","FONDS SOCIAL EUROPEEN","ALSACE","BAS-RHIN","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"CIDF du Bas-Rhin","BAIE 2009","30,980 €","14,570 €","FONDS SOCIAL EUROPEEN","ALSACE","BAS-RHIN","Programme opérationnel national Fonds social européen","69","Mesures pour améliorer l'accès à l'emploi et renforcer la participation durable et la progression des femmes..."
"CIDF du Bas-Rhin","Bureau d'Accompagnement Individualisé vers l'Emploi","32,640 €","16,230 €","FONDS SOCIAL EUROPEEN","ALSACE","BAS-RHIN","Programme opérationnel national Fonds social européen","69","Mesures pour améliorer l'accès à l'emploi et renforcer la participation durable et la progression des femmes..."
