"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégo- -risation","Libellé catégorisation"
"4 DESIGN","4Design - Accompagnement des PMI - 2007/2008","122,653 €","20,100 €","FEDER ","AQUITAINE","AQUITAINE",,"5","Services de soutien avancé aux sociétés et groupes de sociétés"
"4 DESIGN","ASCOPP7- Assistance à la conception de produits en PMI - 2007/2008","379,106 €","78,875 €","FEDER ","AQUITAINE","AQUITAINE",,"5","Services de soutien avancé aux sociétés et groupes de sociétés"
"4 DESIGN","ASCOPP 8 : Assistance à la Conception de Produits en PMI","260,510 €","100,210 €","FEDER ","AQUITAINE","AQUITAINE",,"5","Services de soutien avancé aux sociétés et groupes de sociétés"
"4 DESIGN","Promotion du design en Aquitaine 2009","422,277 €","190,563 €","FEDER ","AQUITAINE","AQUITAINE",,"9","Autres mesures pour stimuler la recherche, l'innovation et l'esprit d'entreprise dans les PME"
"4 DESIGN","Promotion du design en Aquitaine et Recherche 2008","409,846 €","185,332 €","FEDER ","AQUITAINE","AQUITAINE",,"1","Activités R&DT dans centres de recherche"
"ADAI - Association pour le Développement de l'Apprentissage Industriel de l'Adour","Acquisition d'équipements pédagogiques innovants - CFI de Bordes","1,679,959 €","828,000 €","FEDER ","AQUITAINE","AQUITAINE",,"9","Autres mesures pour stimuler la recherche, l'innovation et l'esprit d'entreprise dans les PME"
"ADEISO","Evaluation du Capital Immatériel des entreprises des filières ADEIDSO","131,000 €","52,027 €","FEDER ","AQUITAINE","AQUITAINE",,"9","Autres mesures pour stimuler la recherche, l'innovation et l'esprit d'entreprise dans les PME"
"ADERA","Accompagnement des PME des pôles de compétitivité à la propriété intellectuelle et industrielle","90,000 €","36,000 €","FEDER ","AQUITAINE","AQUITAINE",,"5","Services de soutien avancé aux sociétés et groupes de sociétés"
"ADERA","ARCOCE ET REBECCA","1,921,000 €","525,300 €","FEDER ","AQUITAINE","AQUITAINE",,"9","Autres mesures pour stimuler la recherche, l'innovation et l'esprit d'entreprise dans les PME"
"ADERA","Cellule Amarante Process","152,000 €","40,000 €","FEDER ","AQUITAINE","AQUITAINE",,"3","Transfert de technologie et amélioration des réseaux de coopération..."
