"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégorisation","Libellé catégorisation"
"4 DESIGN","4Design - Accompagnement des PMI - 2007/2008",122653,20100,"FEDER ","AQUITAINE",,"Programme Opérationnel FEDER Aquitaine 2007-2013","5","Services de soutien avancé aux sociétés et groupes de sociétés"
"4 DESIGN","ASCOPP7- Assistance à la conception de produits en PMI - 2007/2008",406332,92742,"FEDER ","AQUITAINE",,"Programme Opérationnel FEDER Aquitaine 2007-2013","5","Services de soutien avancé aux sociétés et groupes de sociétés"
"4 DESIGN","ASCOPP 8 : Assistance à la Conception de Produits en PMI",260510,100210,"FEDER ","AQUITAINE",,"Programme Opérationnel FEDER Aquitaine 2007-2013","5","Services de soutien avancé aux sociétés et groupes de sociétés"
"4 DESIGN","Promotion du design en Aquitaine 2009",422277,190563,"FEDER ","AQUITAINE",,"Programme Opérationnel FEDER Aquitaine 2007-2013","9","Autres mesures pour stimuler la recherche, l'innovation et l'esprit d'entreprise dans les PME"
"4 DESIGN","Promotion du design en Aquitaine et Recherche 2008",409846,185332,"FEDER ","AQUITAINE",,"Programme Opérationnel FEDER Aquitaine 2007-2013","1","Activités R&DT dans centres de recherche"
"A.CO.R (Action pour le Conseil et le Recrutement)","MISE EN EMPLOI",155230,128615,"FONDS SOCIAL EUROPEEN","AQUITAINE","PYRENEES-ATLANTIQUES / PAU","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"ACRIP","Placement à l'emploi 2008",30393,22723.75,"FONDS SOCIAL EUROPEEN","AQUITAINE","GIRONDE / BORDEAUX / BORDEAUX / BORDEAUX","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"Acseha","Création d'une micro crèche pour enfants handicapés",22700,19295,"FONDS SOCIAL EUROPEEN","AQUITAINE","LANDES / DAX / DAX","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"ADEISO","Evaluation du Capital Immatériel des entreprises des filières ADEIDSO",131000,52027,"FEDER ","AQUITAINE",,"Programme Opérationnel FEDER Aquitaine 2007-2013","9","Autres mesures pour stimuler la recherche, l'innovation et l'esprit d'entreprise dans les PME"
"A.D.E.L.E","ANIMATION ECONOMIQUE DU TERRITOIRE /BEGLES",85864.97,55511.7,"FONDS SOCIAL EUROPEEN","AQUITAINE","GIRONDE / BORDEAUX / BEGLES / BEGLES","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"A.D.E.L.E","ANIMATION ECONOMIQUE DU TERRITOIRE /Bègles",106113.44,77048.73,"FONDS SOCIAL EUROPEEN","AQUITAINE","GIRONDE / BORDEAUX / BEGLES / BEGLES","Programme opérationnel national Fonds social européen","71","Parcours d'insertion et de retour à l'emploi pour les personnes défavorisées..."
"A.D.E.L.E","ASSISTANCE TECHNIQUE",33456.89,16674,"FONDS SOCIAL EUROPEEN","AQUITAINE","GIRONDE / BORDEAUX / BEGLES / BEGLES","Programme opérationnel national Fonds social européen","85","Préparation, mise en oeuvre, suivi et inspection "
"A.D.E.L.E","ASSISTANCE TECHNIQUE",36442,16674,"FONDS SOCIAL EUROPEEN","AQUITAINE","GIRONDE / BORDEAUX / BEGLES / BEGLES","Programme opérationnel national Fonds social européen","85","Préparation, mise en oeuvre, suivi et inspection "
