"Nom ou raison sociale du bénéficiaire","Intitulé du dossier","Montant du projet en coût total","Montant du cofinanceur européen","Fonds européen concerné","Région de localisation du dossier","Localisation","Programme","Catégo- -risation","Libellé catégorisation"
"2CA","Dispositif à faible déperdition thermique doté d'un coefficient d'affaiblissement acoustique.","254,491 €","76,000 €","FEDER ","AUVERGNE","AUVERGNE",,"7","Investissements dans les entreprises directement liées à la recherche et l'innovation (...)"
"ADELBIO","Réalisation d'un appareil intégré de mesure et de criblage moléculaire ciblé permettant la découverte de nouveaux médicaments","221,016 €","50,000 €","FEDER ","AUVERGNE","AUVERGNE",,"7","Investissements dans les entreprises directement liées à la recherche et l'innovation (...)"
"ADIV","Développement et industrialisation d'un capteur logiciel pour le pilotage automatique de séchoirs à saucissons secs","135,836 €","48,901 €","FEDER ","AUVERGNE","AUVERGNE",,"5","Services de soutien avancé aux sociétés et groupes de sociétés"
"ADIV","Lutte contre les moisissures indésirables dans la filière saucisson sec","128,916 €","20,735 €","FEDER ","AUVERGNE","AUVERGNE",,"3","Transfert de technologie et amélioration des réseaux de coopération..."
"ADIV","Mise en place d'une banque de données microbiologiques","85,403 €","41,122 €","FEDER ","AUVERGNE","AUVERGNE",,"5","Services de soutien avancé aux sociétés et groupes de sociétés"
"ADIV","Optimisation de la conduite des opérations unitaires de marinage et de cuisson-fumage pour une meilleure maîtrise de la qualité des viandes élaborées","100,651 €","32,988 €","FEDER ","AUVERGNE","AUVERGNE",,"3","Transfert de technologie et amélioration des réseaux de coopération..."
"ADIV","Organisation de réunions-débats pour l'ensemble de la filière Viandes et produits carnés","26,227 €","7,868 €","FEDER ","AUVERGNE","AUVERGNE",,"9","Autres mesures pour stimuler la recherche, l'innovation et l'esprit d'entreprise dans les PME"
"ADIV","T3A 2008 - équipements","53,070 €","23,881 €","FEDER ","AUVERGNE","AUVERGNE",,"1","Activités R&DT dans centres de recherche"
"ADPEP 63 (Association Départementale des Pupilles de l'Enseignement Public)","Installation solaire de production d'eau chaude sanitaire pour l'internat de l'IME de Theix","43,820 €","10,932 €","FEDER ","BRETAGNE","BRETAGNE",,"40","Energie renouvelable: én. solaire"
"AGAETIS","Développement d'une plate-forme opérationnelle pour la gestion des risques environnementaux (projet de recherche collaboratif)","224,137 €","71,685 €","FEDER ","AUVERGNE","AUVERGNE",,"4","Soutien à la R&DT, en particulier dans les PME (y compris accès à des services de R&DT dans les centres de recherche)"
